Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
EIF3G	192	2800918	0.1	0.134	0.67029679130826	-0.661144548591233	-1	61.6721319653974
DDX47	195	2759022	0.1	0.134	0.699042237925859	-0.691301730302086	-1	64.4574087737165
ADAR	174	2159791	0.1	0.134	0.912870173420961	1.14130080578192	1	85.1761680829081
UTP18	191	2401377.5	0.1	0.134	0.804476915208798	-0.638915080419551	-1	74.6734532601842
MSI2	193	2649927	0.1	0.134	0.749122943313956	-0.670672816847495	-1	69.3099556524394
EEF2	194	2748019	0.1	0.134	0.79625686284364	0.971163442453474	1	73.8769750728588
PNPT1	184	2400910	0.1	0.134	0.822868977969881	-0.586012115434894	-1	76.4555437090495
PABPC1	180	2402315	0.1	0.134	0.686857962094181	-0.62120593434536	-1	63.2768189797365
DDX28	189	2465029	0.1	0.134	0.692589986600243	-0.522718253395305	-1	63.8322208537737
DDX1	181	2195328	0.1	0.134	0.736100829491934	-0.707988691523927	-1	68.048183932338
RRP9	188	2546481	0.1	0.134	0.712480419517798	0.878547951017631	1	65.7594951887207
HSPD1	189	2540021	0.1	0.134	0.790316444065582	-0.692423740531868	-1	73.3013809318341
CPSF7	176	2265091.5	0.1	0.134	1.01312169204319	1.13809193155439	1	94.8899927985867
NOL12	196	2663950	0.1	0.134	0.765922084578911	0.943222955871721	1	70.9377007067224
ATP5C1	197	2623273	0.1	0.134	0.807086886378992	-0.642340166548892	-1	74.9263452144275
XRCC6	190	2754270.5	0.1	0.134	0.690637787006269	-0.595176204152357	-1	63.6430633734033
SND1	195	2540667	0.1	0.134	0.835283926336891	0.886661404137929	1	77.6584844120804
KRR1	191	2552372	0.1	0.134	0.924859020134575	-0.889075378538381	-1	86.3378218625184
G3BP2	194	2615112	0.1	0.134	0.680762184388121	0.778385074683997	1	62.6861714069497
UPF1	186	2395941.5	0.1	0.134	0.674746176792647	-0.64389982108771	-1	62.1032531222817
ASCC1	191	2517186.5	0.1	0.134	0.733954852210301	-0.523799289645482	-1	67.8402504521863
ILF3	194	2576018	0.1	0.134	0.7821839253258	0.942996134804721	1	72.5133842748169
DDX19B	193	2515939	0.1	0.134	0.734829490535794	-0.597779536258791	-1	67.9249981298297
CSTF2T	195	2504930	0.1	0.134	0.657817019261789	-0.637758444688123	-1	60.4629102018065
TRIM56	195	2690919	0.1	0.134	0.743619075477855	-0.700433470533024	-1	68.7766609138368
IGF2BP3	191	2485867	0.1	0.134	0.777428708021747	-0.726657560911943	-1	72.0526296846486
YBX3	188	2706112	0.1	0.134	0.923347062206694	0.996971712292595	1	86.1913213955852
PARN	187	2484354.5	0.1	0.134	0.852393194250863	0.937536588505715	1	79.316279045159
FUS	189	2662707	0.1	0.134	0.833421197189877	-0.77009830143568	-1	77.4779961294534
AKAP1	195	2696529	0.1	0.134	0.814627066667944	1.02688278386626	1	75.6569475101144
U2AF1	182	2362085.5	0.1	0.134	0.739792957948731	-0.507840655823715	-1	68.4059310183671
NPM1	188	2259054.5	0.1	0.134	0.866524422201861	-0.75325275096708	-1	80.68551786787
CPSF6	196	2525805	0.1	0.134	0.624371137578072	-0.572768449476634	-1	57.2221869030282
RBM15	194	2531411.5	0.1	0.134	0.689773259748281	-0.58008437009058	-1	63.5592954029881
AUH	191	2683547.5	0.1	0.134	0.66388360773938	-0.630136156785695	-1	61.0507294977468
GEMIN5	193	2474841	0.1	0.134	0.710178988690242	-0.590789681930345	-1	65.5364991088472
NONO	196	2479538.5	0.1	0.134	0.628998686708594	-0.648004158907402	-1	57.670571144333
BCLAF1	192	2510091	0.1	0.134	0.628806707637473	-0.567611226391594	-1	57.6519694206725
ZC3H8	194	2652500.5	0.1	0.134	0.750004786389529	-0.638980123150402	-1	69.3954014310228
DKC1	190	2649642	0.1	0.134	0.842719070897787	0.994775552215239	1	78.3789093192824
FIP1L1	188	2458293.5	0.1	0.134	0.675025644518331	-0.585224011964767	-1	62.130332018824
PTBP1	194	2608939	0.1	0.134	0.638612131526896	-0.616547004380108	-1	58.6020614515345
GRWD1	194	2499011.5	0.1	0.134	0.908736220222209	-0.671547945382646	-1	84.7756105920354
SUPT6H	192	2511190	0.1	0.134	0.80058700875879	0.920132533772646	1	74.29654256661
SFPQ	188	2401424	0.1	0.134	0.586507586094956	0.621150044499363	1	53.5534155240526
PCBP1	196	2713611.5	0.1	0.134	0.77329195585593	0.846617167676653	1	71.6518009891515
EIF2S1	198	2558504.5	0.1	0.134	0.586423661737857	-0.563642395031141	-1	53.5452837121315
HNRNPA0	189	2363939	0.1	0.134	0.758515270881316	-0.791262488748692	-1	70.2200209054693
FMR1	187	2359332.5	0.1	0.134	0.601251464541154	-0.588010276352373	-1	54.9820168342764
PPIL4	193	2312832	0.1	0.134	0.671409342079742	0.718422454841464	1	61.7799320598996
PUF60	178	2423601	0.1	0.134	0.714264357718178	-0.676529377251513	-1	65.932349058869
RBM34	191	2370815	0.1	0.134	0.662584961852685	-0.589469895801631	-1	60.9248978027814
KHSRP	195	2677178.5	0.1	0.134	0.836160405419901	0.892478219935972	1	77.7434104490755
HNRNPL	189	2374850.5	0.1	0.134	0.576299258535158	-0.470108077533817	-1	52.5642843276487
DDX27	188	2806202.5	0.1	0.134	0.797657867443793	-0.691392854340372	-1	74.0127247682128
AARS	190	2559139	0.1	0.134	0.7043385519552	-0.633084374213865	-1	64.9705926818234
CELF1	189	2643731	0.1	0.134	0.699599863749267	0.868385979601559	1	64.5114396710032
BCCIP	181	2248894.5	0.1	0.134	0.780109717845225	0.888862355319092	1	72.3124048964777
FASTKD2	190	2313267.5	0.1	0.134	0.854490595808202	0.868660895632711	1	79.5195058028819
PSIP1	187	2330272	0.1	0.134	0.708800588463318	-0.630564873890802	-1	65.4029396538243
TAF15	192	2563734.5	0.1	0.134	0.930904403092898	1.0433799473546	1	86.9235864594378
PUS1	193	2554894.5	0.1	0.134	0.670438746792367	-0.598432383406024	-1	61.6858866766377
MTPAP	187	2301197.5	0.1	0.134	0.847512793645852	1.0394772380402	1	78.8433948767106
HNRNPC	196	2791223.5	0.1	0.134	0.650861997659833	-0.603340015009618	-1	59.7890065875406
PCBP2	197	2634584	0.1	0.134	0.633127997819729	-0.640812271126301	-1	58.0706788422644
EIF3D	185	2706791.5	0.1	0.134	0.853770055685548	-0.770840558524592	-1	79.4496893996167
UCHL5	197	2547363	0.1	0.134	0.596343643582495	-0.54110270478965	-1	54.5064757832925
RBM39	192	2560355.5	0.1	0.134	0.738947605978589	-0.655969690969072	-1	68.3240210286346
FTO	192	2702331	0.1	0.134	0.779619152688135	0.995423699035955	1	72.2648718115621
EIF4G1	188	2485732	0.1	0.134	0.786554858427455	0.815022753282938	1	72.9369038242157
XRCC5	190	2368003	0.1	0.134	0.811465948525502	-0.650096542017448	-1	75.3506524238829
XRN2	193	2443009.5	0.1	0.134	0.720908136103756	-0.621679471785477	-1	66.5760949050593
HNRNPM	179	2423258.5	0.1	0.134	0.736809450449196	0.850480044955582	1	68.1168454335631
NUFIP2	182	2367843	0.1	0.134	0.654900252121673	0.756882641489535	1	60.1802913933841
LSM11	184	2284753.5	0.1	0.134	0.840264758341846	0.969588158845029	1	78.1410998347624
SAFB2	187	2662086	0.1	0.134	0.689201656921404	0.841744389674325	1	63.5039102103887
EIF4B	197	2485979	0.1	0.134	0.54253584156951	-0.475698410970113	-1	49.2927935940015
BOP1	190	2455579.5	0.1	0.134	0.772705541710248	-0.473649476301164	-1	71.5949806606394
STAU1	194	2612939	0.1	0.134	0.737367877485262	-0.592028106633764	-1	68.1709539639813
SUPV3L1	193	2520634.5	0.1	0.134	0.675647747690711	-0.560288976446996	-1	62.1906104191377
HNRNPAB	185	2331661	0.1	0.134	0.795082669897955	0.996524185299611	1	73.7632021882828
FXR1	189	2753356.5	0.1	0.134	0.630804145291168	-0.507461828231232	-1	57.8455102220005
PRPF6	193	2629346.5	0.1	0.134	0.579335193736303	-0.539104067954047	-1	52.8584498704492
RTF1	191	2484737.5	0.1	0.134	0.90336163129741	-0.75289634845479	-1	84.2548422739907
RPS3A	183	2412914	0.1	0.134	0.835581288233874	0.888249233838679	1	77.6872971561077
G3BP1	197	2541851	0.1	0.134	0.706755699499723	-0.606962619282008	-1	65.2048010796823
MATR3	192	2594643.5	0.1	0.134	0.698070400318173	-0.655501359690542	-1	64.3632430164002
HNRNPA2B1	193	2668253.5	0.1	0.134	0.75265197756589	-0.639349279165342	-1	69.6518998006182
AKAP8L	194	2572678.5	0.1	0.134	0.660067631819926	-0.684519588821138	-1	60.6809822688743
UPF2	182	2276331.5	0.1	0.134	0.778606174645321	0.883961797179098	1	72.1667197707356
SRFBP1	195	2509718	0.1	0.134	0.635737594331675	-0.603535992748826	-1	58.3235344941694
UTP3	187	2394097.5	0.1	0.134	0.678692779159039	-0.533668308203278	-1	62.4856573405567
KIF1C	195	2700400	0.1	0.134	0.787055865271673	0.887404724084551	1	72.9854486515956
NSUN2	196	2594981.5	0.1	0.134	0.701821922218206	-0.571966181331056	-1	64.7267450027519
GRSF1	192	2688373	0.1	0.134	0.746734148669499	-0.661557426379002	-1	69.0784944957716
MAGOH	183	2447940.5	0.1	0.134	0.812723220012528	-0.688512912850874	-1	75.4724751654517
DDX55	192	2448147.5	0.1	0.134	0.725443255073048	0.739983428405694	1	67.01552316847
LARP4	189	2416125	0.1	0.134	0.708455591353648	-0.635056840058436	-1	65.3695113178071
CSTF2	183	2355947.5	0.1	0.134	0.715085215088011	-0.675097966927979	-1	66.0118856555882
SSB	189	2487990.5	0.1	0.134	0.820846642621219	0.960069019775289	1	76.259590457037
PES1	194	2473147	0.1	0.134	0.717170127855088	-0.708802929746957	-1	66.2139023177316
RBM17	186	2536663	0.1	0.134	0.83057501034507	0.959512494404591	1	77.202216166232
SSRP1	196	2710876.5	0.1	0.134	0.851656470737301	0.994320764121516	1	79.2448945596868
RAVER1	190	2779228.5	0.1	0.134	0.654166370404952	-0.579800279252225	-1	60.1091822625077
U2AF2	189	2642641	0.1	0.134	0.684331623374772	-0.678349112081822	-1	63.0320305532863
SRSF5	194	2527903.5	0.1	0.134	0.715449454577561	-0.628781464292912	-1	66.0471784731399
DAZAP1	190	2617334	0.1	0.134	0.933607489451031	1.05667867813488	1	87.1855007669226
TFIP11	196	2660767	0.1	0.134	0.632862506474694	-0.509403435838976	-1	58.0449541806868
SERBP1	181	2332282.5	0.1	0.134	0.777369958070319	0.87955084069319	1	72.0469371351683
TIAL1	188	2328635.5	0.1	0.134	0.687283364851322	-0.637986502894844	-1	63.3180381839263
SNRNP200	195	2544499	0.1	0.134	0.703394416401825	-0.694696434815241	-1	64.8791111022986
RBM22	194	2655019.5	0.1	0.134	0.558439424953534	-0.554385549148241	-1	50.8337639799537
CKAP4	195	2582257.5	0.1	0.134	0.705352320531339	-0.643776190781473	-1	65.0688213210122
SART3	187	2297140	0.1	0.134	0.865551275597098	0.969301230728434	1	80.591225275885
HLTF	192	2559707.5	0.1	0.134	0.805516012568875	-0.66218784474209	-1	74.7741361202248
EIF4A3	188	2680457.5	0.1	0.134	0.833935043036276	0.922195814761573	1	77.5277849860352
APOBEC3C	183	2424770.5	0.1	0.134	0.69262039702463	0.899240999836132	1	63.835167457836
GPKOW	196	2653110	0.1	0.134	0.735515043768585	-0.71357560302103	-1	67.9914244945184
AATF	193	2420125	0.1	0.134	0.629938406217166	-0.563856196917011	-1	57.7616248332308
PKM	186	2390851.5	0.1	0.134	0.716670432202754	-0.675298542250598	-1	66.1654845376852
CCAR2	178	2256209.5	0.1	0.134	1.06585951644364	-0.87807230816967	-1	100
HNRNPUL1	184	2239420	0.3	0.3302	1.05834112634005	-1.11245954158316	-1	53.2579639527954
SUB1	195	2475623	0.3	0.3302	0.66424815380766	-0.579974794574804	-1	32.2065049420736
PABPC4	195	2321593	0.3	0.3302	0.694677532696877	-0.632675367100225	-1	33.8319661074727
STIP1	190	2211364	0.3	0.3302	0.990824320422583	-1.06901388699465	-1	49.6513853752249
DDX6	187	2376207	0.3	0.3302	0.772470721157567	-0.658006450577887	-1	37.9874832882795
RBM25	192	2352317	0.3	0.3302	0.586214780472975	-0.556712346585315	-1	28.0381576871921
SUGP2	189	2354732.5	0.3	0.3302	1.04361050608136	1.16902200663989	1	52.4710911329486
SLTM	186	2269355	0.3	0.3302	0.693387698538643	0.732580345669352	1	33.7630663990151
QKI	196	2573428.5	0.3	0.3302	0.531555068453706	-0.521207262167343	-1	25.1183728462764
PA2G4	193	2348557.5	0.3	0.3302	0.747746377687718	-0.636064249563836	-1	36.6667708183819
PHF6	190	2347353.5	0.3	0.3302	0.796662318049271	-0.616139708388733	-1	39.2797377710152
RBFOX2	183	2180401	0.3	0.3302	0.825650705793661	-0.62997402195103	-1	40.8282248005264
NCBP2	188	2235607.5	0.3	0.3302	0.845556088746414	-0.68704266432904	-1	41.891520475732
FUBP3	187	2180689	0.3	0.3302	0.819350792613357	1.00398553899218	1	40.4916992257768
FKBP4	197	2516170	0.3	0.3302	0.878982988080334	0.917760953129351	1	43.6771016716152
CCAR1	190	2253178.5	0.3	0.3302	0.65159502253567	-0.657823638555386	-1	31.5306063777883
SMNDC1	196	2500961	0.3	0.3302	0.680210621695036	-0.605813889486717	-1	33.0591799752816
SF3A3	197	2452142.5	0.3	0.3302	0.648794091052669	-0.594296298994212	-1	31.3809876369939
HNRNPK	194	2452115	0.3	0.3302	0.695947416623064	0.720845498967171	1	33.8998001245289
PPIG	199	2424847.5	0.3	0.3302	0.635671377748354	-0.662337232081436	-1	30.6800051772964
DDX52	193	2332612	0.3	0.3302	0.697433284451409	0.725360097443977	1	33.979171460391
DNAJC2	187	2349224	0.3	0.3302	0.851706848954707	0.895602749260883	1	42.2200786724885
TUFM	194	2318594.5	0.3	0.3302	0.848918812360549	-0.637278050143101	-1	42.071148744342
TIA1	196	2264231	0.3	0.3302	0.608076397091267	-0.579031898530515	-1	29.2059504625638
PUM1	192	2391153	0.3	0.3302	0.873968675056347	0.949572221839683	1	43.409249635551
EXOSC9	193	2360560	0.3	0.3302	0.747480352471361	-0.591337013869618	-1	36.6525604179732
EWSR1	192	2253581.5	0.3	0.3302	0.721161345708136	-0.710859394955332	-1	35.2466650311088
TRA2A	197	2317422.5	0.3	0.3302	0.645975985193396	-0.574392596945236	-1	31.2304514840573
RCC2	190	2388146	0.3	0.3302	0.632178133751134	-0.620691660935841	-1	30.4934048369011
NUSAP1	195	2381318	0.3	0.3302	0.910386349398809	-0.89245142692685	-1	45.3545905376224
NAA15	194	2365778	0.3	0.3302	0.797656083862044	0.816472889607313	1	39.3328222503943
IGF2BP2	193	2479375.5	0.3	0.3302	0.647214753159025	-0.628612315987307	-1	31.2966233644759
FAM120A	197	2205086	0.4	0.4354	0.714039513325796	0.751129842320395	1	25.3460907416161
LARP7	194	2202524	0.4	0.4354	0.699805868148272	0.703019669425316	1	24.7755393863191
GTF2F1	184	2262448	0.5	0.5184	0.683810782423323	-0.585217321267469	-1	18.3825243118822
NELFE	193	2633273	0.5	0.5184	0.614521247151995	-0.561536135175188	-1	16.1879014335627
BUD13	191	2304828.5	0.5	0.5184	0.733750378442405	-0.66704646495103	-1	19.964272255902
SRP68	192	2297020.5	0.5	0.5184	0.772216521601173	-0.598718973996972	-1	21.1826189728538
DHX30	197	2463603.5	0.5	0.5184	0.637681752397512	-0.570827786835426	-1	16.9214692730093
XPO5	191	2285169.5	0.5	0.5184	0.716336514575456	-0.644928658575866	-1	19.4127190683579
SF1	188	2299810.5	0.5	0.5184	0.841944002910765	-0.844633869646407	-1	23.3911130135542
ABCF1	198	2580856.5	0.5	0.5184	0.655664885252151	-0.585469224858567	-1	17.4910530439512
ZRANB2	184	2313621.5	0.5	0.5184	0.863393885788159	0.945522145440241	1	24.0704999298564
SMN1	179	2066197.5	0.7	0.7036	0.752124898977528	-0.615519653618864	-1	9.47058531542859
SBDS	187	2192309	0.7	0.7036	0.74829014002154	-0.637526383322043	-1	9.40559616913741
AGO1	182	2097081	0.7	0.7036	0.956426802696833	-0.925662687840354	-1	12.9329688604615
UBE2L3	194	2161885	0.7	0.7036	0.64599971063773	-0.607525442132924	-1	7.67204061696079
LIN28B	187	2175530.5	0.7	0.7036	0.756610309628869	0.826083147086711	1	9.54660130817849
METAP2	192	2185437.5	0.7	0.7036	0.740493548205603	-0.56431732960965	-1	9.27346430585371
RECQL	195	2054647.5	0.9	0.9	0.644970875481051	-0.618722383322889	-1	0
