symbol	length	Control_D0	Control_D1	APOBEC3C_D0	APOBEC3C_D1
ENSG00000009724.12	1565.31	45.00	38.00	84.00	151.00
ENSG00000009765.10	4549.09	0.00	1.00	4.00	4.00
ENSG00000009780.11	2160.85	151.00	142.00	163.00	163.00
ENSG00000009790.10	1355.50	2.00	0.00	1.00	0.00
ENSG00000009830.7	2040.69	355.00	388.00	336.00	491.00
ENSG00000009844.11	2236.50	736.00	916.00	1077.00	1080.00
ENSG00000009950.11	1921.47	1039.00	872.00	1627.00	2815.00
ENSG00000009954.6	5714.90	1848.00	2046.00	1692.00	1813.00
ENSG00000010017.9	2883.64	1139.00	1154.00	1129.00	1361.00
ENSG00000010030.9	1186.00	0.00	0.00	0.00	1.00
ENSG00000010072.11	2840.30	109.00	131.00	149.00	158.00
ENSG00000010165.15	2393.47	425.00	386.00	366.00	477.00
ENSG00000010219.9	698.35	101.00	83.00	108.00	162.00
ENSG00000010244.12	2825.21	3237.00	3583.00	3615.00	3709.00
ENSG00000010256.6	1007.64	4240.00	3633.00	3341.00	5195.00
ENSG00000010270.9	1533.52	473.00	504.00	612.00	605.00
ENSG00000010278.7	1117.85	550.00	542.00	490.00	612.00
ENSG00000010282.10	702.00	1.00	2.00	1.00	3.00
ENSG00000010292.8	4097.26	3001.00	2344.00	1491.00	1894.00
ENSG00000010295.15	2423.08	228.00	197.00	267.00	447.00
ENSG00000010310.4	1979.43	112.00	95.00	59.00	79.00
ENSG00000010318.15	1135.96	105.00	92.00	68.00	99.00
ENSG00000010319.2	4139.04	810.00	645.00	410.00	637.00
ENSG00000010322.11	3110.09	1263.00	1006.04	1165.00	1786.00
ENSG00000010327.6	4013.27	7.00	2.00	13.00	22.00
ENSG00000010361.9	544.93	2.00	0.00	0.00	2.00
ENSG00000010379.11	974.00	5.00	3.62	4.00	8.00
ENSG00000010404.13	4966.18	873.55	905.84	1212.43	1171.25
ENSG00000010539.7	2591.05	183.00	206.00	215.00	219.00
ENSG00000010610.5	2871.09	40.00	52.00	128.00	141.00
ENSG00000010626.10	1280.78	117.81	69.21	112.04	157.94
ENSG00000010704.14	2114.94	55.00	82.00	106.00	147.00
ENSG00000010803.12	2679.21	644.00	644.00	773.00	936.00
ENSG00000010810.13	1723.46	598.00	665.00	717.00	850.00
ENSG00000010818.4	9626.86	2378.00	2179.00	1454.00	1614.00
ENSG00000011007.8	4019.63	758.00	812.00	916.00	871.00
ENSG00000011009.6	1652.14	766.00	549.00	848.00	1354.00
ENSG00000011021.17	4939.20	1273.70	1025.77	1165.75	1624.55
ENSG00000011028.9	3201.00	0.00	0.00	0.00	1.00
ENSG00000011052.17	990.24	150.95	174.35	174.64	353.63
ENSG00000011105.7	4077.22	986.00	797.00	1175.00	1860.00
ENSG00000011114.10	4875.70	570.00	559.00	620.00	601.00
ENSG00000011132.7	1107.90	139.00	80.00	110.00	185.00
ENSG00000011143.12	1566.73	280.00	281.00	339.00	426.00
ENSG00000011198.3	1543.78	91.00	79.00	71.00	87.00
ENSG00000011201.6	6314.00	0.00	0.00	0.00	1.00
ENSG00000011243.13	1612.92	1020.00	986.00	998.00	1409.00
ENSG00000011258.11	4843.22	1450.00	1703.00	1571.00	1506.00
ENSG00000011260.9	1788.37	818.00	865.00	838.00	891.00
ENSG00000011275.14	4639.50	1266.70	1168.70	936.00	1303.00
ENSG00000011295.11	2643.50	480.49	522.00	580.00	707.00
ENSG00000011304.12	1675.47	3422.00	3016.00	2825.00	4576.00
ENSG00000011332.15	1320.37	12.00	12.00	17.00	18.00
ENSG00000011347.5	4416.09	398.00	314.00	301.00	365.00
ENSG00000011376.5	4222.31	374.00	413.00	661.00	857.00
ENSG00000011405.9	7002.40	2394.00	2401.00	2528.00	2320.00
ENSG00000011422.7	1327.25	53.00	45.00	56.00	86.00
ENSG00000011426.6	4459.32	1233.00	971.00	665.00	675.00
ENSG00000011451.13	4192.79	212.00	171.00	240.00	482.00
ENSG00000011454.12	4785.16	971.00	1003.00	1100.00	1219.00
ENSG00000011478.7	2228.66	365.00	276.00	267.00	459.00
ENSG00000011485.10	1678.27	447.00	394.00	564.00	735.00
ENSG00000011523.9	4017.34	381.00	405.00	432.00	503.00
ENSG00000011566.10	3412.99	3061.00	3185.00	2923.00	2801.00
ENSG00000011600.7	533.33	0.00	1.00	0.00	0.00
ENSG00000011638.6	1640.05	271.00	302.00	286.00	330.00
ENSG00000011677.8	1532.75	1.00	0.00	0.00	0.00
ENSG00000012048.15	3386.51	136.00	127.00	166.00	184.00
ENSG00000012061.11	1274.50	494.00	415.00	582.00	816.00
ENSG00000012124.10	2141.63	9.00	13.00	23.00	32.00
ENSG00000012171.13	1729.78	2051.00	1364.00	1468.00	2785.00
ENSG00000012174.7	4380.89	466.18	537.00	787.00	777.07
ENSG00000012211.8	1540.56	69.00	63.00	51.00	94.00
ENSG00000012232.4	6288.85	567.00	598.00	757.00	928.00
ENSG00000012504.9	2416.66	471.00	672.00	458.00	471.00
ENSG00000012660.9	2717.05	2481.00	2672.00	2842.00	2931.00
ENSG00000012779.6	965.48	3.00	3.00	4.00	5.00
ENSG00000012817.11	4145.53	1715.00	1791.00	1680.00	2038.00
ENSG00000012822.11	2331.65	1141.00	1002.00	1296.00	1615.00
ENSG00000012963.9	3694.00	260.54	257.00	269.95	343.00
ENSG00000012983.7	3817.23	788.00	1008.00	1113.00	1022.00
ENSG00000013016.10	4636.00	3.00	6.00	15.00	19.00
ENSG00000013275.3	1557.86	665.00	696.00	863.00	1222.00
ENSG00000013288.4	5641.68	264.00	250.00	298.00	448.00
ENSG00000013297.6	1817.57	94.00	91.00	104.00	159.00
ENSG00000013306.11	1511.86	1513.99	1105.00	1337.00	2212.00
ENSG00000013364.14	2170.48	925.84	697.98	1047.00	1925.97
ENSG00000013374.11	2089.41	800.00	779.00	823.00	875.00
ENSG00000013375.11	2587.03	1916.00	2017.00	1938.00	2029.00
ENSG00000013392.6	2935.88	213.00	220.00	311.00	325.00
ENSG00000013441.11	1740.87	2072.00	2083.00	1795.00	1688.00
ENSG00000013503.5	4206.44	101.00	137.00	178.00	204.00
ENSG00000013523.5	3564.41	350.00	350.00	494.00	608.00
ENSG00000013561.13	2285.26	269.00	285.00	350.00	394.00
ENSG00000013563.9	2055.34	331.00	243.00	281.00	466.00
ENSG00000013573.12	2327.03	522.16	409.71	441.66	625.40
ENSG00000013583.4	1202.23	336.00	325.00	302.00	394.00
ENSG00000013588.5	4377.47	230.00	147.00	214.00	335.00
ENSG00000013619.9	1240.18	1.00	1.00	3.00	5.00
ENSG00000013810.14	2504.25	809.51	473.64	325.89	473.29
ENSG00000014123.9	4062.31	721.00	873.00	1054.00	1002.00
ENSG00000014138.4	1991.92	78.00	88.00	96.00	103.00
ENSG00000014164.6	3073.34	213.00	124.00	173.00	320.00
ENSG00000014216.11	2054.89	1275.00	937.00	1293.00	2134.00
ENSG00000014641.13	1354.10	2214.00	2340.00	2620.00	3039.00
ENSG00000014824.9	3060.97	453.00	527.00	945.00	1009.00
ENSG00000014914.15	1770.47	172.00	170.00	161.00	183.00
ENSG00000014919.8	2520.96	485.18	560.00	760.00	882.00
ENSG00000015133.14	5117.28	185.00	183.00	219.00	353.00
ENSG00000015153.10	1553.28	113.00	140.00	156.00	150.00
ENSG00000015171.14	3596.68	820.00	1002.00	1040.00	1034.00
ENSG00000015285.6	1022.46	4.00	2.00	1.00	6.00
ENSG00000015413.5	1363.33	73.00	42.00	255.00	500.00
ENSG00000015475.14	1205.08	158.00	149.00	221.00	261.00
ENSG00000015479.13	2457.73	7054.00	7525.00	7148.00	7038.00
ENSG00000015520.10	4786.75	457.00	331.00	436.00	644.00
ENSG00000015532.5	3301.29	456.00	361.00	447.00	741.00
ENSG00000015568.8	5616.75	476.83	843.54	519.83	881.41
ENSG00000015592.12	1250.00	1.00	2.00	8.00	6.00
ENSG00000015676.13	2572.45	777.00	774.00	737.00	1022.00
ENSG00000016391.6	6993.20	1768.00	1967.00	2768.00	3483.00
ENSG00000016864.12	1315.75	852.00	1043.00	1433.00	1728.00
ENSG00000017260.15	3535.88	1299.00	1386.00	1447.00	1520.00
ENSG00000017373.11	3543.63	164.00	147.00	249.00	492.00
ENSG00000017427.11	2572.29	2.00	1.00	2.00	0.00
ENSG00000017483.10	1867.22	823.00	812.00	560.00	744.00
ENSG00000017621.11	1511.78	6.00	4.00	9.00	6.00
ENSG00000017797.7	4224.00	1357.00	1234.00	1261.00	1411.00
ENSG00000018189.8	2165.74	403.00	408.00	484.00	482.00
ENSG00000018236.10	1982.08	0.00	0.00	1.00	0.00
ENSG00000018280.12	2881.50	35.00	16.00	28.00	53.00
ENSG00000018408.10	2973.74	3831.00	3710.00	2265.00	2215.00
ENSG00000018510.8	7011.33	3625.00	4100.00	3665.00	3707.00
ENSG00000018610.9	2249.06	185.00	241.00	253.00	271.00
ENSG00000018625.10	5421.00	7.00	4.00	26.00	30.00
ENSG00000018699.7	2876.00	431.00	566.00	663.00	723.00
ENSG00000018869.12	1527.17	16.00	20.00	27.00	22.00
ENSG00000019102.7	1153.08	21.00	23.00	31.00	48.00
ENSG00000019144.12	3087.98	415.00	327.00	385.00	571.00
ENSG00000019186.5	2247.82	397.00	451.00	839.00	957.00
ENSG00000019485.8	1679.30	21.00	26.00	25.00	52.00
ENSG00000019505.3	5144.00	13.00	14.00	44.00	41.00
ENSG00000019549.4	2204.00	0.00	2.00	0.00	1.00
ENSG00000019582.10	1321.72	908.00	761.00	984.00	1608.00
ENSG00000019995.6	5695.00	1033.83	1105.74	765.65	831.49
ENSG00000020129.11	2682.11	109.00	105.00	157.00	325.00
ENSG00000020181.13	6270.00	5.00	6.00	6.00	3.00
ENSG00000020256.15	2730.40	295.00	236.00	286.00	460.00
ENSG00000020426.6	990.08	351.00	409.00	358.00	424.00
ENSG00000020577.9	5240.21	3603.00	2836.00	2285.00	2684.00
ENSG00000020633.14	3583.87	13.00	16.00	19.00	25.00
ENSG00000020922.8	2244.07	419.00	468.00	469.00	438.00
ENSG00000021300.9	1855.82	840.00	952.00	1039.00	1335.00
ENSG00000021355.8	1611.39	1467.00	1485.00	1794.00	1988.00
ENSG00000021461.12	946.36	19.00	30.00	39.00	33.00
ENSG00000021488.8	1572.18	10.00	11.00	70.00	88.00
ENSG00000021574.7	5116.95	717.00	942.00	916.00	835.00
ENSG00000021645.13	3381.00	1.00	0.00	2.00	1.00
ENSG00000021762.15	2224.00	0.00	0.00	0.00	1.00
ENSG00000021776.6	5751.58	560.00	638.00	735.00	681.00
ENSG00000021826.10	4300.51	631.00	754.00	1150.00	1189.00
ENSG00000021852.8	2037.00	270.00	296.00	313.00	298.00
ENSG00000022267.12	2313.00	12.00	5.00	10.00	14.00
ENSG00000022277.8	1491.47	1295.00	1384.00	1493.00	1831.68
ENSG00000022567.5	4995.01	1.00	0.00	3.00	4.00
ENSG00000022840.11	2084.56	2457.00	2452.00	2429.00	2942.00
ENSG00000022976.11	2542.62	126.00	124.00	188.00	270.00
ENSG00000023041.7	1657.72	410.00	389.86	452.00	498.00
ENSG00000023171.10	1728.38	3.00	3.00	11.00	2.00
ENSG00000023191.12	1684.24	526.00	340.00	523.00	1139.00
ENSG00000023228.9	2765.72	2987.00	3363.00	3177.12	3821.97
ENSG00000023287.8	6286.89	2498.00	2698.00	2547.00	2339.00
ENSG00000023318.7	4854.00	786.00	900.00	1031.00	1075.00
ENSG00000023330.10	2066.01	549.00	521.00	552.00	707.00
ENSG00000023445.9	3832.46	43.00	49.00	65.00	50.00
ENSG00000023516.7	9913.00	988.00	1162.00	1499.00	1309.00
ENSG00000023572.4	701.00	69.00	66.00	55.00	83.00
ENSG00000023608.4	2656.00	179.30	190.00	154.70	105.69
ENSG00000023697.8	1419.13	303.00	356.00	464.00	525.00
ENSG00000023734.6	1815.87	1587.00	1635.00	1551.00	1930.00
ENSG00000023839.6	5282.91	10730.00	10059.00	10572.00	11362.00
ENSG00000023892.9	1850.91	74.00	74.00	67.00	128.00
ENSG00000023902.9	1729.26	220.00	178.00	201.00	275.00
ENSG00000023909.5	2246.90	422.00	529.00	576.00	548.00
ENSG00000024048.6	7698.10	1247.00	1227.00	1300.00	1282.00
ENSG00000024422.7	3585.00	75.00	46.00	48.00	68.00
ENSG00000024526.12	3194.82	450.01	393.00	247.00	207.00
ENSG00000024862.12	1496.00	193.00	207.00	200.00	238.00
ENSG00000025039.10	2774.21	7.00	7.00	19.00	15.00
ENSG00000025156.8	2455.04	413.00	400.00	430.00	398.00
ENSG00000025293.11	5576.99	1112.00	1143.00	1037.00	1059.00
ENSG00000025423.7	1368.60	30.00	44.00	45.00	65.00
ENSG00000025434.14	1283.43	376.00	302.00	441.00	704.00
ENSG00000025708.8	1667.92	20.00	12.00	12.00	28.00
ENSG00000025770.14	1831.89	219.00	187.00	251.00	337.00
ENSG00000025772.7	2062.00	677.00	613.00	812.00	1172.00
ENSG00000025796.9	3323.84	1926.93	2172.96	2322.97	2284.98
ENSG00000025800.9	7364.13	1638.00	1616.00	1550.00	1730.00
ENSG00000026025.9	1412.00	1.00	0.00	1.00	0.00
ENSG00000026036.16	5566.53	117.30	68.64	139.63	265.10
ENSG00000026103.15	2057.54	93.00	91.00	128.00	124.00
ENSG00000026297.11	1113.40	7927.31	6826.21	4225.00	5633.00
ENSG00000026508.12	1904.17	13.00	8.00	13.00	12.00
ENSG00000026652.9	2860.90	16.00	17.00	49.00	56.00
ENSG00000026950.12	2403.25	370.86	420.20	513.60	619.67
ENSG00000027001.7	2259.38	83.00	104.00	142.00	154.00
ENSG00000027075.9	2079.60	2.00	7.00	4.00	3.43
ENSG00000027697.8	2054.91	1868.00	1925.00	1868.00	1809.00
ENSG00000027847.9	1788.89	112.00	116.00	153.00	288.00
ENSG00000027869.7	1178.60	7.00	8.00	9.00	23.00
