symbol	length	Control_D0	Control_D1	AKAP8_D0	AKAP8_D1
ENSG00000004455.12	1138.18	2546.58	2822.73	2526.80	3283.26
ENSG00000004468.8	1989.80	0.00	0.00	3.00	0.00
ENSG00000004478.5	2150.54	1325.00	1595.00	1688.00	2369.00
ENSG00000004487.11	2794.61	2356.00	2655.00	1792.00	2619.00
ENSG00000004534.10	2291.32	5073.78	5364.00	3823.00	5315.14
ENSG00000004660.10	3630.60	31.00	54.00	41.00	61.00
ENSG00000004700.11	2934.13	307.00	288.00	325.00	531.00
ENSG00000004766.11	1962.85	329.00	337.00	338.00	521.00
ENSG00000004776.7	1457.00	7.00	6.00	2.00	5.00
ENSG00000004777.14	2681.57	145.00	203.00	120.00	160.00
ENSG00000004779.5	713.82	694.00	853.00	640.00	896.00
ENSG00000004799.7	3576.00	13.00	7.00	6.00	10.00
ENSG00000004809.9	1774.00	4.00	4.00	0.00	2.00
ENSG00000004838.9	1165.65	17.00	15.00	18.00	19.00
ENSG00000004864.9	2987.56	1034.00	1165.00	805.00	1274.00
ENSG00000004866.14	2242.35	319.74	371.86	326.00	468.00
ENSG00000004897.7	2223.54	2145.00	2073.00	1704.00	2450.00
ENSG00000004939.9	1941.50	2.00	0.00	1.00	0.00
ENSG00000004961.10	1481.37	233.00	273.00	263.00	397.00
ENSG00000004975.7	2321.54	613.00	875.00	714.00	932.00
ENSG00000005001.5	1016.02	2.00	3.00	4.00	4.00
ENSG00000005007.8	5030.44	1767.00	2540.00	1939.00	2772.00
ENSG00000005020.8	1796.82	392.00	396.00	533.00	798.00
ENSG00000005022.5	1264.17	3091.00	4204.00	2911.00	4179.00
ENSG00000005059.11	1023.58	4.00	10.00	7.00	12.00
ENSG00000005073.5	2216.00	0.00	0.00	0.00	0.00
ENSG00000005075.11	680.88	710.75	810.60	764.20	950.84
ENSG00000005100.8	4812.99	817.00	927.00	639.00	894.00
ENSG00000005108.11	4061.15	7.00	5.00	10.00	10.00
ENSG00000005156.7	2059.91	825.00	954.00	571.00	730.00
ENSG00000005175.5	2010.68	482.00	444.00	428.00	650.00
ENSG00000005187.7	1134.27	1221.00	1409.00	970.00	1407.00
ENSG00000005189.15	2215.08	112.00	128.00	85.00	122.00
ENSG00000005194.10	1668.48	642.00	793.00	845.00	1157.00
ENSG00000005206.12	1725.79	366.00	462.00	446.00	565.00
ENSG00000005238.15	2650.16	180.00	226.00	362.00	511.00
ENSG00000005243.5	769.33	0.00	4.00	4.00	5.00
ENSG00000005249.8	3745.00	2.00	1.00	1.00	3.00
ENSG00000005302.13	2044.04	159.00	204.00	215.00	301.00
ENSG00000005339.8	7619.38	2625.00	3088.00	2143.00	2845.00
ENSG00000005379.11	5947.00	1.00	2.00	0.00	2.00
ENSG00000005381.6	3215.00	0.00	1.00	1.00	1.00
ENSG00000005421.4	987.09	5.00	3.05	14.00	17.01
ENSG00000005436.9	1779.85	457.00	478.00	375.00	498.00
ENSG00000005448.12	1067.70	55.00	64.00	143.00	159.00
ENSG00000005469.7	2222.74	178.00	181.00	230.00	310.00
ENSG00000005471.11	3196.65	715.00	727.00	763.00	1105.19
ENSG00000005483.15	5476.63	2872.00	2868.00	2474.00	3365.00
ENSG00000005486.12	1435.49	496.00	785.00	998.00	1362.00
ENSG00000005513.9	3372.57	10.00	14.00	27.00	15.00
ENSG00000005700.10	4125.47	2167.00	1890.00	1366.00	2096.00
ENSG00000005801.12	1753.31	392.00	381.00	328.00	476.00
ENSG00000005810.13	5921.97	1345.00	1429.00	1107.00	1715.00
ENSG00000005812.6	2941.32	497.00	443.00	432.00	563.00
ENSG00000005844.13	1530.87	74.00	94.00	31.00	44.00
ENSG00000005882.7	1110.36	419.00	604.00	466.00	611.00
ENSG00000005884.13	3162.48	44.00	45.00	356.00	597.00
ENSG00000005889.11	4677.76	1132.00	1224.00	737.00	989.00
ENSG00000005893.11	2175.04	3591.00	3506.00	3324.00	4608.00
ENSG00000005955.8	1989.68	1489.00	1431.00	1248.00	1735.00
ENSG00000005961.13	1060.43	38.00	48.00	77.00	80.00
ENSG00000005981.8	3460.09	47.00	42.00	162.00	267.00
ENSG00000006007.7	2908.02	2082.00	2300.00	3429.00	4722.00
ENSG00000006015.13	1285.60	49.00	66.00	47.00	65.00
ENSG00000006016.6	1341.45	2635.00	3839.00	3591.00	4697.00
ENSG00000006025.7	3107.73	196.00	290.00	288.00	417.00
ENSG00000006042.7	1480.59	1035.00	1294.00	976.00	1385.00
ENSG00000006047.8	1338.93	15.00	18.00	15.00	31.00
ENSG00000006062.9	4199.58	74.00	113.00	125.00	170.00
ENSG00000006071.7	1381.05	0.00	0.00	0.00	0.00
ENSG00000006114.11	4413.70	783.00	862.00	846.00	1256.00
ENSG00000006118.10	1680.25	427.00	613.00	722.00	1038.00
ENSG00000006125.12	5441.72	4515.99	5051.00	5724.00	7736.00
ENSG00000006194.6	2224.86	635.00	726.00	549.00	807.00
ENSG00000006210.6	3312.93	2696.00	3738.00	1546.00	2124.00
ENSG00000006282.15	2088.80	784.00	1156.00	1382.00	1998.00
ENSG00000006283.13	4899.00	2.00	3.00	0.00	1.00
ENSG00000006327.9	870.71	614.00	820.00	1260.00	1660.00
ENSG00000006377.9	1788.55	135.00	149.00	134.00	165.00
ENSG00000006432.11	8639.38	681.00	792.00	1019.00	1383.00
ENSG00000006451.3	1835.04	692.00	758.00	536.00	809.00
ENSG00000006453.9	2730.51	1167.00	1153.00	1547.00	1950.00
ENSG00000006459.6	6356.79	2940.00	2728.00	2460.00	3373.00
ENSG00000006468.9	951.81	7.00	7.00	2.00	11.00
ENSG00000006530.11	2126.85	478.00	587.00	452.00	597.00
ENSG00000006534.11	2893.81	101.00	108.00	152.00	189.00
ENSG00000006576.12	4299.29	314.00	276.00	462.00	592.00
ENSG00000006606.4	526.00	0.00	0.00	1.00	1.00
ENSG00000006607.9	2907.25	933.00	1153.00	894.00	1202.00
ENSG00000006611.11	972.07	0.00	1.00	2.00	3.00
ENSG00000006625.13	1104.24	253.98	279.00	177.00	295.38
ENSG00000006634.3	2153.32	312.98	273.91	198.95	302.96
ENSG00000006638.7	2608.00	2.00	1.00	3.00	5.00
ENSG00000006652.9	1961.76	1143.00	1065.00	1163.00	1711.00
ENSG00000006659.8	750.28	0.00	1.00	0.00	2.00
ENSG00000006695.6	2383.26	368.00	414.00	328.00	485.00
ENSG00000006704.6	2325.98	614.00	799.00	733.00	905.00
ENSG00000006712.10	2063.79	931.00	1044.00	1142.00	1614.00
ENSG00000006715.11	2287.57	649.00	714.00	622.00	888.00
ENSG00000006740.12	4232.92	92.00	113.00	63.00	109.00
ENSG00000006744.14	1608.66	651.00	807.00	709.00	1091.00
ENSG00000006747.10	1391.55	0.00	0.00	0.00	0.00
ENSG00000006756.11	4522.45	396.00	444.00	472.00	754.00
ENSG00000006757.7	1145.64	228.00	300.00	240.00	320.00
ENSG00000006831.9	3893.56	3084.00	3560.00	2580.00	3418.00
ENSG00000006837.7	1045.24	63.95	43.11	40.00	32.67
ENSG00000007001.8	1003.00	1.00	1.00	3.00	2.00
ENSG00000007047.10	3360.26	1149.00	1396.00	1126.00	1479.00
ENSG00000007062.7	2703.21	474.00	499.00	573.00	937.00
ENSG00000007080.6	893.39	200.00	270.00	202.00	293.00
ENSG00000007168.8	1974.98	1458.00	1604.00	1507.00	2341.00
ENSG00000007171.12	4176.00	3.00	1.00	0.00	0.00
ENSG00000007202.10	6139.14	3225.00	3807.00	3707.00	5495.00
ENSG00000007216.10	2311.38	0.00	0.00	0.00	0.00
ENSG00000007237.14	3741.55	49.00	69.00	30.00	54.00
ENSG00000007255.6	746.73	120.00	185.00	195.00	296.00
ENSG00000007264.9	1042.07	2.00	2.00	1.00	0.00
ENSG00000007312.8	600.06	1.00	0.00	1.00	3.00
ENSG00000007314.7	2610.50	9.00	4.00	20.00	24.00
ENSG00000007341.14	1107.32	176.00	234.00	178.00	222.00
ENSG00000007350.12	1083.78	1.00	0.00	0.00	0.00
ENSG00000007372.16	1291.98	29.00	34.00	73.00	97.00
ENSG00000007376.3	1778.63	79.00	130.00	125.00	154.00
ENSG00000007384.11	1192.20	314.00	362.00	582.00	736.00
ENSG00000007392.12	1745.35	1437.00	1657.00	1543.00	2021.00
ENSG00000007402.7	4457.20	0.00	0.00	0.00	0.00
ENSG00000007516.9	3607.60	206.00	268.00	502.00	585.00
ENSG00000007520.3	1243.00	158.00	307.00	157.00	239.00
ENSG00000007541.10	1891.14	127.32	198.00	280.00	397.64
ENSG00000007545.11	5116.51	764.16	881.48	757.34	998.39
ENSG00000007866.14	2849.19	1259.00	1692.00	1285.00	1644.00
ENSG00000007908.11	3389.00	2.00	2.00	3.00	2.00
ENSG00000007923.11	2070.01	1386.00	1743.00	1269.00	1733.00
ENSG00000007944.10	2173.59	119.00	105.00	127.00	184.00
ENSG00000007952.13	1440.60	0.00	1.00	0.00	0.00
ENSG00000007968.6	4695.29	34.00	55.00	27.00	17.00
ENSG00000008018.8	965.86	1956.00	2405.00	1903.00	2899.00
ENSG00000008056.8	3165.00	1.00	0.00	3.00	8.00
ENSG00000008083.9	5671.02	933.00	987.00	785.00	984.00
ENSG00000008086.6	2785.30	137.00	129.00	131.00	154.00
ENSG00000008128.18	1500.49	814.03	826.85	757.32	1042.97
ENSG00000008130.11	1999.43	982.00	1466.00	765.00	1146.00
ENSG00000008226.15	4775.97	3.00	14.00	8.00	8.00
ENSG00000008256.11	3586.67	160.00	180.00	195.00	300.00
ENSG00000008277.10	7676.68	197.00	222.00	132.00	200.00
ENSG00000008282.3	2068.52	829.00	849.00	753.00	1182.00
ENSG00000008283.11	3001.00	19.00	38.00	19.00	30.00
ENSG00000008294.16	3864.03	4203.00	4448.00	3120.00	4297.00
ENSG00000008300.10	6719.90	1170.00	1528.00	1141.00	1510.00
ENSG00000008311.10	2868.84	478.00	506.00	410.00	568.00
ENSG00000008323.11	2521.90	417.00	556.00	519.00	631.00
ENSG00000008324.6	805.96	74.00	91.00	87.00	123.00
ENSG00000008382.11	1364.44	134.00	178.00	117.00	172.00
ENSG00000008394.8	722.58	969.00	1089.00	841.00	1071.00
ENSG00000008405.7	2686.18	432.00	468.00	439.00	611.00
ENSG00000008441.12	3782.02	531.00	662.00	511.00	736.00
ENSG00000008513.10	3869.18	1556.00	1877.00	942.00	1257.00
ENSG00000008516.12	3554.00	0.00	1.00	5.00	3.00
ENSG00000008517.12	941.28	3151.00	3935.00	6151.00	8085.00
ENSG00000008710.13	2589.24	968.05	1603.65	1448.68	1950.90
ENSG00000008735.10	2615.59	40.00	81.00	43.00	67.00
ENSG00000008838.13	1629.07	1657.00	2136.00	1610.00	2121.00
ENSG00000008853.12	4331.13	243.00	327.00	278.00	412.00
ENSG00000008869.7	6755.30	651.00	692.00	651.00	1112.00
ENSG00000008952.12	2135.55	3169.00	2995.00	2651.00	4019.00
ENSG00000008988.5	628.70	5880.00	7046.00	3912.00	5939.00
ENSG00000009307.11	3368.29	11960.00	11899.00	10128.00	14380.00
ENSG00000009335.13	4714.90	1238.00	1306.00	1281.00	1861.00
ENSG00000009413.11	7888.44	1318.00	1359.00	1278.00	1940.00
ENSG00000009694.9	12875.00	5.00	12.00	4.00	16.00
ENSG00000009724.12	1298.91	176.00	269.00	235.00	264.00
ENSG00000009765.10	612.95	2.00	3.00	0.00	2.00
ENSG00000009780.11	2295.54	144.00	147.00	147.00	211.00
ENSG00000009790.10	1355.50	0.00	0.00	0.00	0.00
ENSG00000009830.7	2120.50	384.00	450.00	568.00	743.00
ENSG00000009844.11	1863.16	1115.00	1168.00	1015.00	1463.00
ENSG00000009950.11	1523.37	2432.00	3679.00	1767.00	2451.00
ENSG00000009954.6	5815.87	2948.00	3031.00	2412.00	3650.00
ENSG00000010017.9	2269.34	1356.00	1433.00	1246.00	1687.00
ENSG00000010030.9	1670.00	0.00	0.00	2.00	0.00
ENSG00000010072.11	2486.91	110.00	140.00	140.00	223.00
ENSG00000010165.15	2275.65	301.00	394.00	424.00	538.00
ENSG00000010219.9	677.44	138.00	191.00	132.00	191.00
ENSG00000010244.12	2428.45	3650.00	3947.00	3228.00	4183.00
ENSG00000010256.6	1182.76	3259.00	4370.00	3412.00	4498.00
ENSG00000010270.9	1438.27	415.00	448.00	571.00	820.00
ENSG00000010278.7	1100.77	237.00	264.00	365.00	579.00
ENSG00000010282.10	861.50	3.00	0.00	1.00	0.00
ENSG00000010292.8	4136.29	2466.00	2978.00	1791.00	2331.00
ENSG00000010295.15	2489.16	314.00	472.00	324.00	449.00
ENSG00000010310.4	1719.04	99.00	95.00	208.00	258.00
ENSG00000010318.15	1089.44	98.00	105.00	99.00	113.00
ENSG00000010319.2	4400.98	768.00	930.00	619.00	766.00
ENSG00000010322.11	2823.88	1441.00	1928.00	1534.00	1869.00
ENSG00000010327.6	3308.65	3.00	18.00	24.00	22.00
ENSG00000010361.9	555.77	0.00	2.00	1.00	2.00
ENSG00000010379.11	945.21	2.00	5.00	5.00	12.00
ENSG00000010404.13	5080.92	1061.28	1071.28	2324.00	3284.88
ENSG00000010539.7	2128.83	165.00	162.00	155.00	202.00
ENSG00000010610.5	2816.62	22.00	30.00	32.00	64.00
ENSG00000010626.10	1231.26	87.63	92.32	91.14	136.42
ENSG00000010704.14	2035.88	72.00	112.00	101.00	157.00
ENSG00000010803.12	2663.52	1226.00	1433.00	793.00	1120.00
ENSG00000010810.13	1250.78	426.00	524.00	714.00	1027.00
ENSG00000010818.4	9593.57	3032.00	3011.00	3690.00	4611.00
ENSG00000011007.8	3813.27	1035.00	1112.00	1042.00	1537.00
ENSG00000011009.6	1710.95	1020.00	1500.12	1816.00	2429.00
ENSG00000011021.17	5144.25	2231.77	2898.46	2080.72	2671.74
ENSG00000011028.9	2025.00	0.00	0.00	0.00	1.00
ENSG00000011052.17	1005.37	150.96	255.18	317.10	317.33
ENSG00000011105.7	3601.49	1308.00	1814.00	985.00	1282.00
ENSG00000011114.10	6141.78	753.00	823.00	707.00	1015.00
ENSG00000011132.7	1375.31	164.00	219.00	211.00	311.00
ENSG00000011143.12	1444.57	281.00	355.00	288.00	420.00
ENSG00000011198.3	1690.00	87.00	92.00	114.00	148.00
ENSG00000011201.6	6314.00	0.00	1.00	0.00	2.00
ENSG00000011243.13	1578.77	1548.00	1875.00	1834.00	2474.00
ENSG00000011258.11	4848.74	1451.00	1461.00	1024.00	1334.00
ENSG00000011260.9	1868.64	530.00	546.00	503.00	671.00
ENSG00000011275.14	4283.59	1350.00	1650.00	1411.00	1906.00
ENSG00000011295.11	2584.95	514.00	507.00	476.00	745.00
ENSG00000011304.12	1579.62	4129.00	5701.00	4219.00	5475.00
ENSG00000011332.15	1089.58	16.00	24.00	21.00	27.00
ENSG00000011347.5	4287.41	692.00	855.00	721.00	912.00
ENSG00000011376.5	4187.41	672.00	860.00	571.00	825.00
ENSG00000011405.9	6149.70	3153.00	2807.00	3004.00	3959.00
ENSG00000011422.7	1385.77	55.00	51.00	114.00	185.00
ENSG00000011426.6	2882.35	1103.00	1021.00	478.00	603.00
ENSG00000011451.13	4217.76	570.00	749.00	733.00	1117.00
ENSG00000011454.12	4013.20	1394.00	1574.00	933.00	1335.00
ENSG00000011478.7	2110.52	317.00	510.00	357.00	479.00
ENSG00000011485.10	1646.88	679.00	916.00	832.00	1134.00
ENSG00000011523.9	4026.72	449.00	496.00	543.00	651.00
ENSG00000011566.10	3790.80	4439.00	4188.00	2635.00	3822.00
ENSG00000011600.7	522.00	0.00	0.00	1.00	1.00
ENSG00000011638.6	1255.48	101.00	115.00	155.00	204.00
ENSG00000011677.8	3712.00	0.00	0.00	1.00	3.00
ENSG00000012048.15	2851.63	198.00	193.00	96.00	159.00
ENSG00000012061.11	1274.87	669.00	846.00	819.00	1178.00
ENSG00000012124.10	1619.86	12.00	26.00	23.00	29.00
ENSG00000012171.13	2059.88	1868.00	2454.00	2373.00	3172.00
ENSG00000012174.7	4385.78	662.85	723.93	699.00	991.79
ENSG00000012211.8	2216.63	89.00	98.00	151.00	204.00
ENSG00000012232.4	6545.59	587.00	802.00	856.00	1222.00
ENSG00000012504.9	1798.93	809.00	796.00	230.00	332.00
ENSG00000012660.9	2668.84	2793.00	2905.00	2654.00	4012.00
ENSG00000012779.6	1323.29	1.00	3.00	4.00	4.00
ENSG00000012817.11	3613.14	1725.00	1940.00	1658.00	2361.00
ENSG00000012822.11	2297.33	1809.00	2019.00	2145.00	2785.00
ENSG00000012963.9	3515.26	349.00	392.52	299.00	422.58
ENSG00000012983.7	3321.14	920.00	927.00	959.00	1400.00
ENSG00000013016.10	4636.00	21.00	22.00	16.00	14.00
ENSG00000013275.3	1544.27	890.00	1055.00	1150.00	1700.00
ENSG00000013288.4	5452.12	404.00	543.00	607.00	881.00
ENSG00000013297.6	1862.28	61.00	76.00	56.00	86.00
ENSG00000013306.11	1498.81	1790.00	2561.00	2628.00	3426.00
ENSG00000013364.14	1874.97	829.98	990.89	2111.00	3134.00
ENSG00000013374.11	1510.05	1213.00	1273.00	938.00	1322.00
ENSG00000013375.11	4078.84	2144.00	2279.00	1593.00	2302.00
ENSG00000013392.6	3025.13	246.00	317.00	233.00	360.00
ENSG00000013441.11	1934.69	1665.00	1681.00	1499.00	1932.00
ENSG00000013503.5	4190.67	246.00	241.00	201.00	314.00
ENSG00000013523.5	3535.89	630.00	811.00	499.00	661.00
ENSG00000013561.13	2085.90	251.00	277.00	287.00	456.00
ENSG00000013563.9	2136.57	245.00	260.00	387.00	566.00
ENSG00000013573.12	2161.21	496.70	685.57	514.18	717.75
ENSG00000013583.4	1214.66	279.00	322.00	283.00	353.00
ENSG00000013588.5	4833.15	114.00	126.00	231.00	277.00
ENSG00000013619.9	2906.02	3.00	1.00	12.00	13.00
ENSG00000013810.14	2617.25	524.98	585.12	278.58	380.98
ENSG00000014123.9	4181.27	1132.00	1022.00	940.00	1294.00
ENSG00000014138.4	1213.14	102.00	145.00	95.00	141.00
ENSG00000014164.6	3202.69	420.00	536.00	472.00	593.00
ENSG00000014216.11	1820.31	1266.00	1717.00	2067.00	3035.00
ENSG00000014641.13	1404.34	1449.00	1696.00	1596.00	2286.00
ENSG00000014824.9	2715.00	904.00	914.00	869.00	1293.00
ENSG00000014914.15	1729.15	106.00	106.00	163.00	236.00
ENSG00000014919.8	2439.53	610.00	650.00	581.00	844.00
ENSG00000015133.14	5632.10	398.00	499.00	357.00	528.00
ENSG00000015153.10	1174.42	127.00	116.00	140.00	177.00
ENSG00000015171.14	2732.90	1317.00	1296.00	1145.00	1733.00
ENSG00000015285.6	1843.27	3.00	4.00	6.00	4.00
ENSG00000015413.5	1106.65	98.00	147.00	89.00	112.00
ENSG00000015475.14	1206.85	145.00	157.00	208.00	292.00
ENSG00000015479.13	2090.87	7010.00	6742.00	5042.00	7664.00
ENSG00000015520.10	4638.33	943.00	1470.00	1216.00	1482.00
ENSG00000015532.5	3391.18	738.00	942.00	938.00	1337.00
ENSG00000015568.8	4548.79	61.85	287.72	122.03	601.63
ENSG00000015592.12	1389.90	0.00	0.00	0.00	3.00
ENSG00000015676.13	2133.15	946.00	1162.00	1019.00	1368.00
ENSG00000016391.6	7283.82	2478.00	3239.00	1913.00	2575.00
ENSG00000016864.12	1237.68	1175.00	1316.00	775.00	1161.00
ENSG00000017260.15	2984.95	1188.00	1245.00	1120.00	1607.00
ENSG00000017373.11	3048.03	618.00	862.00	440.00	627.00
ENSG00000017427.11	7359.00	0.00	0.00	0.00	1.00
ENSG00000017483.10	1725.97	864.00	1116.00	770.00	1064.00
ENSG00000017621.11	1014.96	6.00	8.00	12.00	13.00
ENSG00000017797.7	4002.78	1504.00	1586.00	1526.00	2083.00
ENSG00000018189.8	2244.49	480.00	438.00	473.00	723.00
ENSG00000018236.10	1982.08	0.00	0.00	1.00	0.00
ENSG00000018280.12	1845.44	22.00	37.00	60.00	52.00
ENSG00000018408.10	2096.73	4053.00	3973.00	3747.00	4877.00
ENSG00000018510.8	7249.49	2872.00	3013.00	2900.00	4123.00
ENSG00000018610.9	1747.64	197.00	225.00	215.00	270.00
ENSG00000018625.10	996.33	1.00	4.00	2.00	3.00
ENSG00000018699.7	2114.35	555.00	606.00	509.00	824.00
ENSG00000018869.12	1461.26	12.00	22.00	30.00	30.00
ENSG00000019102.7	1150.72	18.00	37.00	46.00	64.00
ENSG00000019144.12	3865.91	589.00	763.00	860.00	1222.00
ENSG00000019186.5	2332.43	106.00	139.00	309.00	443.00
ENSG00000019485.8	1689.15	18.00	60.00	30.00	40.00
ENSG00000019505.3	3100.99	13.00	11.00	53.00	107.00
ENSG00000019549.4	2146.00	2.00	1.00	0.00	0.00
ENSG00000019582.10	1363.94	1390.00	1713.00	2016.00	2856.00
ENSG00000019995.6	5695.00	1185.09	1249.98	887.55	1320.83
ENSG00000020129.11	2532.79	188.00	277.00	315.00	468.00
ENSG00000020181.13	6030.70	15.00	14.00	7.00	16.00
ENSG00000020256.15	2080.11	565.00	680.00	565.00	761.00
ENSG00000020426.6	922.64	538.00	573.00	560.00	761.00
ENSG00000020577.9	4469.91	1964.00	2038.00	2099.00	2574.00
ENSG00000020633.14	3861.00	20.00	29.00	10.00	13.00
ENSG00000020922.8	2561.87	399.00	369.00	247.00	379.00
ENSG00000021300.9	1798.23	1405.00	1666.00	1172.00	1710.00
ENSG00000021355.8	1496.82	1544.00	1523.00	1759.00	2383.00
ENSG00000021461.12	758.10	45.00	53.00	8.00	21.00
ENSG00000021488.8	1509.94	34.00	36.00	22.00	16.00
ENSG00000021574.7	5116.92	897.00	818.00	583.00	802.00
ENSG00000021645.13	3554.62	0.00	0.00	3.00	9.00
ENSG00000021762.15	1279.34	0.00	1.00	0.00	2.00
ENSG00000021776.6	3636.07	889.00	836.00	711.00	1015.00
ENSG00000021826.10	3284.15	990.00	1132.00	888.00	1269.00
ENSG00000021852.8	1941.07	315.00	353.00	269.00	375.00
ENSG00000022267.12	1415.97	0.00	3.00	8.00	23.00
ENSG00000022277.8	1480.39	1295.00	1629.00	1462.00	2143.00
ENSG00000022567.5	2852.71	0.00	2.00	1.00	0.00
ENSG00000022840.11	2236.05	2369.00	2809.00	2465.00	3290.00
ENSG00000022976.11	2564.63	201.00	237.00	209.00	326.00
ENSG00000023041.7	1619.23	454.00	429.00	425.00	627.00
ENSG00000023171.10	3865.71	0.00	1.00	4.00	6.00
ENSG00000023191.12	1734.77	696.00	988.00	1036.00	1386.00
ENSG00000023228.9	2603.61	3062.75	3541.96	2822.56	4050.45
ENSG00000023287.8	5629.65	3023.00	2598.00	2279.00	3130.00
ENSG00000023318.7	4854.00	1019.00	1161.00	1129.00	1644.00
ENSG00000023330.10	1992.16	619.00	818.00	788.00	1193.00
ENSG00000023445.9	4374.20	83.00	55.00	171.00	239.00
ENSG00000023516.7	9913.00	1437.00	1454.00	1284.00	1728.00
ENSG00000023572.4	701.00	64.00	72.00	72.00	101.00
ENSG00000023608.4	2656.00	173.99	153.56	160.16	255.73
ENSG00000023697.8	1564.35	330.00	376.00	400.00	542.00
ENSG00000023734.6	1810.87	1662.00	1820.00	1620.00	2500.00
ENSG00000023839.6	5235.95	10596.00	12344.00	8642.00	11735.00
ENSG00000023892.9	2041.10	117.00	149.00	147.00	248.00
ENSG00000023902.9	1985.99	147.00	218.00	200.00	304.00
ENSG00000023909.5	2811.31	448.00	439.00	423.00	655.00
ENSG00000024048.6	7797.98	1375.00	1543.00	1451.00	1931.00
ENSG00000024422.7	3585.00	112.00	97.00	147.00	191.00
ENSG00000024526.12	3549.90	323.00	269.00	126.00	154.00
ENSG00000024862.12	1496.00	163.00	167.00	154.00	226.00
ENSG00000025039.10	4900.00	4.00	13.00	6.00	7.00
ENSG00000025156.8	2487.13	379.00	327.00	351.00	517.00
ENSG00000025293.11	5393.66	967.00	1076.00	1095.00	1623.00
ENSG00000025423.7	1370.28	38.00	44.00	32.00	40.00
ENSG00000025434.14	1274.24	528.00	691.00	556.00	753.00
ENSG00000025708.8	1647.99	27.00	59.53	64.00	76.78
ENSG00000025770.14	1594.41	171.00	250.00	145.00	218.00
ENSG00000025772.7	2062.00	962.00	1120.00	2366.00	3595.00
ENSG00000025796.9	4149.32	3112.88	3145.96	2505.85	3885.83
ENSG00000025800.9	7370.84	1881.00	2206.00	2132.00	2907.00
ENSG00000026025.9	1412.00	0.00	0.00	0.00	0.00
ENSG00000026036.16	5577.00	127.02	264.31	385.91	488.67
ENSG00000026103.15	2349.21	82.00	84.00	152.00	235.00
ENSG00000026297.11	1227.34	6319.57	7231.00	4955.39	5708.02
ENSG00000026508.12	2044.53	12.00	4.00	11.00	18.00
ENSG00000026652.9	4583.36	17.00	21.00	22.00	26.00
ENSG00000026950.12	2804.46	557.13	596.93	480.97	687.58
ENSG00000027001.7	2376.09	101.00	142.00	139.00	183.00
ENSG00000027075.9	2932.00	6.00	10.00	2.00	6.71
