symbol	length	Control_D0	Control_D1	AKAP1_D0	AKAP1_D1
ENSG00000005206.12	2177.71	444.00	333.00	642.00	721.00
ENSG00000005238.15	2748.14	198.00	170.00	282.00	358.00
ENSG00000005243.5	613.67	2.00	8.00	8.00	11.00
ENSG00000005249.8	3745.00	8.00	6.00	15.00	25.00
ENSG00000005302.13	1955.36	226.00	204.00	583.00	599.00
ENSG00000005339.8	8973.80	1657.00	1385.00	1032.00	1022.00
ENSG00000005379.11	1553.00	0.00	0.00	2.00	1.00
ENSG00000005381.6	3215.00	1.00	0.00	3.00	3.00
ENSG00000005421.4	1785.92	19.12	30.00	20.00	8.08
ENSG00000005436.9	1677.20	826.00	882.00	1208.00	1171.00
ENSG00000005448.12	1136.14	219.00	191.00	798.00	872.00
ENSG00000005469.7	2858.50	268.00	316.00	820.00	746.00
ENSG00000005471.11	2865.93	1134.04	1060.00	537.00	447.14
ENSG00000005483.15	4762.47	1694.00	1639.00	1239.00	1218.00
ENSG00000005486.12	1545.58	932.00	695.00	2283.00	2527.00
ENSG00000005513.9	3719.46	10.00	7.00	12.00	8.00
ENSG00000005700.10	5922.20	2698.00	2663.00	4853.00	4463.00
ENSG00000005801.12	1816.69	394.00	382.00	940.00	986.00
ENSG00000005810.13	5423.79	1048.00	1036.00	2907.00	2815.00
ENSG00000005812.6	3114.52	695.00	630.00	1027.00	1037.00
ENSG00000005844.13	2083.59	246.00	244.00	40.00	37.00
ENSG00000005882.7	1597.28	768.00	621.00	438.00	466.00
ENSG00000005884.13	3541.60	14.00	13.00	612.00	864.00
ENSG00000005889.11	5189.88	1675.00	1806.00	757.00	730.00
ENSG00000005893.11	2511.49	5721.00	5689.00	6203.00	6021.00
ENSG00000005955.8	2375.46	1363.00	1313.00	1442.00	1467.00
ENSG00000005961.13	702.79	60.00	48.00	68.00	59.00
ENSG00000005981.8	2806.31	26.00	37.00	639.00	605.00
ENSG00000006007.7	2486.40	2372.00	2454.00	4145.00	4019.00
ENSG00000006015.13	1062.71	57.00	51.00	159.00	166.00
ENSG00000006016.6	1020.93	4177.00	2573.00	5554.00	6579.00
ENSG00000006025.7	2609.63	163.00	109.00	291.00	374.00
ENSG00000006042.7	1385.48	2625.00	2573.00	2283.00	2239.00
ENSG00000006047.8	3835.17	14.00	9.00	3.00	6.00
ENSG00000006062.9	3639.43	124.00	84.00	172.00	230.00
ENSG00000006071.7	2848.90	0.00	0.00	7.00	7.00
ENSG00000006114.11	5619.83	762.00	809.00	1060.00	1060.00
ENSG00000006118.10	2345.61	929.00	635.00	2104.00	2399.00
ENSG00000006125.12	4598.12	5694.00	5598.00	8407.00	8466.00
ENSG00000006194.6	2096.04	832.00	688.00	885.00	941.00
ENSG00000006210.6	3322.95	3963.00	3258.00	1014.00	1196.00
ENSG00000006282.15	2429.86	1471.74	1099.00	3402.04	3893.00
ENSG00000006283.13	7648.00	0.00	1.00	1.00	1.00
ENSG00000006327.9	932.97	639.00	473.00	3183.00	3727.00
ENSG00000006377.9	1838.95	159.00	162.00	154.00	196.00
ENSG00000006432.11	10114.43	467.00	370.00	571.00	669.00
ENSG00000006451.3	2041.59	1036.00	1191.00	1155.00	1130.00
ENSG00000006453.9	3108.63	814.00	716.00	2510.00	2700.00
ENSG00000006459.6	6493.97	2061.00	1940.00	2048.00	2048.00
ENSG00000006468.9	2269.48	0.00	0.00	217.00	244.00
ENSG00000006530.11	2391.18	595.00	543.00	1242.00	1212.00
ENSG00000006534.11	2863.12	142.00	117.00	73.00	115.00
ENSG00000006576.12	4181.87	320.00	396.00	1200.00	1036.00
ENSG00000006606.4	614.50	0.00	0.00	0.00	0.00
ENSG00000006607.9	3621.84	1104.00	976.00	1084.00	1076.00
ENSG00000006611.11	1452.30	3.00	1.00	1.00	0.00
ENSG00000006625.13	1115.07	518.00	559.00	598.96	571.40
ENSG00000006634.3	2353.16	406.00	426.90	493.86	452.70
ENSG00000006638.7	2593.61	1.00	1.00	4.00	8.00
ENSG00000006652.9	2105.06	861.00	966.00	987.00	1047.00
ENSG00000006659.8	672.00	2.00	2.00	0.00	0.00
ENSG00000006695.6	2141.40	478.00	434.00	450.00	441.00
ENSG00000006704.6	2047.93	737.00	677.00	684.00	834.00
ENSG00000006712.10	2062.77	868.00	812.00	1911.00	2056.00
ENSG00000006715.11	2973.08	918.00	912.00	1332.00	1282.00
ENSG00000006740.12	4202.42	109.00	104.00	284.00	319.00
ENSG00000006744.14	2409.77	788.00	746.00	1510.00	1672.00
ENSG00000006747.10	2518.00	0.00	0.00	0.00	2.00
ENSG00000006756.11	4943.04	386.00	384.00	2547.00	2525.00
ENSG00000006757.7	1279.92	325.00	362.00	701.00	694.00
ENSG00000006831.9	3984.51	6421.00	6396.00	3856.00	3798.00
ENSG00000006837.7	743.02	41.52	51.45	105.99	93.60
ENSG00000007001.8	2389.00	3.00	8.00	1.00	4.00
ENSG00000007047.10	2145.95	1150.00	896.00	959.00	977.00
ENSG00000007062.7	3288.21	612.00	628.00	1001.00	1030.00
ENSG00000007080.6	922.95	269.00	191.00	838.00	915.00
ENSG00000007168.8	1574.58	2311.00	2226.00	3922.00	3789.00
ENSG00000007171.12	4176.00	0.00	1.00	2.00	4.00
ENSG00000007202.10	6477.73	3398.00	3305.00	5427.00	5749.00
ENSG00000007216.10	2226.00	0.00	1.00	3.00	1.00
ENSG00000007237.14	3471.20	62.00	56.00	146.00	165.00
ENSG00000007255.6	733.29	369.00	262.00	361.00	438.00
ENSG00000007264.9	571.00	0.00	0.00	0.00	2.00
ENSG00000007312.8	854.80	2.00	0.00	35.00	35.00
ENSG00000007314.7	7805.00	5.00	2.00	5.00	6.00
ENSG00000007341.14	1280.07	228.00	193.00	307.00	306.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1463.53	0.00	3.00	83.00	64.00
ENSG00000007376.3	1948.49	197.00	118.00	380.00	492.00
ENSG00000007384.11	1621.08	135.00	89.00	430.00	547.00
ENSG00000007392.12	1594.60	1054.00	877.00	1384.00	1388.00
ENSG00000007402.7	3210.90	0.00	1.00	4.00	8.00
ENSG00000007516.9	3287.11	185.00	101.00	989.00	1161.00
ENSG00000007520.3	1155.50	460.00	283.00	610.00	677.00
ENSG00000007541.10	2475.83	305.00	196.00	571.20	654.00
ENSG00000007545.11	5345.01	710.93	624.84	952.00	1037.62
ENSG00000007866.14	2928.78	1240.00	1027.00	633.00	688.00
ENSG00000007908.11	3389.00	0.00	0.00	2.00	2.00
ENSG00000007923.11	2574.36	1349.00	1210.00	2321.00	2395.00
ENSG00000007944.10	2328.45	106.00	113.00	284.00	334.00
ENSG00000007952.13	1534.91	2.00	2.00	29.00	20.00
ENSG00000007968.6	4001.06	99.00	114.00	54.00	51.00
ENSG00000008018.8	932.34	5003.00	4997.00	9371.00	8895.00
ENSG00000008056.8	3165.00	0.00	0.00	20.00	18.00
ENSG00000008083.9	5625.20	994.00	873.00	1297.00	1311.00
ENSG00000008086.6	3453.00	48.00	64.00	61.00	64.00
ENSG00000008128.18	1632.49	438.43	371.62	979.37	1018.38
ENSG00000008130.11	2639.71	1913.00	1712.00	1876.00	2003.00
ENSG00000008226.15	3140.62	0.00	4.00	0.00	0.00
ENSG00000008256.11	3893.29	136.00	150.00	397.00	345.00
ENSG00000008277.10	5395.93	203.00	245.00	736.00	724.00
ENSG00000008282.3	2111.05	2094.00	2054.00	3670.00	3159.00
ENSG00000008283.11	2945.63	56.00	59.00	311.00	331.00
ENSG00000008294.16	4756.41	4906.00	4902.00	5555.00	5416.00
ENSG00000008300.10	6389.95	935.00	627.00	1081.00	1204.00
ENSG00000008311.10	2968.76	519.00	542.00	969.00	888.00
ENSG00000008323.11	2649.42	830.00	647.00	102.00	96.00
ENSG00000008324.6	813.45	279.00	254.00	427.00	381.00
ENSG00000008382.11	1371.75	345.00	234.00	398.00	427.00
ENSG00000008394.8	895.53	2544.00	2477.00	1751.00	1613.00
ENSG00000008405.7	2932.59	429.00	426.00	1042.00	1107.00
ENSG00000008441.12	3495.36	430.00	339.00	268.00	296.00
ENSG00000008513.10	5301.61	2766.00	2472.00	513.00	579.00
ENSG00000008516.12	779.00	0.00	3.00	1.00	1.00
ENSG00000008517.12	905.76	3811.00	3090.00	2726.00	2886.00
ENSG00000008710.13	3693.07	1119.09	677.94	599.68	749.26
ENSG00000008735.10	2516.84	99.00	94.00	162.00	207.00
ENSG00000008838.13	2193.19	2223.00	1760.00	3091.00	3473.00
ENSG00000008853.12	5014.90	421.00	385.00	638.00	657.00
ENSG00000008869.7	6359.90	681.00	626.00	1227.00	1184.00
ENSG00000008952.12	2734.25	3573.00	3855.00	4544.00	4212.00
ENSG00000008988.5	628.32	14057.00	13445.00	11682.00	10772.00
ENSG00000009307.11	3711.74	13732.00	14080.00	16857.00	16142.00
ENSG00000009335.13	4791.87	1407.00	1360.00	3680.00	3666.00
ENSG00000009413.11	7174.89	1001.00	1026.00	2494.00	2354.00
ENSG00000009694.9	12875.00	4.00	5.00	1.00	2.00
ENSG00000009724.12	1113.41	323.00	257.00	81.00	93.00
ENSG00000009765.10	4221.66	7.00	12.00	3.00	3.00
ENSG00000009780.11	2067.43	159.00	140.00	265.00	282.00
ENSG00000009790.10	829.20	0.00	0.00	1.00	5.00
ENSG00000009830.7	1557.76	455.00	369.00	766.00	852.00
ENSG00000009844.11	2321.02	2242.00	2204.00	3572.00	3481.00
ENSG00000009950.11	1672.00	3723.00	2516.00	259.00	298.00
ENSG00000009954.6	5834.96	2745.00	2809.00	2780.00	2727.00
ENSG00000010017.9	3043.68	1833.00	1730.00	2438.00	2391.00
ENSG00000010030.9	1186.00	0.00	3.00	2.00	1.00
ENSG00000010072.11	3261.38	143.00	137.00	463.00	520.00
ENSG00000010165.15	2616.77	545.00	546.00	1294.00	1399.00
ENSG00000010219.9	677.41	217.00	244.00	257.00	231.00
ENSG00000010244.12	2239.35	3766.00	3980.00	3766.00	3879.00
ENSG00000010256.6	1125.55	6236.00	5219.00	4631.00	5136.00
ENSG00000010270.9	1516.12	870.00	925.00	1700.00	1628.00
ENSG00000010278.7	1064.86	487.00	484.00	361.00	460.00
ENSG00000010282.10	461.00	4.00	2.00	1.00	1.00
ENSG00000010292.8	4823.10	3356.00	3106.00	1731.00	1816.00
ENSG00000010295.15	2381.99	370.00	313.00	459.00	561.00
ENSG00000010310.4	2287.56	44.00	55.00	70.00	71.00
ENSG00000010318.15	924.53	123.00	116.00	112.00	140.00
ENSG00000010319.2	4554.40	1020.00	760.00	888.00	970.00
ENSG00000010322.11	3718.17	1465.00	1092.00	1398.00	1655.00
ENSG00000010327.6	5673.27	15.00	5.00	19.00	20.00
ENSG00000010361.9	1016.41	0.00	4.00	7.00	9.00
ENSG00000010379.11	1011.62	3.00	3.00	14.00	18.00
ENSG00000010404.13	2986.72	882.74	901.30	1609.44	1677.07
ENSG00000010539.7	2995.78	264.00	282.00	472.00	489.00
ENSG00000010610.5	2797.18	136.00	128.00	293.00	292.00
ENSG00000010626.10	1301.80	124.00	124.68	241.10	282.60
ENSG00000010704.14	2470.03	249.00	222.00	390.00	365.00
ENSG00000010803.12	2613.63	1349.00	1383.00	860.00	900.00
ENSG00000010810.13	1782.08	771.00	727.00	1582.00	1663.00
ENSG00000010818.4	9595.91	1200.00	1035.00	1065.00	1072.00
ENSG00000011007.8	3492.60	1078.00	1000.00	1496.00	1486.00
ENSG00000011009.6	1711.79	1771.00	1341.00	3148.81	3620.00
ENSG00000011021.17	4735.82	2754.73	2451.17	703.89	836.84
ENSG00000011028.9	4101.07	1.00	0.00	1.00	7.00
ENSG00000011052.17	1006.49	535.70	614.38	948.07	694.47
ENSG00000011105.7	2498.49	3408.00	2861.00	1142.00	1344.00
ENSG00000011114.10	6365.69	619.00	637.00	1241.00	1211.00
ENSG00000011132.7	1377.54	165.00	126.00	244.00	293.00
ENSG00000011143.12	1866.90	499.00	465.00	878.00	880.00
ENSG00000011198.3	1668.27	115.00	101.00	220.00	250.00
ENSG00000011201.6	2957.22	2.00	2.00	37.00	48.00
ENSG00000011243.13	1699.37	1413.00	1256.00	1196.00	1337.00
ENSG00000011258.11	4869.77	1946.00	2030.00	1089.00	1007.00
ENSG00000011260.9	1843.68	1313.00	1359.00	2958.00	2938.00
ENSG00000011275.14	4493.42	1425.00	1213.00	2417.57	2422.00
ENSG00000011295.11	2596.29	583.00	576.75	1418.17	1350.00
ENSG00000011304.12	1690.15	5549.00	4433.00	4511.00	4594.00
ENSG00000011332.15	1780.12	30.00	22.00	109.00	132.00
ENSG00000011347.5	3661.94	646.00	501.00	42.00	48.00
ENSG00000011376.5	4256.63	1022.00	961.00	1008.00	992.00
ENSG00000011405.9	6859.11	2799.00	2731.00	3440.00	3356.00
ENSG00000011422.7	1307.67	33.00	27.00	140.00	181.00
ENSG00000011426.6	4252.33	1389.00	1414.00	1134.00	987.00
ENSG00000011451.13	4260.86	603.00	350.00	867.00	1086.00
ENSG00000011454.12	4510.08	1536.00	1474.00	1962.00	2060.00
ENSG00000011478.7	2193.31	855.00	576.00	747.00	763.00
ENSG00000011485.10	2043.81	1026.00	861.00	2074.00	2293.00
ENSG00000011523.9	4013.61	672.00	715.00	803.00	907.00
ENSG00000011566.10	3889.76	4448.00	4546.00	5001.00	4498.00
ENSG00000011600.7	457.15	2.00	0.00	8.00	6.00
ENSG00000011638.6	1554.68	151.00	138.00	305.00	346.00
ENSG00000011677.8	3456.00	0.00	2.00	7.00	4.00
ENSG00000012048.15	4022.04	414.00	436.00	634.00	633.00
ENSG00000012061.11	1179.38	940.00	771.00	5033.00	5589.00
ENSG00000012124.10	2196.07	34.00	23.00	23.00	41.00
ENSG00000012171.13	2320.32	1652.00	1061.00	2060.00	2220.00
ENSG00000012174.7	4384.41	1397.00	1470.00	1622.82	1533.11
ENSG00000012211.8	1857.19	84.00	56.00	159.00	170.00
ENSG00000012232.4	6401.39	977.00	878.00	1926.00	1974.00
ENSG00000012504.9	2286.75	1402.00	1641.00	206.00	207.00
ENSG00000012660.9	2715.58	4762.00	4680.00	6623.00	6133.00
ENSG00000012779.6	2178.00	0.00	0.00	1.00	1.00
ENSG00000012817.11	4010.59	1290.00	1178.00	2299.00	2493.00
ENSG00000012822.11	2032.21	1097.00	989.00	1050.00	1226.00
ENSG00000012963.9	3510.41	611.00	638.00	1044.00	982.19
ENSG00000012983.7	3831.58	892.00	855.00	1326.00	1273.00
ENSG00000013016.10	4531.98	25.00	28.00	295.00	381.00
ENSG00000013275.3	1561.12	1511.00	1262.00	4072.00	4527.00
ENSG00000013288.4	5296.91	529.00	444.00	1374.00	1439.00
ENSG00000013297.6	1854.84	143.00	146.00	241.00	223.00
ENSG00000013306.11	1509.60	3439.00	2630.00	3012.00	3494.00
ENSG00000013364.14	2391.46	1064.00	799.00	2699.87	3209.00
ENSG00000013374.11	1942.51	1224.00	1121.00	1584.00	1557.00
ENSG00000013375.11	2375.95	3159.00	3406.00	2272.00	2145.00
ENSG00000013392.6	3077.76	327.00	334.00	421.00	368.00
ENSG00000013441.11	1766.01	1831.00	1874.00	1607.00	1429.00
ENSG00000013503.5	4273.00	344.00	315.00	900.00	945.00
ENSG00000013523.5	3713.37	971.00	908.00	1212.00	1381.00
ENSG00000013561.13	2127.65	359.00	363.00	1112.00	1082.00
ENSG00000013563.9	2054.71	295.00	236.00	664.00	658.00
ENSG00000013573.12	2355.64	535.35	361.81	520.29	531.97
ENSG00000013583.4	1198.84	598.00	544.00	299.00	333.00
ENSG00000013588.5	2193.10	13.00	6.00	116.00	198.00
ENSG00000013619.9	4004.15	0.00	0.00	15.00	3.00
ENSG00000013810.14	1990.41	774.56	628.01	573.73	551.87
ENSG00000014123.9	4190.93	1469.00	1483.00	1973.00	1830.00
ENSG00000014138.4	1995.25	205.00	192.00	271.00	268.00
ENSG00000014164.6	3280.00	421.00	246.00	199.00	260.00
ENSG00000014216.11	2481.36	1942.00	1565.00	3472.00	4033.00
ENSG00000014641.13	1385.31	5112.00	5126.00	10448.00	10603.00
ENSG00000014824.9	3146.99	1386.00	1480.00	3090.00	2913.00
ENSG00000014914.15	2908.08	76.00	86.00	75.00	74.00
ENSG00000014919.8	2491.21	1186.00	1288.00	1635.00	1683.00
ENSG00000015133.14	4929.85	351.00	279.00	522.00	532.00
ENSG00000015153.10	1983.32	177.00	184.00	380.00	346.00
ENSG00000015171.14	3497.48	1319.00	1264.00	2336.00	2369.00
ENSG00000015285.6	1717.27	10.00	3.00	4.00	6.00
ENSG00000015413.5	1582.73	281.00	193.00	396.00	480.00
ENSG00000015475.14	1108.05	368.00	336.00	709.00	769.00
ENSG00000015479.13	2519.07	9810.00	10390.00	10625.00	9729.00
ENSG00000015520.10	4757.35	1725.00	1362.00	837.00	920.00
ENSG00000015532.5	3373.64	999.00	749.00	1292.00	1394.00
ENSG00000015568.8	6013.07	811.70	382.95	939.67	809.74
ENSG00000015592.12	1004.00	1.00	0.00	5.00	4.00
ENSG00000015676.13	2421.29	1118.00	1116.00	1616.00	1791.00
ENSG00000016391.6	7665.00	3994.00	3821.00	1030.00	1111.00
ENSG00000016864.12	1262.72	2246.00	2354.00	1795.00	1750.00
ENSG00000017260.15	3748.92	1927.00	1961.00	2577.00	2420.00
ENSG00000017373.11	2580.30	343.00	190.00	94.00	118.00
ENSG00000017427.11	1413.34	0.00	0.00	19.00	19.00
ENSG00000017483.10	1569.11	1285.00	984.00	586.00	639.00
ENSG00000017621.11	1402.47	15.00	10.00	18.00	7.00
ENSG00000017797.7	4179.14	1452.00	1291.00	1062.00	1094.00
ENSG00000018189.8	2313.26	319.00	334.00	597.00	516.00
ENSG00000018236.10	5557.00	0.00	0.00	1.00	1.00
ENSG00000018280.12	3529.64	56.00	38.00	48.00	34.00
ENSG00000018408.10	2561.22	3501.00	3125.00	3256.00	3081.00
ENSG00000018510.8	7380.89	4342.00	4448.00	3548.00	3414.00
ENSG00000018610.9	2325.78	272.00	329.00	772.00	795.00
ENSG00000018625.10	2310.75	11.00	20.00	2.00	0.00
ENSG00000018699.7	2876.00	1040.00	996.00	1948.00	1868.00
ENSG00000018869.12	1666.72	34.00	27.00	89.00	70.00
ENSG00000019102.7	1152.26	28.00	20.00	64.00	52.00
ENSG00000019144.12	3041.52	475.00	407.00	702.00	830.00
ENSG00000019186.5	2575.52	150.00	123.00	3174.00	3399.00
ENSG00000019485.8	1438.46	63.00	40.00	161.00	170.00
ENSG00000019505.3	5144.00	3.00	2.00	33.00	37.00
ENSG00000019549.4	2146.00	6.00	3.00	0.00	0.00
ENSG00000019582.10	1294.11	1955.00	1567.00	2410.00	2705.00
ENSG00000019995.6	5528.57	1334.26	1287.86	1138.55	1173.06
ENSG00000020129.11	2674.85	281.00	179.00	1007.00	1149.00
ENSG00000020181.13	6270.00	15.00	14.00	18.00	21.00
ENSG00000020256.15	2876.00	504.00	416.00	727.00	708.00
ENSG00000020426.6	988.69	817.00	822.00	1201.00	1160.00
ENSG00000020577.9	3758.58	895.00	691.00	2171.00	2469.00
ENSG00000020633.14	2534.48	31.00	31.00	16.00	23.00
ENSG00000020922.8	2462.64	517.00	525.00	710.00	732.00
ENSG00000021300.9	1695.06	1456.00	1256.00	1347.00	1416.00
ENSG00000021355.8	1864.12	2756.00	2752.00	2988.00	2948.00
ENSG00000021461.12	512.60	61.00	59.00	3.00	3.00
ENSG00000021488.8	1631.41	145.00	114.00	50.00	49.00
ENSG00000021574.7	5116.91	1291.00	1397.00	2787.00	2644.00
ENSG00000021645.13	4633.00	0.00	0.00	3.00	3.00
ENSG00000021762.15	1279.10	0.00	0.00	6.00	10.00
ENSG00000021776.6	5080.35	767.00	719.00	2297.00	2258.00
ENSG00000021826.10	4502.45	1741.00	1915.00	1721.00	1794.00
ENSG00000021852.8	1890.68	590.00	581.00	115.00	145.00
ENSG00000022267.12	1723.80	0.00	0.00	49.00	41.00
ENSG00000022277.8	1631.03	2691.00	2517.00	5658.94	5787.00
ENSG00000022567.5	3367.00	6.00	4.00	2.00	1.00
ENSG00000022840.11	2272.47	3050.00	2807.00	2393.00	2649.00
ENSG00000022976.11	2448.96	224.00	206.00	341.00	355.00
ENSG00000023041.7	1825.23	499.00	499.00	1091.00	1107.00
ENSG00000023171.10	2593.12	2.00	1.00	9.00	15.00
ENSG00000023191.12	1731.44	1076.00	703.00	2086.00	2454.00
ENSG00000023228.9	2516.32	5411.10	5668.93	7653.00	7376.67
ENSG00000023287.8	5847.94	3237.00	3394.00	3384.00	3131.00
ENSG00000023318.7	4854.00	1294.00	1331.00	2737.00	2472.00
ENSG00000023330.10	2075.84	907.00	831.00	1607.00	1752.00
ENSG00000023445.9	4240.41	81.00	72.00	255.00	255.00
ENSG00000023516.7	9913.00	1369.00	1390.00	1785.00	1691.00
ENSG00000023572.4	703.99	101.00	107.00	241.00	280.00
ENSG00000023608.4	2656.00	217.29	195.14	430.11	408.26
ENSG00000023697.8	1495.52	787.00	808.00	756.00	735.00
ENSG00000023734.6	1816.91	2631.00	2429.00	5225.00	5032.00
ENSG00000023839.6	5182.98	10282.00	9881.00	3326.00	3556.00
ENSG00000023892.9	2046.28	174.00	146.00	338.00	408.00
ENSG00000023902.9	2000.74	153.00	141.00	444.00	600.00
ENSG00000023909.5	2797.13	726.00	692.00	741.00	765.00
ENSG00000024048.6	7641.70	1623.00	1508.00	2562.00	2521.00
ENSG00000024422.7	2537.54	24.00	23.00	24.00	41.00
ENSG00000024526.12	4334.31	444.00	457.00	249.00	225.00
ENSG00000024862.12	1496.00	181.00	212.00	685.00	742.00
ENSG00000025039.10	2749.24	36.00	43.00	290.00	271.00
ENSG00000025156.8	2596.75	551.00	639.00	963.00	929.00
ENSG00000025293.11	5305.04	1295.00	1181.00	2282.00	2258.00
ENSG00000025423.7	1360.34	139.00	111.00	82.00	66.00
ENSG00000025434.14	1168.81	705.00	580.00	701.00	753.00
ENSG00000025708.8	1663.83	81.00	44.00	43.00	64.78
ENSG00000025770.14	1916.47	549.00	449.00	641.00	751.00
ENSG00000025772.7	2062.00	1284.00	1204.00	2703.00	3000.00
ENSG00000025796.9	5542.05	3833.84	3891.93	3260.80	3154.93
ENSG00000025800.9	5377.60	2018.00	1863.45	2617.00	2710.99
ENSG00000026025.9	1868.00	0.00	0.00	1.00	2.00
ENSG00000026036.16	5640.29	322.26	203.59	345.00	332.26
ENSG00000026103.15	2303.98	115.00	122.00	1270.00	1232.00
ENSG00000026297.11	949.44	6338.00	4991.24	4255.83	4259.97
ENSG00000026508.12	1768.00	0.00	0.00	1.00	1.00
ENSG00000026652.9	2202.08	6.00	8.00	127.00	147.00
