symbol	length	Control_D0	Control_D1	ACO1_D0	ACO1_D1
ENSG00000005471.11	2904.85	625.29	648.30	565.00	566.26
ENSG00000005483.15	5344.42	1637.00	1649.00	1799.00	1789.00
ENSG00000005486.12	1546.33	507.00	548.00	1167.00	1166.00
ENSG00000005513.9	3197.96	16.00	19.00	42.00	33.00
ENSG00000005700.10	5793.92	2424.00	2236.00	3447.00	3128.00
ENSG00000005801.12	1630.84	390.00	410.00	740.00	701.00
ENSG00000005810.13	5776.34	1345.00	1308.00	1519.00	1355.00
ENSG00000005812.6	3156.69	468.00	425.00	627.00	576.00
ENSG00000005844.13	2045.78	84.00	128.00	16.00	19.00
ENSG00000005882.7	1467.70	428.00	431.00	299.00	274.00
ENSG00000005884.13	3375.35	76.00	54.00	1160.00	1230.00
ENSG00000005889.11	4841.21	914.00	940.00	492.00	484.00
ENSG00000005893.11	2370.34	3641.00	3451.00	3448.00	3382.00
ENSG00000005955.8	2153.17	1242.00	1184.00	1643.00	1600.00
ENSG00000005961.13	1377.79	34.00	37.00	28.00	41.00
ENSG00000005981.8	2874.34	63.00	56.00	607.00	595.00
ENSG00000006007.7	2819.60	1532.00	1522.00	2505.00	2395.00
ENSG00000006015.13	1158.00	92.00	104.00	107.00	92.00
ENSG00000006016.6	1138.93	4454.00	4701.00	6995.00	6418.00
ENSG00000006025.7	2755.89	235.00	245.00	151.00	142.00
ENSG00000006042.7	1445.01	1500.00	1477.00	1495.00	1473.00
ENSG00000006047.8	1294.00	11.00	12.00	4.00	6.00
ENSG00000006062.9	3897.70	106.00	97.00	158.00	198.00
ENSG00000006071.7	1381.05	0.00	0.00	1.00	0.00
ENSG00000006114.11	4204.21	775.00	755.00	906.00	864.00
ENSG00000006118.10	2273.00	927.00	1004.00	1107.00	1028.00
ENSG00000006125.12	5121.22	3930.99	3815.00	5928.00	5855.00
ENSG00000006194.6	2334.17	646.00	601.00	722.00	662.00
ENSG00000006210.6	3064.76	2493.00	2504.00	1142.00	1046.00
ENSG00000006282.15	2348.99	1266.00	1262.00	1925.00	1890.00
ENSG00000006283.13	7848.00	0.00	1.00	1.00	2.00
ENSG00000006327.9	1019.21	756.00	736.00	2278.00	2269.00
ENSG00000006377.9	1796.99	139.00	140.00	111.00	96.00
ENSG00000006432.11	8886.93	585.00	603.00	1081.00	1084.00
ENSG00000006451.3	2434.86	733.00	666.00	892.00	828.00
ENSG00000006453.9	3182.45	695.00	647.00	1872.00	1798.00
ENSG00000006459.6	7655.51	2273.00	2165.00	2781.00	2665.00
ENSG00000006468.9	3363.00	9.00	11.00	4.00	4.00
ENSG00000006530.11	2198.13	517.00	531.00	733.00	717.00
ENSG00000006534.11	2768.94	102.00	136.00	151.00	142.00
ENSG00000006576.12	4009.66	302.00	273.00	363.00	336.00
ENSG00000006606.4	614.50	1.00	1.00	1.00	0.00
ENSG00000006607.9	2786.75	1009.00	929.00	1285.00	1163.00
ENSG00000006611.11	1452.30	0.00	2.00	1.00	0.00
ENSG00000006625.13	1131.78	442.99	448.34	446.00	373.00
ENSG00000006634.3	2016.18	495.99	425.96	382.84	287.85
ENSG00000006638.7	2608.00	3.00	1.00	0.00	4.00
ENSG00000006652.9	1886.83	634.00	644.00	1251.00	1163.00
ENSG00000006659.8	672.00	0.00	0.00	0.00	0.00
ENSG00000006695.6	2163.92	265.00	279.00	350.00	398.00
ENSG00000006704.6	2315.27	601.00	592.00	788.00	823.00
ENSG00000006712.10	1961.28	831.00	805.00	1195.00	1168.00
ENSG00000006715.11	3034.48	781.00	764.00	712.00	687.00
ENSG00000006740.12	3025.62	94.00	117.00	83.00	82.00
ENSG00000006744.14	2332.59	713.00	762.00	1170.00	1093.00
ENSG00000006747.10	1391.55	0.00	0.00	0.00	0.00
ENSG00000006756.11	4387.16	271.00	276.00	668.00	701.00
ENSG00000006757.7	1282.66	186.00	235.00	184.00	206.00
ENSG00000006831.9	3833.40	3013.00	3261.00	3088.00	2858.00
ENSG00000006837.7	989.19	24.00	31.48	41.56	40.62
ENSG00000007001.8	2224.00	1.00	2.00	3.00	1.00
ENSG00000007047.10	3576.68	874.00	825.00	788.00	749.00
ENSG00000007062.7	2629.98	505.00	480.00	682.00	680.00
ENSG00000007080.6	933.00	324.00	351.00	537.00	489.00
ENSG00000007168.8	2846.67	1956.00	1943.00	3572.00	3616.00
ENSG00000007171.12	4176.00	0.00	1.00	0.00	0.00
ENSG00000007202.10	5766.64	3606.00	3599.00	5485.00	5426.00
ENSG00000007216.10	2311.38	0.00	0.00	1.00	0.00
ENSG00000007237.14	6120.14	84.00	73.00	146.00	126.00
ENSG00000007255.6	663.77	100.00	119.00	55.00	62.00
ENSG00000007264.9	1042.07	0.00	0.00	0.00	0.00
ENSG00000007312.8	1159.00	3.00	0.00	1.00	1.00
ENSG00000007314.7	7805.00	8.00	8.00	10.00	10.00
ENSG00000007341.14	1228.91	192.00	150.00	195.00	194.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1266.38	11.00	19.00	61.00	52.09
ENSG00000007376.3	1895.52	218.00	206.00	304.00	298.00
ENSG00000007384.11	1589.23	313.00	280.00	822.00	805.00
ENSG00000007392.12	1699.18	1155.00	1126.00	1324.00	1238.00
ENSG00000007402.7	3453.00	0.00	0.00	2.00	1.00
ENSG00000007516.9	2570.65	196.00	200.00	186.00	234.00
ENSG00000007520.3	1159.36	274.00	322.00	423.00	410.00
ENSG00000007541.10	2549.85	350.00	360.00	399.00	354.00
ENSG00000007545.11	5153.06	750.58	710.77	888.39	886.86
ENSG00000007866.14	2937.50	968.00	1038.00	936.00	884.00
ENSG00000007908.11	3389.00	1.00	0.00	2.00	2.00
ENSG00000007923.11	2466.28	1463.00	1542.00	1884.00	1821.00
ENSG00000007944.10	2199.42	133.00	99.00	144.00	145.00
ENSG00000007952.13	2107.74	1.00	0.00	3.00	4.00
ENSG00000007968.6	4780.31	222.00	233.00	157.00	154.00
ENSG00000008018.8	946.61	2907.00	2764.00	3566.00	3344.00
ENSG00000008056.8	3165.00	1.00	1.00	6.00	3.00
ENSG00000008083.9	5445.13	836.00	806.00	1095.00	1125.00
ENSG00000008086.6	2630.68	93.00	87.00	117.00	128.00
ENSG00000008128.18	1585.67	646.24	620.77	1015.11	1004.69
ENSG00000008130.11	2244.71	1254.00	1255.00	1507.00	1480.00
ENSG00000008226.15	3140.62	1.00	0.00	0.00	0.00
ENSG00000008256.11	4278.81	151.00	165.00	416.00	414.00
ENSG00000008277.10	5580.61	293.00	249.00	261.00	204.00
ENSG00000008282.3	2067.42	1262.00	1206.00	1675.00	1554.00
ENSG00000008283.11	2190.24	62.00	53.00	43.00	55.00
ENSG00000008294.16	4335.13	4183.00	4124.00	4673.00	4443.00
ENSG00000008300.10	7355.10	1122.00	1101.00	1421.00	1402.00
ENSG00000008311.10	2912.70	467.00	493.00	571.00	550.00
ENSG00000008323.11	2229.24	320.00	329.00	110.00	88.00
ENSG00000008324.6	812.23	157.00	163.00	240.00	245.00
ENSG00000008382.11	1217.59	206.00	264.00	172.00	107.00
ENSG00000008394.8	822.58	1362.00	1501.00	1585.00	1523.00
ENSG00000008405.7	2632.91	437.00	392.00	643.00	559.00
ENSG00000008441.12	3670.13	517.00	497.00	613.00	582.00
ENSG00000008513.10	5213.59	1102.00	1127.00	945.00	928.00
ENSG00000008516.12	3554.00	2.00	0.00	2.00	1.00
ENSG00000008517.12	935.56	2257.00	2254.00	3335.00	3547.00
ENSG00000008710.13	3237.82	1418.69	1376.00	1963.94	1912.52
ENSG00000008735.10	2670.87	90.00	106.00	75.00	68.00
ENSG00000008838.13	1841.33	2013.00	1928.00	2838.00	2852.00
ENSG00000008853.12	4569.35	295.00	301.00	224.00	214.00
ENSG00000008869.7	6485.30	596.00	623.00	1223.00	1197.00
ENSG00000008952.12	2534.49	2767.00	2509.00	4009.00	3681.00
ENSG00000008988.5	632.67	6094.00	6315.00	3924.00	3584.00
ENSG00000009307.11	3472.07	9579.00	9511.00	12143.00	11597.00
ENSG00000009335.13	4573.01	1261.00	1176.00	1971.00	1912.00
ENSG00000009413.11	8221.16	1264.00	1184.00	2402.00	2244.00
ENSG00000009694.9	8727.00	7.00	1.00	5.00	0.00
ENSG00000009724.12	1862.42	214.00	209.00	90.00	86.00
ENSG00000009765.10	2567.11	1.00	2.00	1.00	0.00
ENSG00000009780.11	2007.58	109.00	94.00	167.00	163.00
ENSG00000009790.10	3302.00	0.00	0.00	0.00	1.00
ENSG00000009830.7	2153.73	477.00	462.00	943.00	935.00
ENSG00000009844.11	2214.37	1415.00	1378.00	1857.00	1742.00
ENSG00000009950.11	1619.99	3338.00	3418.00	900.00	920.00
ENSG00000009954.6	5744.89	2952.00	2979.00	3562.00	3134.00
ENSG00000010017.9	2683.87	1378.00	1401.00	1942.00	1890.00
ENSG00000010030.9	1186.00	1.00	0.00	3.00	3.00
ENSG00000010072.11	2872.03	116.00	137.00	183.00	186.00
ENSG00000010165.15	2434.86	478.00	460.00	834.00	795.00
ENSG00000010219.9	699.74	141.00	173.00	153.00	157.00
ENSG00000010244.12	2496.11	3758.00	3497.00	3665.00	3748.00
ENSG00000010256.6	1301.43	3295.00	3669.00	3039.00	2995.00
ENSG00000010270.9	1469.99	595.00	535.00	782.00	746.00
ENSG00000010278.7	1035.81	188.00	160.00	723.00	698.00
ENSG00000010282.10	1750.00	0.00	1.00	0.00	1.00
ENSG00000010292.8	4413.14	3735.00	3669.00	2690.00	2697.00
ENSG00000010295.15	2565.95	381.00	377.00	441.00	400.00
ENSG00000010310.4	1419.75	43.00	38.00	23.00	32.00
ENSG00000010318.15	1112.68	86.00	89.00	67.00	70.00
ENSG00000010319.2	4542.03	745.00	809.00	380.00	348.00
ENSG00000010322.11	3455.15	1640.00	1582.00	2562.00	2481.00
ENSG00000010327.6	4684.29	8.00	6.00	0.00	6.00
ENSG00000010361.9	703.00	2.00	0.00	1.00	1.00
ENSG00000010379.11	494.00	6.00	2.00	1.00	1.00
ENSG00000010404.13	4458.33	718.71	749.39	1760.90	1699.47
ENSG00000010539.7	2616.84	217.00	229.00	318.00	293.00
ENSG00000010610.5	2139.55	45.00	34.00	38.00	39.00
ENSG00000010626.10	1117.33	67.17	85.94	51.08	50.00
ENSG00000010704.14	2569.90	187.00	167.00	97.00	94.00
ENSG00000010803.12	2235.18	1117.00	1060.00	827.00	739.00
ENSG00000010810.13	1746.72	448.00	430.00	1124.00	951.00
ENSG00000010818.4	7765.87	1196.00	1201.00	2190.00	2307.00
ENSG00000011007.8	3555.86	998.00	950.00	1201.00	1152.00
ENSG00000011009.6	1660.60	1114.00	1228.00	2210.00	2084.00
ENSG00000011021.17	4557.64	1748.63	1960.39	1550.42	1581.29
ENSG00000011028.9	3201.00	0.00	0.00	3.00	1.00
ENSG00000011052.17	1000.60	331.61	307.08	254.90	295.78
ENSG00000011105.7	3129.92	1199.00	1335.00	796.00	778.00
ENSG00000011114.10	5545.16	723.00	690.00	828.00	730.00
ENSG00000011132.7	1503.78	219.81	231.00	415.00	440.00
ENSG00000011143.12	1449.04	370.00	410.00	488.00	534.00
ENSG00000011198.3	1544.00	54.00	78.00	129.00	136.00
ENSG00000011201.6	6314.00	0.00	2.00	5.00	2.00
ENSG00000011243.13	1601.10	1153.00	1288.00	1745.00	1704.00
ENSG00000011258.11	4888.20	1334.00	1247.00	966.00	870.00
ENSG00000011260.9	1767.71	1004.00	933.00	1105.00	976.00
ENSG00000011275.14	4739.33	1150.00	1186.58	1488.00	1345.65
ENSG00000011295.11	2602.80	466.17	521.00	693.00	726.00
ENSG00000011304.12	2288.31	5707.00	5836.00	4924.00	4563.00
ENSG00000011332.15	1817.27	46.00	44.00	42.00	50.00
ENSG00000011347.5	3525.86	305.00	398.00	78.00	83.00
ENSG00000011376.5	3874.30	873.00	926.00	1107.00	1086.00
ENSG00000011405.9	5791.83	2930.00	2713.00	3688.00	3516.00
ENSG00000011422.7	1405.49	49.00	49.00	309.00	342.00
ENSG00000011426.6	4093.68	2711.00	2406.00	1898.00	1715.00
ENSG00000011451.13	4077.09	634.00	618.00	751.00	770.00
ENSG00000011454.12	4464.71	1081.00	1126.00	1482.00	1395.00
ENSG00000011478.7	2138.31	445.00	528.00	372.00	347.00
ENSG00000011485.10	1747.55	1045.00	1137.00	1191.00	1073.00
ENSG00000011523.9	4191.79	428.00	393.00	519.00	534.00
ENSG00000011566.10	3805.41	2876.00	2844.00	3274.00	3085.00
ENSG00000011600.7	533.33	0.00	0.00	0.00	0.00
ENSG00000011638.6	1519.55	119.00	126.00	383.00	288.00
ENSG00000011677.8	1532.75	0.00	0.00	0.00	0.00
ENSG00000012048.15	4252.96	860.00	769.00	859.00	794.00
ENSG00000012061.11	1226.19	512.00	572.00	1031.00	1041.00
ENSG00000012124.10	1411.31	19.00	26.00	47.00	53.00
ENSG00000012171.13	2401.88	2775.00	2824.00	7927.00	7799.00
ENSG00000012174.7	4281.38	785.00	806.06	839.54	738.23
ENSG00000012211.8	2284.45	82.00	89.00	148.00	155.00
ENSG00000012232.4	6308.18	814.00	788.00	1347.00	1452.00
ENSG00000012504.9	2080.34	671.00	624.00	561.00	536.00
ENSG00000012660.9	2619.77	2356.00	2210.00	3250.00	3037.00
ENSG00000012779.6	1113.35	1.00	1.00	0.00	3.00
ENSG00000012817.11	3889.59	1342.00	1437.00	1480.00	1492.00
ENSG00000012822.11	2433.71	1082.00	1050.00	567.00	583.00
ENSG00000012963.9	3312.95	624.00	615.86	726.00	690.00
ENSG00000012983.7	3343.84	915.00	841.00	1613.00	1524.00
ENSG00000013016.10	4122.00	28.00	28.00	22.00	30.00
ENSG00000013275.3	1552.77	1249.00	1404.00	1722.00	1850.00
ENSG00000013288.4	5778.79	576.00	550.00	1207.00	1147.00
ENSG00000013297.6	1851.34	115.00	110.00	285.00	268.00
ENSG00000013306.11	1505.62	2528.00	2895.00	3295.00	3115.00
ENSG00000013364.14	2353.61	682.00	731.00	3147.94	3151.00
ENSG00000013374.11	1983.47	826.00	744.00	1173.00	1137.00
ENSG00000013375.11	3439.95	2527.00	2578.00	2412.00	2329.00
ENSG00000013392.6	3101.48	282.00	277.00	316.00	291.00
ENSG00000013441.11	1901.33	1489.00	1366.00	1417.00	1353.00
ENSG00000013503.5	4273.00	269.00	273.00	355.00	346.00
ENSG00000013523.5	3755.55	607.00	602.00	499.00	499.00
ENSG00000013561.13	1925.43	251.00	289.00	505.00	482.00
ENSG00000013563.9	2199.46	150.00	162.00	138.00	143.00
ENSG00000013573.12	1909.82	716.44	721.29	677.30	705.69
ENSG00000013583.4	1203.42	360.00	351.00	488.00	494.00
ENSG00000013588.5	3819.05	57.00	68.00	694.00	750.00
ENSG00000013619.9	3501.13	15.00	4.00	26.00	26.00
ENSG00000013810.14	2268.80	1529.63	1382.75	1123.28	1132.72
ENSG00000014123.9	4224.00	892.00	906.00	1017.00	968.00
ENSG00000014138.4	1983.31	372.00	329.00	362.00	335.00
ENSG00000014164.6	3223.42	373.00	426.00	398.00	412.00
ENSG00000014216.11	2335.56	1618.00	1753.00	3560.00	3327.00
ENSG00000014641.13	1389.94	3048.00	2991.00	3085.00	2983.00
ENSG00000014824.9	2986.28	1369.00	1225.00	1523.00	1418.00
ENSG00000014914.15	1956.06	75.00	87.00	100.00	106.00
ENSG00000014919.8	2362.58	759.00	733.00	860.00	825.00
ENSG00000015133.14	4887.28	475.00	501.00	590.00	592.00
ENSG00000015153.10	1838.69	148.00	146.00	223.00	197.00
ENSG00000015171.14	3273.36	1008.00	974.00	1365.00	1363.00
ENSG00000015285.6	1849.00	1.00	2.00	3.00	1.00
ENSG00000015413.5	1218.09	238.00	239.00	105.00	94.00
ENSG00000015475.14	1212.94	220.00	258.00	426.00	450.00
ENSG00000015479.13	2489.67	7460.00	7307.00	8322.00	7666.99
ENSG00000015520.10	4647.42	985.00	1092.00	1028.00	1049.00
ENSG00000015532.5	3344.78	720.00	805.00	1052.00	1006.00
ENSG00000015568.8	4589.84	310.12	603.94	879.97	436.08
ENSG00000015592.12	1257.35	0.00	1.00	10.00	9.00
ENSG00000015676.13	2428.73	848.00	884.00	1507.00	1430.00
ENSG00000016391.6	6334.38	3181.00	3247.00	2637.00	2690.00
ENSG00000016864.12	1307.33	1249.00	1341.00	870.00	920.00
ENSG00000017260.15	3787.30	1565.00	1525.00	1926.00	1745.00
ENSG00000017373.11	3013.38	324.00	410.00	353.00	404.00
ENSG00000017427.11	2572.29	0.00	0.00	0.00	0.00
ENSG00000017483.10	1589.31	694.00	685.00	545.00	489.00
ENSG00000017621.11	1705.84	20.00	17.00	11.00	14.00
ENSG00000017797.7	4231.61	1206.00	1196.00	1758.00	1597.00
ENSG00000018189.8	2024.62	379.00	360.00	649.00	648.00
ENSG00000018236.10	1982.08	1.00	0.00	0.00	0.00
ENSG00000018280.12	3076.29	15.00	18.00	12.00	12.00
ENSG00000018408.10	3062.39	2394.00	2247.00	1524.00	1516.00
ENSG00000018510.8	7266.89	2859.00	2656.00	2876.00	2701.00
ENSG00000018610.9	2064.36	226.00	210.00	317.00	315.00
ENSG00000018625.10	4413.00	4.00	2.00	2.00	1.00
ENSG00000018699.7	2784.61	628.00	655.00	875.00	841.00
ENSG00000018869.12	1517.99	15.00	21.00	15.00	19.00
ENSG00000019102.7	1154.64	29.00	26.00	51.00	43.00
ENSG00000019144.12	3347.05	612.00	602.00	1076.00	1030.00
ENSG00000019186.5	2331.46	229.00	243.00	3269.00	3620.00
ENSG00000019485.8	1860.16	57.00	53.00	76.00	59.00
ENSG00000019505.3	4773.62	25.00	19.00	106.00	81.00
ENSG00000019549.4	2088.00	2.00	3.00	0.00	1.00
ENSG00000019582.10	1300.79	1366.00	1361.00	1696.00	1559.00
ENSG00000019995.6	5695.00	804.13	736.90	697.35	581.12
ENSG00000020129.11	2712.31	348.00	346.00	541.00	531.00
ENSG00000020181.13	6270.00	6.00	15.00	6.00	11.00
ENSG00000020256.15	2819.71	396.00	402.00	503.00	506.00
ENSG00000020426.6	937.12	450.00	455.00	456.97	421.00
ENSG00000020577.9	5085.05	1174.00	1162.00	1788.00	1926.00
ENSG00000020633.14	2059.11	20.00	10.00	8.00	4.00
ENSG00000020922.8	2399.10	721.00	616.00	525.00	492.00
ENSG00000021300.9	1706.29	1300.00	1301.00	924.00	827.00
ENSG00000021355.8	1686.54	1301.00	1377.00	2212.00	2330.00
ENSG00000021461.12	1128.73	45.00	41.00	5.00	6.00
ENSG00000021488.8	1429.46	60.00	91.00	11.00	14.00
ENSG00000021574.7	5116.90	763.00	777.00	940.00	930.00
ENSG00000021645.13	2424.13	1.00	3.00	3.00	0.00
ENSG00000021762.15	1731.00	0.00	2.00	3.00	1.00
ENSG00000021776.6	5366.20	876.00	883.00	1351.00	1261.00
ENSG00000021826.10	3620.67	1314.00	1371.00	1497.00	1495.00
ENSG00000021852.8	1649.30	218.00	242.00	102.00	112.00
ENSG00000022267.12	2441.00	1.00	1.00	32.00	22.00
ENSG00000022277.8	1598.23	1514.00	1570.00	2541.00	2486.00
ENSG00000022567.5	2852.71	2.00	2.00	0.00	0.00
ENSG00000022840.11	2250.19	2022.00	2172.00	2310.00	2272.00
ENSG00000022976.11	2248.37	240.00	213.00	342.00	329.00
ENSG00000023041.7	1962.60	621.00	620.00	749.00	689.00
ENSG00000023171.10	2001.83	1.00	2.00	0.00	2.00
ENSG00000023191.12	1801.01	1002.00	1073.00	1771.00	1762.00
ENSG00000023228.9	3053.16	3737.64	3711.27	4011.00	3851.00
ENSG00000023287.8	5943.14	2161.00	2103.00	1980.00	1793.00
ENSG00000023318.7	4854.00	1176.00	1187.00	1721.00	1602.00
ENSG00000023330.10	2036.29	690.00	680.00	876.00	914.00
ENSG00000023445.9	4757.94	60.00	74.00	275.00	244.00
ENSG00000023516.7	9913.00	1393.00	1247.00	1499.00	1446.00
ENSG00000023572.4	704.82	108.00	98.00	202.00	172.00
ENSG00000023608.4	2656.00	124.07	154.14	301.55	282.57
ENSG00000023697.8	1328.67	517.00	501.00	514.00	479.00
ENSG00000023734.6	1837.74	1575.00	1601.00	2903.00	2611.00
ENSG00000023839.6	5199.68	7505.00	8092.00	5924.00	5588.00
ENSG00000023892.9	1962.19	180.00	169.00	306.00	298.00
ENSG00000023902.9	1745.33	151.00	160.00	489.00	466.00
ENSG00000023909.5	2373.72	387.00	360.00	557.00	469.00
ENSG00000024048.6	7773.56	1360.00	1364.00	1958.00	1881.00
ENSG00000024422.7	3575.61	46.00	49.00	322.00	354.00
ENSG00000024526.12	4295.65	631.00	601.00	338.99	296.00
ENSG00000024862.12	1496.00	167.00	184.00	248.00	212.00
ENSG00000025039.10	3583.63	16.00	35.00	64.00	61.00
ENSG00000025156.8	2328.42	400.00	368.00	443.00	393.00
ENSG00000025293.11	5701.75	943.00	899.00	1299.00	1161.00
ENSG00000025423.7	799.04	28.00	31.00	11.00	12.00
ENSG00000025434.14	1183.89	419.00	471.00	396.00	399.00
ENSG00000025708.8	1755.27	58.19	57.50	67.97	82.67
ENSG00000025770.14	1722.01	689.00	682.00	678.00	661.00
ENSG00000025772.7	2062.00	1077.00	1142.00	7866.00	7695.00
ENSG00000025796.9	4269.07	2531.95	2404.97	2511.00	2169.94
ENSG00000025800.9	6942.10	1776.00	1671.00	2093.28	2200.34
ENSG00000026025.9	1412.00	0.00	0.00	1.00	0.00
ENSG00000026036.16	5637.79	668.14	580.42	653.12	654.62
ENSG00000026103.15	2163.74	147.00	177.00	347.00	354.00
ENSG00000026297.11	1203.31	4199.05	4410.33	4427.53	4822.28
ENSG00000026508.12	1354.16	2.00	5.00	112.00	113.00
ENSG00000026652.9	4427.91	25.00	17.00	44.00	35.00
ENSG00000026950.12	2678.56	456.70	464.21	400.64	397.69
ENSG00000027001.7	2088.18	200.00	228.00	434.00	444.00
ENSG00000027075.9	1369.86	9.00	14.00	29.00	23.00
