symbol	length	Control_D0	Control_D1	AATF_D0	AATF_D1
ENSG00000005421.4	1326.91	11.00	8.47	6.17	5.16
ENSG00000005436.9	2148.31	523.00	427.00	454.00	506.00
ENSG00000005448.12	1078.13	200.00	233.00	214.00	207.00
ENSG00000005469.7	2223.99	184.00	151.00	263.00	237.00
ENSG00000005471.11	3205.63	675.30	585.00	787.80	687.00
ENSG00000005483.15	5399.95	1503.00	1224.00	1914.00	1807.00
ENSG00000005486.12	1378.66	301.00	288.00	363.00	326.00
ENSG00000005513.9	3267.50	5.00	9.00	7.00	10.00
ENSG00000005700.10	5820.47	1913.00	1600.00	2235.00	2455.02
ENSG00000005801.12	1808.97	382.00	248.00	461.00	422.00
ENSG00000005810.13	5556.79	1182.00	955.00	1340.00	1270.00
ENSG00000005812.6	3303.61	368.00	270.00	200.00	202.00
ENSG00000005844.13	1332.73	58.00	64.00	28.00	19.00
ENSG00000005882.7	1355.36	342.00	352.00	332.00	277.00
ENSG00000005884.13	2299.13	37.00	61.00	46.00	42.00
ENSG00000005889.11	4565.72	696.00	620.00	381.00	386.00
ENSG00000005893.11	2369.70	3522.00	2837.00	3408.00	3349.00
ENSG00000005955.8	2197.27	955.00	830.00	1123.00	1059.00
ENSG00000005961.13	818.17	35.00	25.00	31.00	31.00
ENSG00000005981.8	3169.73	77.00	57.00	297.00	303.99
ENSG00000006007.7	2373.26	1368.00	1096.00	1910.00	1849.00
ENSG00000006015.13	1394.15	35.00	53.00	28.00	31.00
ENSG00000006016.6	1057.50	2281.00	2704.00	2481.00	2011.00
ENSG00000006025.7	2343.64	133.00	162.00	229.00	163.00
ENSG00000006042.7	1459.01	1190.00	1105.00	1204.00	1085.00
ENSG00000006047.8	2834.82	15.00	13.00	12.00	6.00
ENSG00000006062.9	4452.00	61.00	67.00	55.00	47.00
ENSG00000006071.7	2098.00	0.00	0.00	0.00	1.00
ENSG00000006114.11	5032.55	720.00	528.00	770.00	692.99
ENSG00000006118.10	1865.29	400.00	526.00	406.00	333.00
ENSG00000006125.12	5284.69	3796.00	3260.93	5007.99	4879.00
ENSG00000006194.6	2074.71	500.00	425.00	518.00	492.00
ENSG00000006210.6	3338.70	1597.00	1504.00	1309.00	1223.00
ENSG00000006282.15	2522.92	871.00	802.00	849.45	667.00
ENSG00000006283.13	6575.47	0.00	0.00	0.00	0.00
ENSG00000006327.9	907.23	349.00	334.00	465.00	392.00
ENSG00000006377.9	1705.82	117.00	102.00	121.00	115.00
ENSG00000006432.11	10321.58	387.00	383.00	652.00	596.00
ENSG00000006451.3	2552.72	531.00	408.00	729.00	748.00
ENSG00000006453.9	2960.48	557.00	501.00	860.00	749.00
ENSG00000006459.6	8704.43	1514.00	1402.00	2028.00	2023.00
ENSG00000006468.9	1141.00	7.00	0.00	4.00	2.00
ENSG00000006530.11	2280.25	503.00	399.00	541.00	516.00
ENSG00000006534.11	2885.82	121.00	116.00	84.00	79.00
ENSG00000006576.12	3245.79	248.00	189.00	329.00	383.00
ENSG00000006606.4	526.00	0.00	0.00	0.00	1.00
ENSG00000006607.9	2727.99	908.00	679.00	927.00	902.00
ENSG00000006611.11	1452.30	3.00	0.00	0.00	0.00
ENSG00000006625.13	1121.45	424.97	314.00	389.99	433.00
ENSG00000006634.3	1890.54	336.96	247.00	340.94	341.89
ENSG00000006638.7	1814.00	3.00	2.00	3.00	1.00
ENSG00000006652.9	1958.55	464.00	340.00	681.00	707.00
ENSG00000006659.8	672.00	0.00	1.00	0.00	0.00
ENSG00000006695.6	2283.26	256.00	213.00	248.00	260.00
ENSG00000006704.6	1708.30	455.00	414.00	422.00	403.00
ENSG00000006712.10	1989.66	730.00	651.00	694.00	667.00
ENSG00000006715.11	2700.96	666.00	577.00	747.00	717.00
ENSG00000006740.12	4219.30	66.00	55.00	56.00	75.00
ENSG00000006744.14	1933.34	657.00	509.00	730.00	652.00
ENSG00000006747.10	1391.55	0.00	0.00	0.00	0.00
ENSG00000006756.11	4710.95	234.00	230.00	271.00	236.00
ENSG00000006757.7	1319.97	191.00	169.00	215.00	184.00
ENSG00000006831.9	3915.88	2561.00	2284.00	2796.00	2665.00
ENSG00000006837.7	942.60	18.03	19.76	31.13	50.02
ENSG00000007001.8	1790.40	4.00	1.00	3.00	0.00
ENSG00000007047.10	1720.77	451.00	478.00	485.00	429.00
ENSG00000007062.7	2928.88	554.00	429.00	695.00	680.00
ENSG00000007080.6	911.23	137.00	159.00	166.00	109.00
ENSG00000007168.8	2714.68	1806.00	1511.00	1950.00	1992.00
ENSG00000007171.12	4176.00	1.00	1.00	1.00	0.00
ENSG00000007202.10	5834.18	3173.00	2622.00	2874.00	2736.00
ENSG00000007216.10	2311.38	0.00	2.00	1.00	0.00
ENSG00000007237.14	3826.94	65.00	50.00	90.00	87.00
ENSG00000007255.6	742.06	56.00	75.00	63.00	51.00
ENSG00000007264.9	724.00	0.00	0.00	1.00	1.00
ENSG00000007312.8	1159.00	1.00	3.00	1.00	1.00
ENSG00000007314.7	7805.00	8.00	3.00	6.00	3.00
ENSG00000007341.14	1508.28	148.00	136.00	154.00	158.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1461.62	17.00	11.00	46.12	30.00
ENSG00000007376.3	1783.27	78.00	106.00	56.00	40.00
ENSG00000007384.11	1395.93	136.00	143.00	162.00	143.00
ENSG00000007392.12	1892.21	755.00	785.20	839.00	826.00
ENSG00000007402.7	4457.20	0.00	0.00	0.00	0.00
ENSG00000007516.9	2047.95	77.00	90.00	90.00	79.00
ENSG00000007520.3	1243.00	140.00	141.00	110.00	102.00
ENSG00000007541.10	1347.93	121.00	152.00	104.00	80.00
ENSG00000007545.11	5467.01	543.31	487.00	543.93	467.92
ENSG00000007866.14	2956.69	590.00	586.00	610.00	533.00
ENSG00000007908.11	3389.00	0.00	0.00	7.00	3.00
ENSG00000007923.11	1650.28	1094.00	1002.00	1133.00	971.00
ENSG00000007944.10	2315.93	98.00	95.00	121.00	104.00
ENSG00000007952.13	2303.85	0.00	1.00	4.00	6.00
ENSG00000007968.6	4577.93	212.00	153.00	156.00	115.00
ENSG00000008018.8	943.17	2820.00	2338.00	3051.00	2836.00
ENSG00000008056.8	3165.00	0.00	0.00	1.00	1.00
ENSG00000008083.9	5460.68	732.00	654.00	883.00	784.00
ENSG00000008086.6	3453.00	73.00	69.00	81.00	92.00
ENSG00000008128.18	1501.59	419.80	394.71	497.61	428.21
ENSG00000008130.11	2448.62	830.00	741.00	847.00	726.00
ENSG00000008226.15	3457.00	0.00	0.00	1.00	1.00
ENSG00000008256.11	4505.00	137.00	102.00	148.00	131.00
ENSG00000008277.10	4200.56	207.00	168.00	231.00	240.00
ENSG00000008282.3	2109.92	1059.00	830.00	1271.00	1311.00
ENSG00000008283.11	1568.38	41.00	35.00	17.00	16.00
ENSG00000008294.16	3994.46	2836.00	2467.00	2877.00	2808.00
ENSG00000008300.10	5549.00	647.00	664.00	630.00	559.00
ENSG00000008311.10	2898.74	403.00	345.00	365.00	382.00
ENSG00000008323.11	2684.87	222.00	197.00	112.00	109.00
ENSG00000008324.6	805.78	152.00	109.00	179.00	156.00
ENSG00000008382.11	1156.41	122.00	144.00	116.00	98.00
ENSG00000008394.8	823.87	1491.00	1105.00	1225.00	1208.00
ENSG00000008405.7	2852.76	261.00	213.00	282.00	299.00
ENSG00000008441.12	4052.29	294.00	290.00	468.00	418.00
ENSG00000008513.10	3149.84	1344.00	1128.00	836.00	799.00
ENSG00000008516.12	1681.00	0.00	0.00	2.00	0.00
ENSG00000008517.12	878.09	1537.00	1394.00	1546.01	1449.00
ENSG00000008710.13	3025.10	332.68	473.93	329.46	241.66
ENSG00000008735.10	2731.92	24.00	44.00	18.00	20.00
ENSG00000008838.13	1573.08	1362.00	1418.00	1420.00	1180.00
ENSG00000008853.12	4284.46	244.00	199.00	268.00	230.00
ENSG00000008869.7	6618.38	648.00	552.00	824.00	861.00
ENSG00000008952.12	2515.03	2120.00	1751.00	2579.00	2528.00
ENSG00000008988.5	629.66	4745.00	4328.96	5210.03	4936.00
ENSG00000009307.11	3638.23	8844.00	7380.00	9629.00	9360.00
ENSG00000009335.13	4672.39	1106.00	933.00	1374.00	1363.00
ENSG00000009413.11	8487.20	1044.00	880.00	1576.00	1499.00
ENSG00000009694.9	12875.01	4.00	4.00	0.00	6.00
ENSG00000009724.12	2115.45	106.00	120.00	76.00	71.00
ENSG00000009765.10	7513.00	4.00	1.00	0.00	2.00
ENSG00000009780.11	2142.64	92.00	75.00	121.00	110.00
ENSG00000009790.10	786.54	0.00	0.00	5.00	4.00
ENSG00000009830.7	1561.62	373.00	308.00	441.00	439.00
ENSG00000009844.11	2160.95	1396.00	1123.00	1551.87	1514.00
ENSG00000009950.11	1754.53	1868.00	1987.00	1113.00	897.00
ENSG00000009954.6	5702.22	2474.00	1993.00	2385.00	2298.00
ENSG00000010017.9	2587.60	1213.00	980.00	1211.00	1211.00
ENSG00000010030.9	1670.00	0.00	0.00	0.00	0.00
ENSG00000010072.11	3394.57	112.00	92.00	166.00	159.00
ENSG00000010165.15	2087.44	470.00	375.00	502.00	519.00
ENSG00000010219.9	737.03	156.00	108.00	161.00	128.00
ENSG00000010244.12	2525.93	2975.00	2524.00	3248.99	3039.00
ENSG00000010256.6	899.03	2565.00	2359.00	2128.00	1917.00
ENSG00000010270.9	1476.56	549.00	365.00	608.00	656.00
ENSG00000010278.7	1120.08	187.00	198.00	395.00	350.00
ENSG00000010282.10	861.50	1.00	1.00	0.00	0.00
ENSG00000010292.8	4715.12	3101.00	2367.00	2536.00	2325.00
ENSG00000010295.15	2410.82	189.00	197.00	230.00	187.00
ENSG00000010310.4	2329.31	52.00	48.00	63.00	50.00
ENSG00000010318.15	1070.49	86.00	84.00	63.00	90.00
ENSG00000010319.2	4899.00	569.00	506.00	404.00	358.00
ENSG00000010322.11	2544.62	926.00	976.00	964.00	775.00
ENSG00000010327.6	4414.81	7.00	5.00	1.00	2.00
ENSG00000010361.9	1133.10	1.00	0.00	1.00	3.00
ENSG00000010379.11	851.42	6.00	3.00	4.00	0.00
ENSG00000010404.13	5309.08	642.21	534.89	1041.06	1003.81
ENSG00000010539.7	2473.18	193.00	174.00	213.00	219.00
ENSG00000010610.5	2688.92	111.00	98.00	99.00	86.00
ENSG00000010626.10	1240.65	87.88	67.41	99.17	98.97
ENSG00000010704.14	2349.82	160.00	125.00	139.00	142.00
ENSG00000010803.12	2592.22	961.00	830.00	806.00	754.00
ENSG00000010810.13	2015.09	659.00	586.00	1093.00	1033.00
ENSG00000010818.4	9630.75	917.00	882.00	1608.00	1604.01
ENSG00000011007.8	3824.80	773.00	674.11	906.00	868.00
ENSG00000011009.6	1585.85	649.00	668.00	607.00	494.00
ENSG00000011021.17	4422.00	1127.44	1121.10	937.62	775.15
ENSG00000011028.9	2025.00	0.00	0.00	3.00	1.00
ENSG00000011052.17	953.20	125.36	143.10	155.50	120.31
ENSG00000011105.7	2940.31	866.00	809.00	610.00	532.00
ENSG00000011114.10	4824.14	561.00	460.00	662.00	661.00
ENSG00000011132.7	1236.33	70.00	84.00	67.00	62.00
ENSG00000011143.12	1600.09	384.00	285.00	349.00	352.00
ENSG00000011198.3	1631.36	47.00	55.00	60.00	69.00
ENSG00000011201.6	6314.00	0.00	0.00	1.00	1.00
ENSG00000011243.13	1548.89	895.00	895.00	1100.00	1007.00
ENSG00000011258.11	4763.56	1210.00	1074.00	1388.00	1423.00
ENSG00000011260.9	1868.93	810.00	624.00	921.00	868.00
ENSG00000011275.14	3997.60	864.57	831.00	1126.00	1036.00
ENSG00000011295.11	2579.02	409.00	382.00	478.00	449.00
ENSG00000011304.12	1382.20	3023.00	3088.00	2304.00	1997.00
ENSG00000011332.15	1532.09	23.00	29.00	34.00	36.00
ENSG00000011347.5	4158.02	206.00	202.00	144.00	139.00
ENSG00000011376.5	3584.79	755.00	655.00	613.00	582.00
ENSG00000011405.9	6249.42	2251.00	1831.00	2497.00	2425.00
ENSG00000011422.7	1183.45	47.00	49.00	77.00	69.00
ENSG00000011426.6	4335.48	2034.00	1454.00	1477.00	1422.00
ENSG00000011451.13	3881.40	275.00	331.00	296.00	177.00
ENSG00000011454.12	3791.77	936.00	797.00	1097.00	1027.00
ENSG00000011478.7	2079.07	315.00	312.00	288.00	251.00
ENSG00000011485.10	1352.57	770.00	753.00	782.00	660.00
ENSG00000011523.9	5248.41	441.00	366.00	448.00	463.00
ENSG00000011566.10	3637.06	1795.00	1521.00	1915.00	2058.00
ENSG00000011600.7	533.33	0.00	0.00	0.00	0.00
ENSG00000011638.6	1521.55	141.00	123.00	259.00	273.00
ENSG00000011677.8	1697.00	1.00	1.00	1.00	1.00
ENSG00000012048.15	3751.58	857.00	610.00	806.00	816.00
ENSG00000012061.11	1396.01	350.00	361.00	390.00	359.00
ENSG00000012124.10	999.54	11.00	12.00	14.00	11.00
ENSG00000012171.13	1749.69	1508.00	1817.00	1968.00	1672.00
ENSG00000012174.7	4392.96	760.32	551.00	833.00	791.78
ENSG00000012211.8	2025.50	39.00	38.00	60.00	32.00
ENSG00000012232.4	6517.59	600.00	512.00	570.00	577.00
ENSG00000012504.9	2212.20	747.00	594.00	334.00	311.00
ENSG00000012660.9	2621.74	1986.00	1649.00	2861.00	2635.00
ENSG00000012779.6	2178.00	0.00	2.00	0.00	1.00
ENSG00000012817.11	3430.80	1214.00	1111.00	1685.00	1470.00
ENSG00000012822.11	2061.40	882.00	838.00	1111.00	925.00
ENSG00000012963.9	3546.15	577.00	451.00	501.00	492.00
ENSG00000012983.7	3802.70	824.00	645.00	978.00	1014.00
ENSG00000013016.10	4636.00	12.00	16.00	20.00	15.00
ENSG00000013275.3	1543.01	1027.00	881.00	1044.00	924.00
ENSG00000013288.4	5402.02	386.00	392.00	355.00	306.00
ENSG00000013297.6	1843.62	149.00	112.00	352.00	280.00
ENSG00000013306.11	1554.83	1372.00	1405.00	1122.00	992.00
ENSG00000013364.14	1594.86	462.86	519.93	814.96	692.00
ENSG00000013374.11	1465.59	756.00	641.00	914.00	841.00
ENSG00000013375.11	3594.48	2068.00	1725.00	2059.00	2027.00
ENSG00000013392.6	2978.02	218.00	212.00	271.00	257.00
ENSG00000013441.11	1843.37	1008.00	919.00	1362.00	1494.00
ENSG00000013503.5	4164.89	251.00	207.00	280.00	262.00
ENSG00000013523.5	3540.90	513.00	467.00	545.00	519.00
ENSG00000013561.13	1928.06	226.00	162.00	279.00	295.00
ENSG00000013563.9	2189.01	106.00	111.00	160.00	156.00
ENSG00000013573.12	1896.97	578.44	502.60	540.54	485.17
ENSG00000013583.4	1203.66	289.00	227.00	269.00	271.00
ENSG00000013588.5	3068.16	32.00	30.00	75.00	73.00
ENSG00000013619.9	2805.75	5.00	6.00	4.00	0.00
ENSG00000013810.14	1879.44	758.93	627.19	488.93	419.30
ENSG00000014123.9	4224.00	802.00	661.00	881.00	923.00
ENSG00000014138.4	1548.07	280.00	244.00	316.00	309.00
ENSG00000014164.6	3280.00	153.00	184.00	115.00	119.00
ENSG00000014216.11	1971.51	1007.00	1008.00	1088.00	884.00
ENSG00000014641.13	1348.86	3042.00	2425.00	3530.00	3599.00
ENSG00000014824.9	2863.77	1054.00	839.00	1170.00	1255.00
ENSG00000014914.15	1717.20	64.00	60.00	73.00	72.00
ENSG00000014919.8	2540.07	680.00	538.00	748.00	793.00
ENSG00000015133.14	6267.21	261.00	259.00	278.00	215.00
ENSG00000015153.10	1393.33	88.00	74.00	135.00	146.00
ENSG00000015171.14	3319.04	861.00	739.00	1065.00	1035.00
ENSG00000015285.6	905.00	1.00	0.00	0.00	1.00
ENSG00000015413.5	1585.00	123.00	141.00	43.00	37.00
ENSG00000015475.14	1456.71	187.00	161.00	141.00	161.00
ENSG00000015479.13	2393.35	6953.00	5481.00	6428.85	6603.18
ENSG00000015520.10	4776.30	624.00	645.00	500.00	422.00
ENSG00000015532.5	3093.06	392.00	459.00	384.00	310.00
ENSG00000015568.8	5435.42	169.92	182.16	314.90	483.01
ENSG00000015592.12	1250.00	1.00	1.00	0.00	4.00
ENSG00000015676.13	2297.48	728.00	660.00	915.00	801.00
ENSG00000016391.6	7219.05	2577.00	2237.00	1852.00	1788.00
ENSG00000016864.12	1278.47	1351.00	1154.00	1308.00	1293.00
ENSG00000017260.15	3571.98	1311.00	1031.00	1548.00	1651.00
ENSG00000017373.11	3970.37	150.00	180.00	111.00	81.00
ENSG00000017427.11	2350.62	0.00	0.00	1.00	3.00
ENSG00000017483.10	2017.72	873.00	847.00	940.00	762.00
ENSG00000017621.11	1198.37	5.00	9.00	7.00	6.00
ENSG00000017797.7	3667.48	936.00	751.00	1198.00	1144.00
ENSG00000018189.8	1984.29	300.00	220.00	437.00	359.00
ENSG00000018236.10	1982.08	0.00	0.00	0.00	0.00
ENSG00000018280.12	1787.87	10.00	13.00	8.00	8.00
ENSG00000018408.10	2933.95	1823.00	1519.00	2635.00	2559.00
ENSG00000018510.8	7340.28	2449.00	1968.00	3091.00	3196.00
ENSG00000018610.9	2329.42	202.00	170.00	281.00	302.00
ENSG00000018625.10	3335.07	4.00	5.00	11.00	8.00
ENSG00000018699.7	2876.00	704.00	595.00	691.00	699.00
ENSG00000018869.12	1561.10	10.00	9.00	12.00	13.00
ENSG00000019102.7	1155.89	20.00	20.00	30.00	22.00
ENSG00000019144.12	3105.85	363.00	355.00	447.00	339.00
ENSG00000019186.5	2213.99	261.00	224.00	1084.00	1112.00
ENSG00000019485.8	1672.38	38.00	31.00	29.00	35.00
ENSG00000019505.3	5144.00	11.00	16.00	13.00	9.00
ENSG00000019549.4	2088.00	2.00	2.00	1.00	1.00
ENSG00000019582.10	1343.17	1242.00	1155.00	972.00	885.00
ENSG00000019995.6	5523.21	705.16	573.28	697.47	677.41
ENSG00000020129.11	2911.04	142.00	167.00	161.00	139.00
ENSG00000020181.13	6270.00	13.00	12.00	12.00	17.00
ENSG00000020256.15	1811.22	285.00	285.00	283.00	268.00
ENSG00000020426.6	1050.51	445.00	312.00	452.00	430.00
ENSG00000020577.9	5320.43	877.00	804.00	1112.00	986.00
ENSG00000020633.14	3861.00	15.00	10.00	11.00	9.00
ENSG00000020922.8	2373.40	591.00	454.00	616.00	592.00
ENSG00000021300.9	1756.26	1458.00	1250.00	1950.00	1808.00
ENSG00000021355.8	1753.08	1349.00	1164.00	1777.00	1820.00
ENSG00000021461.12	1265.98	40.00	22.00	4.00	12.00
ENSG00000021488.8	1514.75	51.00	45.00	9.00	15.00
ENSG00000021574.7	5116.90	643.00	532.00	740.00	775.00
ENSG00000021645.13	4219.00	0.00	0.00	3.00	1.00
ENSG00000021762.15	1571.65	0.00	0.00	0.00	0.00
ENSG00000021776.6	4821.30	786.00	686.00	966.00	937.00
ENSG00000021826.10	3466.42	1183.00	991.00	1187.00	1138.00
ENSG00000021852.8	1979.27	336.00	292.00	252.00	249.00
ENSG00000022267.12	2313.00	1.00	2.00	2.00	2.00
ENSG00000022277.8	1539.83	1409.00	1146.00	1560.00	1457.00
ENSG00000022567.5	2852.71	0.00	0.00	0.00	0.00
ENSG00000022840.11	2110.80	1612.00	1252.00	1719.00	1757.00
ENSG00000022976.11	2552.07	190.00	143.00	211.00	178.00
ENSG00000023041.7	1936.86	501.00	357.00	662.00	680.00
ENSG00000023171.10	1794.81	7.00	1.00	3.00	6.00
ENSG00000023191.12	1711.05	377.00	503.00	417.00	355.00
ENSG00000023228.9	2930.12	3511.25	2902.00	3346.00	3392.66
ENSG00000023287.8	6021.26	1658.70	1375.00	1802.00	1913.00
ENSG00000023318.7	4854.00	1055.00	927.00	1236.00	1156.00
ENSG00000023330.10	2185.32	558.00	449.00	625.00	583.00
ENSG00000023445.9	4949.97	78.00	54.00	105.00	98.00
ENSG00000023516.7	9913.00	1003.00	877.00	1276.00	1338.00
ENSG00000023572.4	707.01	80.00	49.00	65.00	77.00
ENSG00000023608.4	2656.00	126.77	120.22	145.65	183.77
ENSG00000023697.8	1312.83	457.00	365.00	500.00	493.00
ENSG00000023734.6	1848.80	1227.06	1013.00	1402.00	1531.00
ENSG00000023839.6	5261.19	6373.00	5731.95	5648.00	5273.00
ENSG00000023892.9	2093.23	122.00	106.00	147.00	150.00
ENSG00000023902.9	1589.75	125.00	138.00	175.00	189.00
ENSG00000023909.5	2455.74	288.00	213.00	304.00	315.00
ENSG00000024048.6	7815.42	1232.00	993.00	1330.00	1276.00
ENSG00000024422.7	3585.00	27.00	28.00	90.00	82.00
ENSG00000024526.12	4035.89	380.00	292.00	231.00	217.00
ENSG00000024862.12	1496.00	182.00	143.00	216.00	226.00
ENSG00000025039.10	2336.97	24.00	18.00	15.00	18.00
ENSG00000025156.8	2221.94	382.00	272.00	443.00	476.00
ENSG00000025293.11	4927.68	885.00	722.00	1196.00	1185.00
ENSG00000025423.7	1512.00	33.00	44.00	12.00	28.00
ENSG00000025434.14	1195.33	241.00	255.00	317.00	255.00
ENSG00000025708.8	1604.00	17.60	24.00	13.00	9.00
ENSG00000025770.14	1681.12	326.00	327.00	284.00	232.00
ENSG00000025772.7	2062.00	836.00	794.00	1262.00	1385.00
ENSG00000025796.9	4247.18	2363.94	1818.95	2349.96	2203.96
ENSG00000025800.9	6993.54	1460.01	1147.00	1710.00	1606.00
ENSG00000026025.9	1868.00	1.00	1.00	0.00	1.00
ENSG00000026036.16	5621.74	182.70	279.94	198.60	152.51
ENSG00000026103.15	2136.32	153.00	132.00	230.00	236.00
ENSG00000026297.11	1069.60	2822.99	2938.97	2490.96	2366.70
ENSG00000026508.12	1934.14	7.00	9.00	11.00	16.00
ENSG00000026652.9	7142.53	10.00	13.00	24.00	15.00
ENSG00000026950.12	2645.03	470.48	393.80	569.30	544.24
ENSG00000027001.7	2384.70	244.00	188.00	308.00	271.00
ENSG00000027075.9	1189.19	8.00	9.00	11.00	9.00
ENSG00000027697.8	1948.52	1462.00	1222.00	3164.00	3140.00
ENSG00000027847.9	1635.76	168.00	175.00	163.00	144.00
ENSG00000027869.7	1599.00	8.00	10.00	7.00	7.00
ENSG00000028116.12	1882.63	337.00	297.00	461.00	440.00
ENSG00000028137.12	2058.00	1.00	0.00	3.00	0.00
