symbol	length	Control_D0	Control_D1	ASCC1_D0	ASCC1_D1
ENSG00000004478.5	2213.40	1999.00	1861.00	1925.00	1757.00
ENSG00000004487.11	2967.34	3453.00	3324.00	2452.00	2377.00
ENSG00000004534.10	2537.61	2976.00	2695.00	2060.00	1929.38
ENSG00000004660.10	3514.83	54.00	53.00	60.00	54.00
ENSG00000004700.11	2699.01	553.00	662.00	361.00	374.00
ENSG00000004766.11	3368.15	363.00	372.00	403.00	367.00
ENSG00000004776.7	1267.33	5.00	3.00	0.00	0.00
ENSG00000004777.14	1778.72	137.00	72.00	83.00	79.00
ENSG00000004779.5	715.76	2175.00	2086.00	1520.00	1437.00
ENSG00000004799.7	2551.35	10.00	1.00	9.00	14.00
ENSG00000004809.9	831.10	9.00	13.00	12.00	6.00
ENSG00000004838.9	1004.11	4.00	5.00	10.00	9.00
ENSG00000004864.9	3021.95	1716.00	1755.00	2625.00	2576.00
ENSG00000004866.14	2102.84	444.00	507.69	614.00	676.00
ENSG00000004897.7	3335.02	2603.00	2627.00	2337.00	2496.00
ENSG00000004939.9	1941.50	0.00	0.00	0.00	0.00
ENSG00000004961.10	1454.76	307.00	338.00	491.00	474.00
ENSG00000004975.7	2343.77	1165.00	950.00	1149.00	1066.00
ENSG00000005001.5	785.00	0.00	0.00	5.00	1.00
ENSG00000005007.8	5142.96	2911.00	2216.00	2076.00	1899.00
ENSG00000005020.8	3680.66	573.00	568.00	822.00	837.00
ENSG00000005022.5	1265.10	10307.00	9756.00	10096.00	9409.00
ENSG00000005059.11	677.64	11.00	11.00	8.00	8.00
ENSG00000005073.5	2216.00	1.00	0.00	0.00	0.00
ENSG00000005075.11	788.59	693.48	627.03	686.30	695.22
ENSG00000005100.8	5498.16	882.00	905.00	898.00	795.00
ENSG00000005108.11	5110.23	3.00	1.00	5.00	3.00
ENSG00000005156.7	2835.51	778.00	684.00	491.00	541.00
ENSG00000005175.5	2212.75	533.00	576.00	574.00	591.00
ENSG00000005187.7	1480.25	1416.00	1647.00	1616.00	1572.00
ENSG00000005189.15	2453.86	255.00	265.00	123.00	117.00
ENSG00000005194.10	1852.98	1326.00	1327.00	1846.00	1748.00
ENSG00000005206.12	1998.15	444.00	333.00	382.00	359.00
ENSG00000005238.15	2928.82	198.00	170.00	245.00	246.00
ENSG00000005243.5	814.87	2.00	8.00	14.00	13.00
ENSG00000005249.8	3745.00	8.00	6.00	8.00	16.00
ENSG00000005302.13	2023.53	226.00	204.00	309.00	289.00
ENSG00000005339.8	8260.70	1657.00	1385.00	1484.00	1423.00
ENSG00000005379.11	2664.50	0.00	0.00	1.00	0.00
ENSG00000005381.6	3215.00	1.00	0.00	2.00	4.00
ENSG00000005421.4	1424.09	19.12	30.00	56.38	54.11
ENSG00000005436.9	1720.68	826.00	882.00	572.00	579.00
ENSG00000005448.12	1042.87	219.00	191.00	165.00	118.00
ENSG00000005469.7	2709.87	268.00	316.00	349.00	431.00
ENSG00000005471.11	2873.42	1134.04	1060.00	1318.77	1223.51
ENSG00000005483.15	5146.44	1694.00	1639.00	1678.00	1463.00
ENSG00000005486.12	1572.38	932.00	695.00	1347.00	1230.00
ENSG00000005513.9	3049.00	10.00	7.00	19.00	9.00
ENSG00000005700.10	6000.26	2698.00	2663.00	2701.00	2625.00
ENSG00000005801.12	2052.73	394.00	382.00	340.00	327.00
ENSG00000005810.13	5428.18	1048.00	1036.00	1174.00	1125.00
ENSG00000005812.6	3113.17	695.00	630.00	545.00	554.00
ENSG00000005844.13	2404.62	246.00	244.00	91.00	96.00
ENSG00000005882.7	1522.47	768.00	621.00	802.00	795.00
ENSG00000005884.13	3488.46	14.00	13.00	121.00	111.00
ENSG00000005889.11	6145.46	1675.00	1806.00	1525.00	1471.00
ENSG00000005893.11	2497.59	5721.00	5689.00	4245.00	4276.00
ENSG00000005955.8	2346.41	1363.00	1313.00	1293.00	1355.00
ENSG00000005961.13	1946.72	60.00	48.00	40.00	42.00
ENSG00000005981.8	2888.03	26.00	37.00	66.00	57.00
ENSG00000006007.7	2558.07	2372.00	2454.00	4786.00	4928.00
ENSG00000006015.13	924.98	57.00	51.00	79.00	82.00
ENSG00000006016.6	1060.77	4177.00	2573.00	4812.00	4614.00
ENSG00000006025.7	2558.32	163.00	109.00	213.00	173.00
ENSG00000006042.7	1419.04	2625.00	2573.00	3127.00	2840.00
ENSG00000006047.8	2520.09	14.00	9.00	14.00	10.00
ENSG00000006062.9	3494.56	124.00	84.00	179.00	153.00
ENSG00000006071.7	1381.05	0.00	0.00	1.00	0.00
ENSG00000006114.11	4941.02	762.00	809.00	719.00	698.00
ENSG00000006118.10	2381.79	929.00	635.00	1197.00	1074.00
ENSG00000006125.12	5116.63	5694.00	5598.00	3996.00	3899.00
ENSG00000006194.6	1967.27	832.00	688.00	808.00	746.00
ENSG00000006210.6	3304.05	3963.00	3258.00	6864.00	6023.00
ENSG00000006282.15	2467.64	1471.74	1099.00	2086.00	1829.00
ENSG00000006283.13	1255.00	0.00	1.00	1.00	1.00
ENSG00000006327.9	928.61	639.00	473.00	635.00	612.00
ENSG00000006377.9	1920.53	159.00	162.00	155.00	172.00
ENSG00000006432.11	9904.92	467.00	370.00	429.00	443.00
ENSG00000006451.3	2847.25	1036.00	1191.00	1058.00	1089.00
ENSG00000006453.9	3108.93	814.00	716.00	826.00	830.00
ENSG00000006459.6	8422.12	2061.00	1940.00	1626.00	1568.00
ENSG00000006468.9	1610.91	0.00	0.00	9.00	10.00
ENSG00000006530.11	2690.79	595.00	543.00	452.00	411.00
ENSG00000006534.11	2673.37	142.00	117.00	107.00	105.00
ENSG00000006576.12	4697.42	320.00	396.00	493.00	511.00
ENSG00000006606.4	614.50	0.00	0.00	1.00	0.00
ENSG00000006607.9	3352.14	1104.00	976.00	954.00	901.00
ENSG00000006611.11	942.00	3.00	1.00	0.00	2.00
ENSG00000006625.13	1127.91	518.00	559.00	333.00	350.00
ENSG00000006634.3	2084.73	406.00	426.90	187.81	178.90
ENSG00000006638.7	2602.04	1.00	1.00	4.00	3.00
ENSG00000006652.9	2120.84	861.00	966.00	1065.00	1146.00
ENSG00000006659.8	469.00	2.00	2.00	0.00	2.00
ENSG00000006695.6	2333.91	478.00	434.00	377.00	404.00
ENSG00000006704.6	2676.53	737.00	677.00	592.00	537.00
ENSG00000006712.10	2064.96	868.00	812.00	1133.00	1018.00
ENSG00000006715.11	3257.71	918.00	912.00	992.00	831.00
ENSG00000006740.12	4212.48	109.00	104.00	119.00	106.00
ENSG00000006744.14	2057.41	788.00	746.00	775.00	694.00
ENSG00000006747.10	1091.00	0.00	0.00	0.00	2.00
ENSG00000006756.11	4714.29	386.00	384.00	627.00	593.00
ENSG00000006757.7	1323.40	325.00	362.00	249.00	287.00
ENSG00000006831.9	3974.67	6421.00	6396.00	4357.00	4413.00
ENSG00000006837.7	854.59	41.52	51.45	62.31	75.03
ENSG00000007001.8	2224.00	3.00	8.00	16.00	15.00
ENSG00000007047.10	2455.19	1150.00	896.00	729.00	680.00
ENSG00000007062.7	3727.95	612.00	628.00	566.00	527.00
ENSG00000007080.6	918.67	269.00	191.00	310.00	291.00
ENSG00000007168.8	3438.80	2311.00	2226.00	2487.00	2415.00
ENSG00000007171.12	4176.00	0.00	1.00	4.00	1.00
ENSG00000007202.10	6780.22	3398.00	3305.00	3574.00	3154.00
ENSG00000007216.10	2226.00	0.00	1.00	1.00	3.00
ENSG00000007237.14	4786.85	62.00	56.00	32.00	41.00
ENSG00000007255.6	735.85	369.00	262.00	410.00	435.00
ENSG00000007264.9	1042.07	0.00	0.00	1.00	0.00
ENSG00000007312.8	1254.00	2.00	0.00	7.00	3.00
ENSG00000007314.7	7805.00	5.00	2.00	5.00	3.00
ENSG00000007341.14	1545.02	228.00	193.00	239.00	195.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1031.64	0.00	3.00	13.00	13.00
ENSG00000007376.3	1856.06	197.00	118.00	183.00	179.00
ENSG00000007384.11	1764.04	135.00	89.00	157.00	179.00
ENSG00000007392.12	1719.48	1054.00	877.00	797.00	631.00
ENSG00000007402.7	3453.00	0.00	1.00	0.00	1.00
ENSG00000007516.9	1864.30	185.00	101.00	151.00	151.00
ENSG00000007520.3	1243.00	460.00	283.00	300.00	276.00
ENSG00000007541.10	2233.16	305.00	196.00	308.00	324.00
ENSG00000007545.11	5372.64	710.93	624.84	630.64	600.00
ENSG00000007866.14	2940.21	1240.00	1027.00	1173.00	1112.00
ENSG00000007908.11	3389.00	0.00	0.00	4.00	2.00
ENSG00000007923.11	2433.74	1349.00	1210.00	936.00	864.00
ENSG00000007944.10	2371.67	106.00	113.00	482.00	507.00
ENSG00000007952.13	1241.50	2.00	2.00	0.00	2.00
ENSG00000007968.6	5191.00	99.00	114.00	41.00	24.00
ENSG00000008018.8	932.21	5003.00	4997.00	5236.00	4775.00
ENSG00000008056.8	3165.00	0.00	0.00	2.00	1.00
ENSG00000008083.9	5549.51	994.00	873.00	725.00	669.00
ENSG00000008086.6	3453.00	48.00	64.00	62.00	53.00
ENSG00000008128.18	1557.42	438.43	371.62	528.41	428.62
ENSG00000008130.11	2726.16	1913.00	1712.00	2376.00	2151.00
ENSG00000008226.15	5623.78	0.00	4.00	2.00	1.00
ENSG00000008256.11	3812.90	136.00	150.00	134.00	140.00
ENSG00000008277.10	5814.23	203.00	245.00	187.00	187.00
ENSG00000008282.3	2116.37	2094.00	2054.00	2286.00	2272.00
ENSG00000008283.11	3065.87	56.00	59.00	177.00	138.00
ENSG00000008294.16	5386.94	4906.00	4902.00	3455.00	3397.00
ENSG00000008300.10	6173.67	935.00	627.00	794.00	696.00
ENSG00000008311.10	2866.87	519.00	542.00	448.00	409.00
ENSG00000008323.11	2397.93	830.00	647.00	703.00	579.00
ENSG00000008324.6	813.57	279.00	254.00	287.00	292.00
ENSG00000008382.11	1374.93	345.00	234.00	266.00	201.00
ENSG00000008394.8	874.46	2544.00	2477.00	1758.00	1993.00
ENSG00000008405.7	3147.36	429.00	426.00	458.00	447.00
ENSG00000008441.12	3570.10	430.00	339.00	511.00	465.00
ENSG00000008513.10	3543.38	2766.00	2472.00	2353.00	2188.00
ENSG00000008516.12	3554.00	0.00	3.00	2.00	1.00
ENSG00000008517.12	860.64	3811.00	3090.00	4311.00	3977.00
ENSG00000008710.13	3500.30	1119.09	677.94	865.13	906.42
ENSG00000008735.10	2536.95	99.00	94.00	84.00	82.00
ENSG00000008838.13	2284.04	2223.00	1760.00	1927.00	1787.00
ENSG00000008853.12	4330.49	421.00	385.00	575.00	546.00
ENSG00000008869.7	6383.69	681.00	626.00	820.00	778.00
ENSG00000008952.12	3102.02	3573.00	3855.00	3130.00	3155.00
ENSG00000008988.5	628.52	14057.00	13445.00	10126.00	8783.00
ENSG00000009307.11	3792.95	13732.00	14080.00	12967.00	12461.00
ENSG00000009335.13	5054.84	1407.00	1360.00	2307.00	2301.00
ENSG00000009413.11	6531.06	1001.00	1026.00	1370.00	1334.00
ENSG00000009694.9	12875.00	4.00	5.00	4.00	7.00
ENSG00000009724.12	1325.52	323.00	257.00	486.00	437.00
ENSG00000009765.10	3377.80	7.00	12.00	0.00	7.00
ENSG00000009780.11	2167.49	159.00	140.00	169.00	179.00
ENSG00000009790.10	1355.50	0.00	0.00	0.00	0.00
ENSG00000009830.7	1521.27	455.00	369.00	399.00	358.00
ENSG00000009844.11	2399.94	2242.00	2204.00	2017.00	2168.00
ENSG00000009950.11	1847.86	3723.00	2516.00	4582.00	4194.00
ENSG00000009954.6	5821.15	2745.00	2809.00	2532.00	2297.00
ENSG00000010017.9	3029.76	1833.00	1730.00	1406.00	1408.00
ENSG00000010030.9	1488.00	0.00	3.00	8.00	1.00
ENSG00000010072.11	3317.47	143.00	137.00	175.00	171.00
ENSG00000010165.15	2835.79	545.00	546.00	487.00	539.00
ENSG00000010219.9	750.16	217.00	244.00	284.00	237.00
ENSG00000010244.12	2466.82	3766.00	3980.00	3443.00	3552.00
ENSG00000010256.6	1089.05	6236.00	5219.00	3821.00	3620.00
ENSG00000010270.9	1533.44	870.00	925.00	843.00	787.00
ENSG00000010278.7	1115.58	487.00	484.00	568.00	489.00
ENSG00000010282.10	1750.00	4.00	2.00	2.00	6.00
ENSG00000010292.8	4715.69	3356.00	3106.00	1305.00	1158.00
ENSG00000010295.15	2585.61	370.00	313.00	388.00	320.00
ENSG00000010310.4	1783.71	44.00	55.00	83.00	71.00
ENSG00000010318.15	1042.61	123.00	116.00	82.00	110.00
ENSG00000010319.2	4478.19	1020.00	760.00	1014.00	935.00
ENSG00000010322.11	3684.68	1465.00	1092.00	1194.00	1140.00
ENSG00000010327.6	3461.22	15.00	5.00	25.00	22.00
ENSG00000010361.9	1479.00	0.00	4.00	5.00	4.00
ENSG00000010379.11	1076.30	3.00	3.00	15.00	17.00
ENSG00000010404.13	5474.51	882.74	901.30	843.06	850.29
ENSG00000010539.7	2845.27	264.00	282.00	266.00	297.00
ENSG00000010610.5	2959.06	136.00	128.00	429.00	426.00
ENSG00000010626.10	1258.16	124.00	124.68	68.46	82.22
ENSG00000010704.14	2397.07	249.00	222.00	193.00	207.00
ENSG00000010803.12	2644.48	1349.00	1383.00	823.00	794.00
ENSG00000010810.13	2066.81	771.00	727.00	671.00	700.00
ENSG00000010818.4	9574.30	1200.00	1035.00	1231.00	1110.00
ENSG00000011007.8	3728.39	1078.00	1000.00	1359.00	1357.00
ENSG00000011009.6	1735.84	1771.00	1341.00	1656.00	1650.00
ENSG00000011021.17	5079.50	2754.73	2451.17	1769.22	1775.78
ENSG00000011028.9	2469.25	1.00	0.00	1.00	2.00
ENSG00000011052.17	996.83	535.70	614.38	347.24	255.15
ENSG00000011105.7	3964.87	3408.00	2861.00	1852.00	1656.00
ENSG00000011114.10	5578.95	619.00	637.00	806.00	869.00
ENSG00000011132.7	1110.36	165.00	126.00	200.00	165.00
ENSG00000011143.12	1662.98	499.00	465.00	356.00	342.00
ENSG00000011198.3	1573.91	115.00	101.00	151.00	172.00
ENSG00000011201.6	6314.00	2.00	2.00	4.00	2.00
ENSG00000011243.13	1688.10	1413.00	1256.00	1292.00	1133.00
ENSG00000011258.11	5099.86	1946.00	2030.00	2041.00	2038.00
ENSG00000011260.9	1824.50	1313.00	1359.00	1260.00	1281.00
ENSG00000011275.14	4837.04	1425.00	1213.00	1309.00	1169.00
ENSG00000011295.11	2590.26	583.00	576.75	608.00	666.86
ENSG00000011304.12	1844.21	5549.00	4433.00	3767.00	3463.00
ENSG00000011332.15	1517.45	30.00	22.00	20.00	24.00
ENSG00000011347.5	4426.41	646.00	501.00	875.00	846.00
ENSG00000011376.5	4390.49	1022.00	961.00	850.00	862.00
ENSG00000011405.9	6893.32	2799.00	2731.00	2337.00	2299.00
ENSG00000011422.7	1403.13	33.00	27.00	32.00	30.00
ENSG00000011426.6	4031.61	1389.00	1414.00	218.00	194.00
ENSG00000011451.13	4299.69	603.00	350.00	504.00	427.00
ENSG00000011454.12	4340.98	1536.00	1474.00	1112.00	1083.00
ENSG00000011478.7	2060.99	855.00	576.00	530.00	550.00
ENSG00000011485.10	2016.76	1026.00	861.00	859.00	771.00
ENSG00000011523.9	5072.20	672.00	715.00	830.00	832.00
ENSG00000011566.10	3921.92	4448.00	4546.00	1955.00	2019.00
ENSG00000011600.7	522.00	2.00	0.00	4.00	2.00
ENSG00000011638.6	1600.01	151.00	138.00	177.00	162.00
ENSG00000011677.8	3712.00	0.00	2.00	1.00	1.00
ENSG00000012048.15	3027.55	414.00	436.00	154.00	159.00
ENSG00000012061.11	1236.67	940.00	771.00	756.00	633.00
ENSG00000012124.10	2111.45	34.00	23.00	35.00	37.00
ENSG00000012171.13	1927.84	1652.00	1061.00	870.00	755.00
ENSG00000012174.7	4428.13	1397.00	1470.00	1265.34	1340.00
ENSG00000012211.8	2087.65	84.00	56.00	115.00	93.00
ENSG00000012232.4	6483.00	977.00	878.00	908.00	783.00
ENSG00000012504.9	2175.25	1402.00	1641.00	1482.00	1555.00
ENSG00000012660.9	2769.35	4762.00	4680.00	5228.00	5279.00
ENSG00000012779.6	2504.00	0.00	0.00	2.00	1.00
ENSG00000012817.11	3912.06	1290.00	1178.00	1591.00	1495.00
ENSG00000012822.11	2150.46	1097.00	989.00	1835.00	1642.00
ENSG00000012963.9	3694.00	611.00	638.00	334.00	309.00
ENSG00000012983.7	4083.70	892.00	855.00	712.00	726.00
ENSG00000013016.10	4636.00	25.00	28.00	33.00	29.00
ENSG00000013275.3	1543.91	1511.00	1262.00	1705.00	1662.00
ENSG00000013288.4	5365.60	529.00	444.00	752.00	699.00
ENSG00000013297.6	1861.43	143.00	146.00	168.00	205.00
ENSG00000013306.11	1522.72	3439.00	2630.00	3393.00	3188.00
ENSG00000013364.14	2073.72	1064.00	799.00	2651.97	2375.00
ENSG00000013374.11	2284.38	1224.00	1121.00	1078.00	1114.00
ENSG00000013375.11	3666.64	3159.00	3406.00	2438.00	2513.00
ENSG00000013392.6	3052.78	327.00	334.00	417.00	406.00
ENSG00000013441.11	1591.85	1831.00	1874.00	1326.00	1304.00
ENSG00000013503.5	4273.00	344.00	315.00	427.00	438.00
ENSG00000013523.5	3708.02	971.00	908.00	1001.00	921.00
ENSG00000013561.13	1969.94	359.00	363.00	398.00	379.00
ENSG00000013563.9	2047.05	295.00	236.00	395.00	335.00
ENSG00000013573.12	2174.50	535.35	361.81	378.32	378.14
ENSG00000013583.4	1196.28	598.00	544.00	404.00	386.00
ENSG00000013588.5	4114.23	13.00	6.00	16.00	30.00
ENSG00000013619.9	2805.75	0.00	0.00	1.00	0.00
ENSG00000013810.14	2247.58	774.56	628.01	161.92	180.96
ENSG00000014123.9	4133.30	1469.00	1483.00	1230.00	1306.00
ENSG00000014138.4	2539.45	205.00	192.00	89.00	86.00
ENSG00000014164.6	3176.45	421.00	246.00	448.00	463.00
ENSG00000014216.11	2403.87	1942.00	1565.00	2207.00	1969.00
ENSG00000014641.13	1380.16	5112.00	5126.00	5262.00	5362.00
ENSG00000014824.9	3535.51	1386.00	1480.00	1420.00	1427.00
ENSG00000014914.15	2335.14	76.00	86.00	265.00	278.00
ENSG00000014919.8	2584.29	1186.00	1288.00	779.00	710.00
ENSG00000015133.14	3974.89	351.00	279.00	271.00	266.00
ENSG00000015153.10	1850.85	177.00	184.00	200.00	214.00
ENSG00000015171.14	3899.41	1319.00	1264.00	1422.00	1477.00
ENSG00000015285.6	1703.83	10.00	3.00	2.00	2.00
ENSG00000015413.5	1548.85	281.00	193.00	551.00	450.00
ENSG00000015475.14	1164.77	368.00	336.00	440.00	463.00
ENSG00000015479.13	2671.45	9810.00	10390.00	8317.00	8331.00
ENSG00000015520.10	4795.51	1725.00	1362.00	1508.00	1401.00
ENSG00000015532.5	3392.63	999.00	749.00	901.00	798.00
ENSG00000015568.8	6505.73	811.70	382.95	560.72	563.61
ENSG00000015592.12	1229.08	1.00	0.00	2.00	6.00
ENSG00000015676.13	2599.38	1118.00	1116.00	1154.00	1028.00
ENSG00000016391.6	7004.49	3994.00	3821.00	3267.00	3067.00
ENSG00000016864.12	1305.50	2246.00	2354.00	1909.00	1940.00
ENSG00000017260.15	3680.27	1927.00	1961.00	1446.00	1397.00
ENSG00000017373.11	4369.65	343.00	190.00	479.00	424.00
ENSG00000017427.11	2572.29	0.00	0.00	0.00	0.00
ENSG00000017483.10	1809.45	1285.00	984.00	2100.00	1741.00
ENSG00000017621.11	1188.41	15.00	10.00	10.00	14.00
ENSG00000017797.7	4171.23	1452.00	1291.00	1181.00	1252.00
ENSG00000018189.8	2039.18	319.00	334.00	336.00	324.00
ENSG00000018236.10	1982.08	0.00	0.00	1.00	0.00
ENSG00000018280.12	3442.55	56.00	38.00	49.00	51.00
ENSG00000018408.10	3715.89	3501.00	3125.00	2613.00	2783.00
ENSG00000018510.8	7490.77	4342.00	4448.00	4698.00	4754.00
ENSG00000018610.9	2052.65	272.00	329.00	333.00	322.00
ENSG00000018625.10	5161.93	11.00	20.00	261.00	238.00
ENSG00000018699.7	2876.00	1040.00	996.00	963.00	973.00
ENSG00000018869.12	2024.53	34.00	27.00	29.00	29.00
ENSG00000019102.7	1160.81	28.00	20.00	46.00	42.00
ENSG00000019144.12	3286.94	475.00	407.00	705.00	647.00
ENSG00000019186.5	2586.84	150.00	123.00	1179.00	1109.00
ENSG00000019485.8	1361.56	63.00	40.00	69.00	53.00
ENSG00000019505.3	5144.00	3.00	2.00	7.00	4.00
ENSG00000019549.4	2088.00	6.00	3.00	3.00	1.00
ENSG00000019582.10	1278.32	1955.00	1567.00	2719.00	2585.00
ENSG00000019995.6	5602.28	1334.26	1287.86	1204.36	1295.04
ENSG00000020129.11	2837.50	281.00	179.00	439.00	414.00
ENSG00000020181.13	6270.00	15.00	14.00	26.00	24.00
ENSG00000020256.15	2453.87	504.00	416.00	507.00	405.00
ENSG00000020426.6	970.59	817.00	822.00	734.00	727.00
ENSG00000020577.9	5376.29	895.00	691.00	636.00	699.00
ENSG00000020633.14	3861.00	31.00	31.00	83.00	69.00
ENSG00000020922.8	2617.31	517.00	525.00	313.00	280.00
ENSG00000021300.9	1813.35	1456.00	1256.00	2439.00	2286.00
ENSG00000021355.8	1852.60	2756.00	2752.00	2514.00	2477.00
ENSG00000021461.12	1040.80	61.00	59.00	109.00	123.00
ENSG00000021488.8	1667.79	145.00	114.00	118.00	96.00
ENSG00000021574.7	5116.93	1291.00	1397.00	1167.00	1139.00
ENSG00000021645.13	4219.00	0.00	0.00	1.00	4.00
ENSG00000021762.15	2224.00	0.00	0.00	1.00	2.00
ENSG00000021776.6	4401.93	767.00	719.00	835.00	784.00
ENSG00000021826.10	4375.07	1741.00	1915.00	1785.00	1627.00
ENSG00000021852.8	1835.12	590.00	581.00	649.00	519.00
ENSG00000022267.12	708.96	0.00	0.00	1.00	3.00
ENSG00000022277.8	1576.52	2691.00	2517.00	2042.83	1889.00
ENSG00000022567.5	4179.69	6.00	4.00	8.00	5.00
ENSG00000022840.11	2492.35	3050.00	2807.00	3237.00	3199.00
ENSG00000022976.11	2523.62	224.00	206.00	289.00	275.00
ENSG00000023041.7	2035.52	499.00	499.00	479.00	413.00
ENSG00000023171.10	5693.82	2.00	1.00	44.00	53.00
ENSG00000023191.12	1719.51	1076.00	703.00	762.00	790.00
ENSG00000023228.9	3594.01	5411.10	5668.93	4346.33	4390.00
ENSG00000023287.8	6123.19	3237.00	3394.00	2987.00	3134.00
ENSG00000023318.7	4854.00	1294.00	1331.00	1460.00	1464.00
ENSG00000023330.10	2147.02	907.00	831.00	1104.00	1050.00
ENSG00000023445.9	4916.56	81.00	72.00	98.00	106.00
ENSG00000023516.7	9913.00	1369.00	1390.00	1579.00	1541.00
ENSG00000023572.4	702.75	101.00	107.00	81.00	57.00
ENSG00000023608.4	2656.00	217.29	195.14	224.00	204.04
ENSG00000023697.8	1428.09	787.00	808.00	744.00	728.00
ENSG00000023734.6	1843.33	2631.00	2429.00	2516.00	2435.00
ENSG00000023839.6	5294.88	10282.00	9881.00	10141.00	9861.00
ENSG00000023892.9	2200.32	174.00	146.00	223.00	198.00
ENSG00000023902.9	1564.23	153.00	141.00	270.00	239.00
ENSG00000023909.5	2740.27	726.00	692.00	514.00	512.00
ENSG00000024048.6	7769.82	1623.00	1508.00	1681.00	1701.00
ENSG00000024422.7	1433.15	24.00	23.00	64.00	77.00
ENSG00000024526.12	4777.25	444.00	457.00	41.00	40.00
ENSG00000024862.12	1496.00	181.00	212.00	252.00	232.00
ENSG00000025039.10	3793.63	36.00	43.00	32.00	33.00
ENSG00000025156.8	2511.80	551.00	639.00	484.00	524.00
ENSG00000025293.11	5703.64	1295.00	1181.00	1168.00	1151.00
ENSG00000025423.7	1171.22	139.00	111.00	106.00	99.00
ENSG00000025434.14	1253.13	705.00	580.00	823.00	791.00
ENSG00000025708.8	1661.32	81.00	44.00	123.48	104.60
ENSG00000025770.14	1943.51	549.00	449.00	394.00	354.00
ENSG00000025772.7	2062.00	1284.00	1204.00	1917.00	1929.00
ENSG00000025796.9	4620.81	3833.84	3891.93	3588.91	3323.95
ENSG00000025800.9	7356.17	2018.00	1863.45	2195.52	2262.00
ENSG00000026025.9	1412.00	0.00	0.00	0.00	0.00
ENSG00000026036.16	5643.16	322.26	203.59	238.72	189.95
ENSG00000026103.15	2382.01	115.00	122.00	202.00	214.00
ENSG00000026297.11	944.30	6338.00	4991.24	3767.53	3952.46
ENSG00000026508.12	705.00	0.00	0.00	4.00	1.00
ENSG00000026652.9	3087.50	6.00	8.00	8.00	20.00
ENSG00000026950.12	2680.25	590.40	595.48	712.92	702.75
ENSG00000027001.7	2370.44	246.00	189.00	137.00	141.00
