symbol	length	Control_D0	Control_D1	ADAR_D0	ADAR_D1
ENSG00000005073.5	2137.00	1.00	4.00	1.00	2.00
ENSG00000005075.11	679.66	580.75	627.72	493.09	593.36
ENSG00000005100.8	4963.19	1308.00	1264.00	972.00	1053.00
ENSG00000005108.11	10663.00	9.00	10.00	1.00	1.00
ENSG00000005156.7	2519.88	725.00	722.00	493.00	457.00
ENSG00000005175.5	2073.89	473.00	440.00	414.00	350.00
ENSG00000005187.7	1013.27	626.00	654.00	1272.00	1171.00
ENSG00000005189.15	2000.08	266.00	236.00	290.00	248.00
ENSG00000005194.10	1732.64	997.00	821.00	556.00	639.99
ENSG00000005206.12	1796.53	192.00	156.00	201.00	266.00
ENSG00000005238.15	2834.67	160.00	174.00	82.00	109.00
ENSG00000005243.5	886.00	2.00	9.00	1.00	2.00
ENSG00000005249.8	1665.33	3.00	1.00	2.00	0.00
ENSG00000005302.13	1811.41	206.00	218.00	163.00	165.00
ENSG00000005339.8	8067.06	1376.00	1335.00	1597.00	1588.00
ENSG00000005379.11	5947.00	1.00	0.00	1.00	3.00
ENSG00000005381.6	1358.00	0.00	1.00	0.00	0.00
ENSG00000005421.4	996.42	5.23	5.00	8.00	7.14
ENSG00000005436.9	1775.85	537.00	464.00	410.00	366.00
ENSG00000005448.12	1105.63	249.00	216.00	215.00	224.00
ENSG00000005469.7	2379.93	193.00	157.00	260.00	205.00
ENSG00000005471.11	3041.63	672.00	655.00	608.00	599.00
ENSG00000005483.15	5545.98	1837.00	1904.00	1856.00	1694.00
ENSG00000005486.12	1592.79	324.00	335.00	209.00	280.00
ENSG00000005513.9	3049.00	15.00	10.00	6.00	12.00
ENSG00000005700.10	5853.19	2217.00	2260.00	1569.00	1322.00
ENSG00000005801.12	1840.05	497.00	477.00	477.00	434.00
ENSG00000005810.13	5678.48	1328.00	1229.00	962.00	880.00
ENSG00000005812.6	3212.00	464.00	362.00	334.00	327.00
ENSG00000005844.13	3039.46	40.00	41.00	38.00	21.00
ENSG00000005882.7	1578.43	356.00	400.00	313.00	376.00
ENSG00000005884.13	2289.72	115.00	125.00	11.00	19.00
ENSG00000005889.11	5298.61	565.00	516.00	1434.00	1227.00
ENSG00000005893.11	2271.18	4005.00	3854.00	5222.00	5063.00
ENSG00000005955.8	1983.95	1085.00	972.00	1045.00	972.00
ENSG00000005961.13	872.34	29.00	24.00	24.00	17.00
ENSG00000005981.8	1640.14	224.00	190.00	45.00	48.00
ENSG00000006007.7	2811.71	1785.00	1648.00	1117.00	1171.00
ENSG00000006015.13	2206.28	23.00	40.00	40.00	41.00
ENSG00000006016.6	1010.04	3041.00	2889.00	1754.00	2570.00
ENSG00000006025.7	2349.63	183.00	184.00	133.00	185.00
ENSG00000006042.7	1409.10	1381.00	1313.00	1370.00	1540.99
ENSG00000006047.8	2143.41	3.00	10.00	16.00	15.00
ENSG00000006062.9	4014.85	77.00	71.00	112.00	177.00
ENSG00000006071.7	1381.05	0.00	0.00	2.00	0.00
ENSG00000006114.11	4458.63	837.00	748.00	628.00	625.00
ENSG00000006118.10	2035.72	389.00	419.00	445.00	566.00
ENSG00000006125.12	5307.26	4377.00	4175.00	2599.00	2731.00
ENSG00000006194.6	2289.41	559.00	507.00	416.00	392.00
ENSG00000006210.6	3330.58	1254.00	1356.00	1975.00	2352.00
ENSG00000006282.15	2329.35	993.00	952.03	729.00	1055.00
ENSG00000006283.13	6575.47	0.00	0.00	1.00	0.00
ENSG00000006327.9	896.68	402.00	414.00	236.00	276.00
ENSG00000006377.9	1920.28	154.00	137.00	167.00	183.00
ENSG00000006432.11	9433.03	635.00	567.00	265.00	277.00
ENSG00000006451.3	2138.55	709.00	580.00	558.00	499.00
ENSG00000006453.9	2826.76	677.00	736.00	491.00	530.00
ENSG00000006459.6	7555.33	1957.00	1918.00	1184.00	1022.00
ENSG00000006468.9	762.07	3.00	9.00	4.00	3.00
ENSG00000006530.11	2456.29	605.00	597.00	491.00	485.00
ENSG00000006534.11	2708.21	95.00	80.00	90.00	114.00
ENSG00000006576.12	4778.54	404.00	373.00	378.00	289.00
ENSG00000006606.4	614.50	0.00	0.00	1.00	0.00
ENSG00000006607.9	2628.94	977.00	948.00	724.00	697.00
ENSG00000006611.11	2159.00	2.00	1.00	1.00	1.00
ENSG00000006625.13	1121.91	437.00	401.00	381.00	383.00
ENSG00000006634.3	1967.39	439.88	438.95	424.96	360.95
ENSG00000006638.7	1596.50	3.00	2.00	1.00	0.00
ENSG00000006652.9	2033.75	694.00	660.00	807.00	684.00
ENSG00000006659.8	672.00	0.00	0.00	0.00	0.00
ENSG00000006695.6	2343.65	325.00	295.00	215.00	214.00
ENSG00000006704.6	1866.12	386.00	410.00	374.00	449.00
ENSG00000006712.10	2010.73	737.00	750.00	745.00	785.00
ENSG00000006715.11	2612.63	760.00	718.00	620.00	565.00
ENSG00000006740.12	4227.73	55.00	55.00	70.00	68.00
ENSG00000006744.14	1861.57	817.00	720.00	634.00	716.00
ENSG00000006747.10	1391.55	0.00	0.00	1.00	0.00
ENSG00000006756.11	4654.98	230.00	219.00	127.00	132.00
ENSG00000006757.7	1105.69	222.00	194.00	156.00	180.00
ENSG00000006831.9	3916.65	2931.00	2855.00	2467.00	2491.00
ENSG00000006837.7	814.61	26.87	31.33	26.17	18.35
ENSG00000007001.8	1790.40	0.00	0.00	1.00	0.00
ENSG00000007047.10	2470.27	529.00	528.00	451.00	513.00
ENSG00000007062.7	2701.22	631.00	576.00	295.00	292.00
ENSG00000007080.6	919.37	115.00	112.00	115.00	153.00
ENSG00000007168.8	3008.48	1806.75	1723.00	1390.00	1350.00
ENSG00000007171.12	4176.00	0.00	0.00	0.00	0.00
ENSG00000007202.10	5399.13	3427.00	3355.00	1904.00	2086.00
ENSG00000007216.10	2855.00	0.00	0.00	3.00	1.00
ENSG00000007237.14	5424.43	60.00	72.00	275.00	324.00
ENSG00000007255.6	718.11	42.00	44.00	26.00	31.00
ENSG00000007264.9	1042.07	0.00	0.00	0.00	0.00
ENSG00000007312.8	842.67	1.00	3.00	0.00	0.00
ENSG00000007314.7	7805.00	10.00	10.00	4.00	2.00
ENSG00000007341.14	1395.28	193.00	203.00	202.00	198.00
ENSG00000007350.12	525.00	0.00	0.00	1.00	1.00
ENSG00000007372.16	788.49	49.00	40.00	9.00	16.00
ENSG00000007376.3	1667.99	61.00	52.00	55.00	108.00
ENSG00000007384.11	1210.30	221.00	178.00	107.00	135.00
ENSG00000007392.12	1679.85	874.00	894.00	630.00	630.00
ENSG00000007402.7	4423.79	2.00	2.00	1.00	2.00
ENSG00000007516.9	2146.15	72.00	68.00	49.00	52.00
ENSG00000007520.3	1199.17	118.00	67.00	117.00	126.00
ENSG00000007541.10	1654.10	116.00	101.00	90.61	123.00
ENSG00000007545.11	5039.31	503.47	568.84	585.05	580.54
ENSG00000007866.14	2904.04	692.00	670.00	539.00	647.00
ENSG00000007908.11	3389.00	1.00	2.00	3.00	1.00
ENSG00000007923.11	2385.28	1264.00	1093.00	988.00	1014.00
ENSG00000007944.10	2203.11	140.00	115.00	81.00	109.00
ENSG00000007952.13	695.00	0.00	1.00	1.00	1.00
ENSG00000007968.6	4717.39	161.00	161.00	175.00	173.00
ENSG00000008018.8	946.70	2802.00	2602.00	2340.00	2267.00
ENSG00000008056.8	3184.00	0.00	0.00	1.00	0.00
ENSG00000008083.9	5755.00	805.00	782.00	688.00	738.00
ENSG00000008086.6	2460.27	117.00	89.00	87.00	98.00
ENSG00000008128.18	1316.78	363.07	416.26	400.25	436.51
ENSG00000008130.11	2332.00	753.00	764.00	674.00	816.00
ENSG00000008226.15	3140.62	1.00	0.00	1.00	0.00
ENSG00000008256.11	4505.00	209.00	180.00	144.00	162.00
ENSG00000008277.10	7170.60	230.00	207.00	296.00	230.00
ENSG00000008282.3	2141.57	1335.00	1148.00	700.00	612.00
ENSG00000008283.11	2655.78	31.00	36.00	40.00	33.00
ENSG00000008294.16	4244.11	3271.00	2940.00	2064.00	1952.00
ENSG00000008300.10	5559.84	695.00	696.00	499.00	582.00
ENSG00000008311.10	2827.34	467.00	504.00	524.00	450.00
ENSG00000008323.11	2582.20	159.00	190.00	203.00	273.00
ENSG00000008324.6	799.24	201.00	142.00	137.00	109.00
ENSG00000008382.11	1280.00	88.00	83.00	83.00	123.00
ENSG00000008394.8	797.59	1956.00	1773.00	1186.00	1357.00
ENSG00000008405.7	2933.17	386.00	363.00	189.00	182.00
ENSG00000008441.12	3529.31	307.00	359.00	497.00	601.00
ENSG00000008513.10	3364.36	1100.00	1083.00	1536.00	1450.00
ENSG00000008516.12	1681.00	1.00	1.00	2.00	0.00
ENSG00000008517.12	934.59	1519.00	1507.00	1339.00	1544.00
ENSG00000008710.13	2214.45	292.50	303.59	468.19	716.37
ENSG00000008735.10	2601.52	34.00	34.00	32.00	60.00
ENSG00000008838.13	1743.81	1645.00	1502.00	1443.00	1849.00
ENSG00000008853.12	4195.37	259.00	248.00	211.00	234.00
ENSG00000008869.7	6905.00	707.00	722.00	598.00	608.00
ENSG00000008952.12	2634.51	2333.00	2232.00	1630.00	1602.00
ENSG00000008988.5	629.58	4125.00	4347.00	5780.00	5276.00
ENSG00000009307.11	3587.92	10377.00	10043.00	10396.00	9087.00
ENSG00000009335.13	3576.72	1300.00	1202.00	1347.00	1253.00
ENSG00000009413.11	7214.91	1427.00	1298.00	1290.00	1216.00
ENSG00000009694.9	12875.00	2.00	2.00	9.00	8.00
ENSG00000009724.12	1819.88	96.00	83.00	78.00	132.00
ENSG00000009765.10	5505.45	2.00	0.00	9.00	11.00
ENSG00000009780.11	2428.77	90.00	90.00	94.00	113.00
ENSG00000009790.10	1355.50	1.00	0.00	1.00	0.00
ENSG00000009830.7	2160.86	404.00	421.00	419.00	452.00
ENSG00000009844.11	1930.37	1868.00	1764.00	1405.00	1225.00
ENSG00000009950.11	1737.56	1159.00	1346.00	2707.00	3476.00
ENSG00000009954.6	5738.27	2604.00	2636.00	2360.00	2253.00
ENSG00000010017.9	2384.69	1532.00	1372.00	1305.00	1217.00
ENSG00000010030.9	1670.00	0.00	0.00	0.00	0.00
ENSG00000010072.11	2729.66	158.00	128.00	123.00	140.00
ENSG00000010165.15	2285.96	500.00	482.00	395.00	408.00
ENSG00000010219.9	745.06	167.00	184.00	140.00	128.00
ENSG00000010244.12	2541.55	3448.00	3211.00	2914.00	2757.00
ENSG00000010256.6	1030.96	2797.00	2678.00	2029.00	2271.00
ENSG00000010270.9	1473.36	512.00	475.00	470.00	438.00
ENSG00000010278.7	1146.88	211.00	221.00	136.00	131.00
ENSG00000010282.10	702.00	0.00	0.00	1.00	1.00
ENSG00000010292.8	3877.75	3966.00	3926.00	3338.00	3312.00
ENSG00000010295.15	2475.43	193.00	198.00	199.00	247.00
ENSG00000010310.4	1233.24	41.00	43.00	30.00	15.00
ENSG00000010318.15	1173.60	80.00	94.00	87.00	68.00
ENSG00000010319.2	4195.04	392.00	463.00	294.00	339.00
ENSG00000010322.11	2649.44	826.00	892.00	881.00	1131.00
ENSG00000010327.6	2160.00	3.00	4.00	7.00	1.00
ENSG00000010361.9	964.11	1.00	1.00	0.00	0.00
ENSG00000010379.11	906.73	3.00	1.00	4.00	4.00
ENSG00000010404.13	4728.67	923.69	874.11	594.72	583.69
ENSG00000010539.7	2327.47	199.00	207.00	210.00	180.00
ENSG00000010610.5	2988.58	105.00	134.00	42.00	56.00
ENSG00000010626.10	1314.47	74.91	73.00	58.89	56.49
ENSG00000010704.14	2527.90	176.00	155.00	127.00	115.00
ENSG00000010803.12	2352.38	1039.00	969.00	1117.00	1169.00
ENSG00000010810.13	1695.15	979.00	980.00	504.00	578.00
ENSG00000010818.4	9573.98	996.00	1021.00	524.00	553.00
ENSG00000011007.8	4029.51	955.00	884.00	795.00	774.00
ENSG00000011009.6	1684.68	755.00	715.00	630.00	924.00
ENSG00000011021.17	4707.39	1161.33	1213.81	1591.00	1677.31
ENSG00000011028.9	2262.00	0.00	1.00	0.00	0.00
ENSG00000011052.17	1011.28	101.14	135.56	149.59	192.43
ENSG00000011105.7	3304.28	663.00	740.00	508.00	501.00
ENSG00000011114.10	4488.09	686.00	615.00	657.00	593.00
ENSG00000011132.7	1113.22	86.00	98.00	80.00	114.00
ENSG00000011143.12	1668.41	312.00	343.00	313.00	306.00
ENSG00000011198.3	1556.47	74.00	71.00	64.00	72.00
ENSG00000011201.6	6314.00	4.00	4.00	2.00	2.00
ENSG00000011243.13	1682.40	883.00	932.00	982.00	1066.00
ENSG00000011258.11	5026.32	1243.00	1247.00	1416.00	1217.00
ENSG00000011260.9	1835.56	848.00	751.00	647.00	520.00
ENSG00000011275.14	4354.63	777.00	858.00	807.00	865.00
ENSG00000011295.11	2505.78	464.00	493.00	381.00	327.00
ENSG00000011304.12	1424.86	3487.00	3567.00	3548.00	3820.00
ENSG00000011332.15	1279.56	27.00	23.00	29.00	35.00
ENSG00000011347.5	4644.70	163.00	164.00	140.00	133.00
ENSG00000011376.5	4481.18	808.00	886.00	578.00	612.00
ENSG00000011405.9	7544.47	2769.00	2689.00	1827.00	1792.00
ENSG00000011422.7	1105.68	53.00	52.00	39.00	44.00
ENSG00000011426.6	4228.72	2677.00	2517.00	2300.00	1978.00
ENSG00000011451.13	4152.55	263.00	308.00	340.00	412.00
ENSG00000011454.12	4356.62	1095.00	1106.00	796.00	789.00
ENSG00000011478.7	2159.54	351.00	308.00	236.00	350.00
ENSG00000011485.10	1610.67	841.00	827.00	868.00	1003.00
ENSG00000011523.9	4185.08	477.00	468.00	556.00	589.00
ENSG00000011566.10	3732.79	2478.00	2344.00	1184.00	1014.00
ENSG00000011600.7	533.33	0.00	1.00	0.00	0.00
ENSG00000011638.6	1277.25	195.00	212.00	72.00	72.00
ENSG00000011677.8	1532.75	3.00	0.00	0.00	0.00
ENSG00000012048.15	3790.69	829.00	838.00	970.00	879.00
ENSG00000012061.11	1240.42	426.00	451.00	421.00	441.00
ENSG00000012124.10	2187.15	12.00	17.00	31.00	31.00
ENSG00000012171.13	1541.25	1582.00	1502.00	1476.00	1948.00
ENSG00000012174.7	4226.60	761.22	732.71	629.06	558.91
ENSG00000012211.8	2225.66	64.00	65.00	43.00	56.00
ENSG00000012232.4	6442.38	602.00	628.00	567.00	574.00
ENSG00000012504.9	2029.56	705.00	615.00	1232.00	1132.00
ENSG00000012660.9	2706.39	2252.00	2243.00	2315.00	2081.00
ENSG00000012779.6	1035.00	0.00	0.00	0.00	0.00
ENSG00000012817.11	4245.14	1354.00	1280.00	1094.00	1184.00
ENSG00000012822.11	2127.42	894.00	946.00	795.00	824.00
ENSG00000012963.9	3488.54	586.00	534.00	546.00	557.00
ENSG00000012983.7	4067.65	997.00	903.00	663.00	624.00
ENSG00000013016.10	4636.00	18.00	17.00	11.00	17.00
ENSG00000013275.3	1557.68	1252.00	1116.00	804.00	929.00
ENSG00000013288.4	5541.08	483.00	454.00	392.00	491.00
ENSG00000013297.6	1864.44	251.00	237.00	202.00	205.00
ENSG00000013306.11	1468.18	1694.00	1565.00	1303.00	1711.00
ENSG00000013364.14	1360.48	680.99	722.00	286.00	390.00
ENSG00000013374.11	1735.95	819.00	765.00	671.00	632.00
ENSG00000013375.11	3707.68	2334.00	2158.00	1277.00	1186.00
ENSG00000013392.6	3105.75	267.00	245.00	212.00	179.00
ENSG00000013441.11	1897.90	1491.00	1552.00	1826.00	1607.00
ENSG00000013503.5	4073.20	281.00	268.00	189.00	202.00
ENSG00000013523.5	3741.64	568.00	607.00	386.00	408.00
ENSG00000013561.13	1687.76	298.00	265.00	183.00	180.00
ENSG00000013563.9	2064.70	140.00	130.00	71.00	81.00
ENSG00000013573.12	2111.81	561.12	551.56	641.23	732.84
ENSG00000013583.4	1205.82	383.00	353.00	200.00	183.00
ENSG00000013588.5	1851.00	97.00	100.00	21.00	27.00
ENSG00000013619.9	2888.00	13.00	24.00	1.00	2.00
ENSG00000013810.14	2158.77	860.10	812.42	850.99	1003.77
ENSG00000014123.9	4224.00	970.00	957.00	723.00	570.00
ENSG00000014138.4	1667.22	339.00	255.00	249.00	270.00
ENSG00000014164.6	3280.00	143.00	139.00	153.00	254.00
ENSG00000014216.11	1960.91	1149.00	1184.00	904.00	1092.00
ENSG00000014641.13	1403.07	3367.00	3012.00	2295.00	2179.00
ENSG00000014824.9	2787.58	1262.00	1133.00	922.00	792.00
ENSG00000014914.15	1586.72	113.00	108.00	46.00	70.00
ENSG00000014919.8	2608.84	753.00	723.00	468.00	462.00
ENSG00000015133.14	4734.32	296.00	293.00	228.00	286.00
ENSG00000015153.10	1367.43	166.00	136.00	85.00	86.00
ENSG00000015171.14	3544.83	1021.00	1030.00	789.00	755.00
ENSG00000015285.6	1849.00	2.00	0.00	1.00	1.00
ENSG00000015413.5	1152.63	122.00	102.00	220.00	321.00
ENSG00000015475.14	1257.68	252.00	191.00	135.00	172.00
ENSG00000015479.13	2453.20	8158.00	7728.00	7740.00	6416.00
ENSG00000015520.10	4670.44	637.00	647.00	858.00	1036.00
ENSG00000015532.5	3181.97	494.00	405.00	218.00	306.00
ENSG00000015568.8	2534.04	359.92	135.39	47.93	17.44
ENSG00000015592.12	1337.14	1.00	2.00	1.00	0.00
ENSG00000015676.13	2430.71	813.00	788.00	631.00	790.00
ENSG00000016391.6	6965.62	1770.00	1884.00	1987.00	2006.00
ENSG00000016864.12	1230.25	1206.00	1148.00	1319.00	1293.00
ENSG00000017260.15	3182.78	1531.00	1449.00	1013.00	970.00
ENSG00000017373.11	3218.80	119.00	94.00	51.00	56.00
ENSG00000017427.11	2572.29	0.00	0.00	0.00	0.00
ENSG00000017483.10	1897.85	875.00	879.00	1162.00	1363.00
ENSG00000017621.11	1705.18	11.00	3.00	8.00	9.00
ENSG00000017797.7	4166.95	1142.00	1178.00	1012.00	917.00
ENSG00000018189.8	2253.05	337.00	325.00	222.00	183.00
ENSG00000018236.10	1982.08	1.00	1.00	0.00	0.00
ENSG00000018280.12	3852.00	5.00	14.00	4.00	5.00
ENSG00000018408.10	2146.89	2319.00	2136.00	1892.00	1661.00
ENSG00000018510.8	6664.23	3205.00	2994.00	2166.00	1958.00
ENSG00000018610.9	1805.99	203.00	223.00	171.00	175.00
ENSG00000018625.10	2310.75	4.00	14.00	2.00	0.00
ENSG00000018699.7	2876.00	756.00	687.00	541.00	505.00
ENSG00000018869.12	1834.31	7.00	6.00	10.00	17.00
ENSG00000019102.7	1148.00	37.00	30.00	13.00	18.00
ENSG00000019144.12	3378.18	451.00	472.00	346.00	442.00
ENSG00000019186.5	2478.51	786.00	704.00	109.00	152.00
ENSG00000019485.8	1245.34	38.00	41.00	37.00	43.00
ENSG00000019505.3	5144.00	40.00	51.00	4.00	7.00
ENSG00000019549.4	2146.00	1.00	0.00	0.00	0.00
ENSG00000019582.10	1356.91	1365.00	1327.00	2553.00	3338.00
ENSG00000019995.6	5228.85	805.40	790.06	719.80	587.92
ENSG00000020129.11	2580.90	169.00	190.00	162.00	242.00
ENSG00000020181.13	6270.00	13.00	12.00	5.00	10.00
ENSG00000020256.15	2740.35	358.00	383.00	381.00	443.00
ENSG00000020426.6	926.46	486.00	506.00	418.00	379.00
ENSG00000020577.9	5225.31	1192.00	1086.00	938.00	946.00
ENSG00000020633.14	3861.00	11.00	11.00	10.00	9.00
ENSG00000020922.8	1891.51	603.00	574.00	629.00	485.00
ENSG00000021300.9	1618.98	1781.00	1816.00	1974.00	2312.00
ENSG00000021355.8	1733.05	1391.00	1282.00	1041.00	858.00
ENSG00000021461.12	776.86	18.00	21.00	46.00	36.00
ENSG00000021488.8	1646.45	34.00	30.00	21.00	21.00
ENSG00000021574.7	5116.94	874.00	808.00	412.00	357.00
ENSG00000021645.13	2424.13	0.00	2.00	0.00	0.00
ENSG00000021762.15	1571.65	0.00	0.00	0.00	0.00
ENSG00000021776.6	4416.64	1037.00	968.00	778.00	747.00
ENSG00000021826.10	3988.34	1435.00	1331.00	1120.00	974.00
ENSG00000021852.8	1933.50	247.00	248.00	469.00	467.00
ENSG00000022267.12	2313.00	5.00	1.00	1.00	2.00
ENSG00000022277.8	1524.43	1512.00	1440.74	1203.00	1212.00
ENSG00000022567.5	2852.71	0.00	0.00	0.00	0.00
ENSG00000022840.11	2276.73	1814.00	1720.00	1479.00	1504.00
ENSG00000022976.11	2394.41	235.00	214.00	185.00	191.00
ENSG00000023041.7	1930.66	662.00	571.00	561.00	528.00
ENSG00000023171.10	2668.98	3.00	5.00	2.00	4.00
ENSG00000023191.12	1638.39	377.00	381.00	329.00	494.00
ENSG00000023228.9	3717.02	3690.66	3364.40	2167.49	2145.38
ENSG00000023287.8	6416.63	2023.00	1895.00	1569.00	1288.00
ENSG00000023318.7	4854.00	1190.00	1121.00	972.00	857.00
ENSG00000023330.10	1928.05	696.00	625.00	526.00	589.00
ENSG00000023445.9	4971.97	78.00	81.00	60.00	53.00
ENSG00000023516.7	9913.00	1248.00	1165.00	1017.00	958.00
ENSG00000023572.4	701.00	86.00	73.00	56.00	51.00
ENSG00000023608.4	2656.00	185.66	175.92	181.52	139.59
ENSG00000023697.8	1586.34	506.00	466.00	331.00	309.00
ENSG00000023734.6	1847.18	1728.00	1667.00	1605.00	1487.00
ENSG00000023839.6	5245.16	6081.00	5863.00	5797.00	5884.00
ENSG00000023892.9	1995.77	135.00	122.00	84.00	104.00
ENSG00000023902.9	1857.78	169.00	142.00	131.00	176.00
ENSG00000023909.5	3272.04	387.00	384.00	331.00	292.00
ENSG00000024048.6	7795.29	1379.00	1221.00	1204.00	1141.00
ENSG00000024422.7	3152.11	33.00	29.00	18.00	10.00
ENSG00000024526.12	3339.19	681.00	610.00	510.00	388.00
ENSG00000024862.12	1496.00	182.00	167.00	166.00	132.00
ENSG00000025039.10	1962.08	26.00	21.00	20.00	13.00
ENSG00000025156.8	2619.31	492.00	442.00	478.00	431.00
ENSG00000025293.11	5468.73	1079.00	1059.00	832.00	907.00
ENSG00000025423.7	1283.13	18.00	31.00	25.00	28.00
ENSG00000025434.14	1230.64	328.00	305.00	214.00	258.00
ENSG00000025708.8	1625.44	17.00	19.00	15.00	16.00
ENSG00000025770.14	1855.23	283.00	266.00	317.00	409.00
ENSG00000025772.7	2062.00	1427.00	1264.00	898.00	937.00
ENSG00000025796.9	3694.95	2535.96	2426.89	3103.83	2668.90
ENSG00000025800.9	7378.00	1841.84	1763.00	1243.00	1223.24
ENSG00000026025.9	1412.00	0.00	0.00	1.00	0.00
ENSG00000026036.16	5657.45	158.19	159.79	156.93	204.81
ENSG00000026103.15	2283.34	200.00	203.00	239.00	243.00
ENSG00000026297.11	1033.12	2458.51	2438.00	1881.28	1769.48
ENSG00000026508.12	1127.64	4.00	2.00	0.00	0.00
ENSG00000026652.9	2833.24	30.00	22.00	10.00	10.00
ENSG00000026950.12	2700.55	470.37	436.60	365.30	422.32
ENSG00000027001.7	2400.00	285.00	298.00	181.00	205.00
ENSG00000027075.9	2932.00	15.51	15.00	12.00	13.00
ENSG00000027697.8	1971.53	2171.00	2329.00	1577.00	1343.00
ENSG00000027847.9	1836.51	150.00	187.00	74.00	110.00
ENSG00000027869.7	805.67	11.00	8.00	10.00	6.00
ENSG00000028116.12	1904.73	417.00	400.00	274.00	243.00
