symbol	length	Control_D0	Control_D1	AGO1_D0	AGO1_D1
ENSG00000013275.3	1526.23	1027.00	881.00	869.00	872.00
ENSG00000013288.4	5536.72	386.00	392.00	382.00	327.00
ENSG00000013297.6	1840.53	149.00	112.00	192.00	212.00
ENSG00000013306.11	1543.07	1372.00	1405.00	1133.00	969.00
ENSG00000013364.14	1740.67	462.86	519.93	997.00	745.00
ENSG00000013374.11	1479.80	756.00	641.00	815.00	1019.00
ENSG00000013375.11	3282.33	2068.00	1725.00	2293.00	2643.00
ENSG00000013392.6	2956.64	218.00	212.00	272.00	314.00
ENSG00000013441.11	1743.75	1008.00	919.00	1261.00	1489.00
ENSG00000013503.5	4209.50	251.00	207.00	285.00	341.00
ENSG00000013523.5	3733.72	513.00	467.00	588.00	593.00
ENSG00000013561.13	1919.27	226.00	162.00	251.00	351.00
ENSG00000013563.9	2239.78	106.00	111.00	139.00	127.00
ENSG00000013573.12	2000.42	578.44	502.60	437.61	383.39
ENSG00000013583.4	1201.72	289.00	227.00	324.00	359.00
ENSG00000013588.5	5518.34	32.00	30.00	46.00	52.00
ENSG00000013619.9	3224.00	5.00	6.00	5.00	1.00
ENSG00000013810.14	2078.92	758.93	627.19	241.85	235.93
ENSG00000014123.9	4224.00	802.00	661.00	945.00	1112.00
ENSG00000014138.4	1511.89	280.00	244.00	125.00	145.00
ENSG00000014164.6	3280.00	153.00	184.00	178.00	115.00
ENSG00000014216.11	2109.91	1007.00	1008.00	1118.00	841.00
ENSG00000014641.13	1374.90	3042.00	2425.00	2849.00	3461.00
ENSG00000014824.9	3246.76	1054.00	839.00	1027.00	1362.00
ENSG00000014914.15	1870.68	64.00	60.00	163.00	180.00
ENSG00000014919.8	2476.41	680.00	538.00	568.00	705.00
ENSG00000015133.14	5858.48	261.00	259.00	228.00	205.00
ENSG00000015153.10	1723.17	88.00	74.00	129.00	151.00
ENSG00000015171.14	3440.60	861.00	739.00	1005.00	1183.00
ENSG00000015285.6	1849.00	1.00	0.00	0.00	1.00
ENSG00000015413.5	1582.71	123.00	141.00	122.00	106.00
ENSG00000015475.14	1626.46	187.00	161.00	159.00	187.00
ENSG00000015479.13	2478.08	6953.00	5481.00	6412.00	7688.00
ENSG00000015520.10	4662.47	624.00	645.00	805.00	683.00
ENSG00000015532.5	3273.04	392.00	459.00	543.00	378.00
ENSG00000015568.8	2609.68	169.92	182.16	409.47	256.21
ENSG00000015592.12	1250.00	1.00	1.00	1.00	3.00
ENSG00000015676.13	2459.72	728.00	660.00	602.00	577.00
ENSG00000016391.6	7174.23	2577.00	2237.00	2320.00	2339.00
ENSG00000016864.12	1305.00	1351.00	1154.00	1343.00	1536.00
ENSG00000017260.15	3608.29	1311.00	1031.00	1441.00	1810.00
ENSG00000017373.11	5018.95	150.00	180.00	256.00	210.00
ENSG00000017427.11	2572.29	0.00	0.00	1.00	0.00
ENSG00000017483.10	2012.95	873.00	847.00	1027.00	816.00
ENSG00000017621.11	1367.86	5.00	9.00	7.00	6.00
ENSG00000017797.7	3966.98	936.00	751.00	846.00	997.00
ENSG00000018189.8	1881.84	300.00	220.00	351.00	443.00
ENSG00000018236.10	5557.00	0.00	0.00	2.00	1.00
ENSG00000018280.12	3088.14	10.00	13.00	24.00	13.00
ENSG00000018408.10	2726.63	1823.00	1519.00	2121.00	2464.00
ENSG00000018510.8	6995.15	2449.00	1968.00	2835.00	3496.00
ENSG00000018610.9	2088.41	202.00	170.00	211.00	246.00
ENSG00000018625.10	1881.18	4.00	5.00	6.00	12.00
ENSG00000018699.7	2876.00	704.00	595.00	667.00	813.00
ENSG00000018869.12	1633.74	10.00	9.00	14.00	23.00
ENSG00000019102.7	1163.95	20.00	20.00	32.00	28.00
ENSG00000019144.12	3367.07	363.00	355.00	506.00	431.00
ENSG00000019186.5	2424.17	261.00	224.00	974.00	1161.00
ENSG00000019485.8	1840.43	38.00	31.00	42.00	39.00
ENSG00000019505.3	5144.00	11.00	16.00	17.00	13.00
ENSG00000019549.4	2088.00	2.00	2.00	1.00	1.00
ENSG00000019582.10	1335.89	1242.00	1155.00	1513.00	1227.00
ENSG00000019995.6	5532.26	705.16	573.28	774.58	928.75
ENSG00000020129.11	2439.37	142.00	167.00	184.00	170.00
ENSG00000020181.13	6270.00	13.00	12.00	14.00	14.00
ENSG00000020256.15	2014.81	285.00	285.00	340.00	291.00
ENSG00000020426.6	993.95	445.00	312.00	454.00	568.00
ENSG00000020577.9	5335.25	877.00	804.00	1009.00	1105.00
ENSG00000020633.14	3861.00	15.00	10.00	48.00	50.00
ENSG00000020922.8	2281.21	591.00	454.00	429.00	483.00
ENSG00000021300.9	1792.59	1458.00	1250.00	2144.00	2176.00
ENSG00000021355.8	1600.64	1349.00	1164.00	1634.00	1900.00
ENSG00000021461.12	912.65	40.00	22.00	12.00	19.00
ENSG00000021488.8	1557.02	51.00	45.00	40.00	40.00
ENSG00000021574.7	5116.95	643.00	532.00	803.00	965.00
ENSG00000021645.13	4219.00	0.00	0.00	4.00	1.00
ENSG00000021762.15	795.00	0.00	0.00	0.00	1.00
ENSG00000021776.6	4352.80	786.00	686.00	752.00	802.00
ENSG00000021826.10	3356.67	1183.00	991.00	1023.00	1153.00
ENSG00000021852.8	1910.96	336.00	292.00	444.00	515.00
ENSG00000022267.12	1211.93	1.00	2.00	4.00	3.00
ENSG00000022277.8	1523.75	1409.00	1146.00	1280.49	1321.86
ENSG00000022567.5	3367.00	0.00	0.00	0.00	1.00
ENSG00000022840.11	2148.00	1612.00	1252.00	1760.00	1933.00
ENSG00000022976.11	2025.63	190.00	143.00	261.00	242.00
ENSG00000023041.7	1812.14	501.00	357.00	514.00	618.00
ENSG00000023171.10	2516.58	7.00	1.00	13.00	17.00
ENSG00000023191.12	1586.33	377.00	503.00	382.00	307.00
ENSG00000023228.9	3148.73	3511.25	2902.00	3323.00	3970.00
ENSG00000023287.8	6006.20	1658.70	1375.00	2085.00	2804.00
ENSG00000023318.7	4854.00	1055.00	927.00	965.00	1172.00
ENSG00000023330.10	2190.20	558.00	449.00	650.00	714.00
ENSG00000023445.9	4990.83	78.00	54.00	70.00	84.00
ENSG00000023516.7	9913.00	1003.00	877.00	1186.00	1470.00
ENSG00000023572.4	701.00	80.00	49.00	77.00	126.00
ENSG00000023608.4	2656.00	126.77	120.22	179.60	249.11
ENSG00000023697.8	1444.56	457.00	365.00	484.00	562.00
ENSG00000023734.6	1831.27	1227.06	1013.00	1354.00	1628.00
ENSG00000023839.6	5208.98	6373.00	5731.95	6998.00	7915.00
ENSG00000023892.9	2028.10	122.00	106.00	105.00	92.00
ENSG00000023902.9	1584.74	125.00	138.00	166.00	163.00
ENSG00000023909.5	2747.53	288.00	213.00	425.00	519.00
ENSG00000024048.6	7828.10	1232.00	993.00	1301.00	1671.00
ENSG00000024422.7	3585.00	27.00	28.00	71.00	59.00
ENSG00000024526.12	4937.74	380.00	292.00	121.00	183.00
ENSG00000024862.12	1496.00	182.00	143.00	175.00	203.00
ENSG00000025039.10	2152.86	24.00	18.00	25.00	48.00
ENSG00000025156.8	2626.37	382.00	272.00	251.00	314.00
ENSG00000025293.11	4054.57	885.00	722.00	1112.00	1220.00
ENSG00000025423.7	1374.65	33.00	44.00	30.00	22.00
ENSG00000025434.14	1300.70	241.00	255.00	326.00	312.00
ENSG00000025708.8	1689.49	17.60	24.00	33.00	26.00
ENSG00000025770.14	1697.29	326.00	327.00	243.00	191.00
ENSG00000025772.7	2062.00	836.00	794.00	786.00	777.00
ENSG00000025796.9	4009.52	2363.94	1818.95	2026.94	2479.93
ENSG00000025800.9	7051.11	1460.01	1147.00	1379.00	1547.00
ENSG00000026025.9	1412.00	1.00	1.00	5.00	0.00
ENSG00000026036.16	5663.73	182.70	279.94	246.44	149.13
ENSG00000026103.15	1901.15	153.00	132.00	152.00	198.00
ENSG00000026297.11	1210.13	2822.99	2938.97	3959.11	4408.12
ENSG00000026508.12	2305.36	7.00	9.00	12.00	21.00
ENSG00000026652.9	4241.10	10.00	13.00	29.00	32.00
ENSG00000026950.12	2559.27	470.48	393.80	531.57	530.11
ENSG00000027001.7	2358.85	244.00	188.00	181.00	298.00
ENSG00000027075.9	1196.29	8.00	9.00	16.00	10.00
ENSG00000027697.8	1987.61	1462.00	1222.00	1708.00	2164.00
ENSG00000027847.9	1651.32	168.00	175.00	175.00	151.00
ENSG00000027869.7	1599.00	8.00	10.00	10.00	4.00
ENSG00000028116.12	1900.13	337.00	297.00	383.00	495.00
