symbol	length	Control_D0	Control_D1	ABCF1_D0	ABCF1_D1
ENSG00000006025.7	2729.77	137.00	270.00	431.00	1237.00
ENSG00000006042.7	1422.53	921.00	1513.00	1142.00	3661.00
ENSG00000006047.8	1585.85	7.00	12.00	21.00	38.00
ENSG00000006062.9	4079.59	63.00	109.00	106.00	362.00
ENSG00000006071.7	1381.05	0.00	0.00	0.00	0.00
ENSG00000006114.11	3868.76	501.00	754.00	887.00	2463.00
ENSG00000006118.10	1958.43	464.00	893.00	699.00	2647.00
ENSG00000006125.12	5590.31	2313.00	4166.98	3509.00	10439.98
ENSG00000006194.6	2179.64	381.00	605.00	679.00	1925.00
ENSG00000006210.6	3316.39	1684.00	2951.00	4086.00	12061.00
ENSG00000006282.15	1918.01	781.00	1349.00	1598.00	4736.00
ENSG00000006283.13	3857.84	0.00	1.00	3.00	3.00
ENSG00000006327.9	1035.17	281.00	584.00	451.00	1511.00
ENSG00000006377.9	1884.27	130.00	180.00	230.00	615.00
ENSG00000006432.11	7688.27	360.00	678.00	482.00	1333.00
ENSG00000006451.3	2108.46	449.00	649.00	698.00	1996.00
ENSG00000006453.9	2808.37	477.00	766.00	712.00	1959.00
ENSG00000006459.6	4447.40	1222.00	2135.00	658.00	2101.00
ENSG00000006468.9	1116.55	7.00	13.00	3.00	29.00
ENSG00000006530.11	2484.53	394.00	635.00	666.00	1851.00
ENSG00000006534.11	3007.48	86.00	144.00	111.00	372.00
ENSG00000006576.12	4643.81	258.00	358.00	349.00	936.00
ENSG00000006606.4	614.50	0.00	1.00	1.00	0.00
ENSG00000006607.9	3095.41	631.00	1070.00	1029.00	3004.00
ENSG00000006611.11	2159.00	0.00	2.00	1.00	1.00
ENSG00000006625.13	1117.67	335.98	422.00	365.86	1045.23
ENSG00000006634.3	2059.34	425.93	547.96	638.91	1611.54
ENSG00000006638.7	1814.00	2.00	6.00	0.00	2.00
ENSG00000006652.9	1974.13	491.00	631.00	646.00	1689.00
ENSG00000006659.8	774.00	0.00	0.00	3.00	3.00
ENSG00000006695.6	2546.52	260.00	436.00	394.00	1155.00
ENSG00000006704.6	2726.87	388.00	710.00	644.00	1978.00
ENSG00000006712.10	1974.24	998.00	1483.00	1509.00	4324.00
ENSG00000006715.11	2275.34	423.00	694.00	784.00	2373.00
ENSG00000006740.12	3128.30	71.00	109.00	119.00	304.00
ENSG00000006744.14	1956.69	537.00	838.00	1206.00	3697.00
ENSG00000006747.10	2518.00	0.00	1.00	0.00	1.00
ENSG00000006756.11	4596.71	152.00	255.00	243.00	774.00
ENSG00000006757.7	1127.51	147.00	283.00	364.00	1058.00
ENSG00000006831.9	3931.25	1562.00	2854.00	1485.00	4500.00
ENSG00000006837.7	832.53	27.80	32.14	28.88	80.27
ENSG00000007001.8	1572.23	1.00	2.00	15.00	37.00
ENSG00000007047.10	3166.75	612.00	1198.00	811.00	2489.00
ENSG00000007062.7	2509.42	299.00	456.00	250.00	872.00
ENSG00000007080.6	922.02	283.00	467.00	502.00	1605.00
ENSG00000007168.8	3175.39	954.00	1610.00	1207.00	3301.00
ENSG00000007171.12	4176.00	0.00	0.00	1.00	2.00
ENSG00000007202.10	6303.41	2283.00	3851.00	3668.00	10586.00
ENSG00000007216.10	2318.91	0.00	0.00	39.00	78.00
ENSG00000007237.14	5522.09	59.00	97.00	82.00	227.00
ENSG00000007255.6	718.76	48.00	120.00	87.00	317.00
ENSG00000007264.9	1042.07	0.00	0.00	0.00	0.00
ENSG00000007312.8	513.98	1.00	1.00	0.00	2.00
ENSG00000007314.7	7805.00	4.00	8.00	5.00	15.00
ENSG00000007341.14	1387.37	141.00	247.00	252.00	725.00
ENSG00000007350.12	2518.72	0.00	0.00	0.00	2.00
ENSG00000007372.16	1143.40	24.00	15.00	14.00	40.00
ENSG00000007376.3	1751.02	140.00	268.00	266.00	964.00
ENSG00000007384.11	1241.75	168.00	357.00	326.00	957.00
ENSG00000007392.12	1740.74	688.00	1196.00	1079.00	3033.00
ENSG00000007402.7	4457.20	0.00	1.00	2.00	0.00
ENSG00000007516.9	2292.40	96.00	182.00	130.00	457.00
ENSG00000007520.3	1200.59	202.00	382.00	472.00	1236.00
ENSG00000007541.10	2122.22	192.00	353.00	493.00	1604.00
ENSG00000007545.11	5149.24	444.84	746.22	782.45	2353.52
ENSG00000007866.14	2566.12	826.00	1453.00	1475.00	4130.00
ENSG00000007908.11	3389.00	0.00	0.00	0.00	3.00
ENSG00000007923.11	2374.68	1025.00	1724.00	1866.00	5408.00
ENSG00000007944.10	2235.68	72.00	104.00	77.00	266.00
ENSG00000007952.13	1440.60	1.00	0.00	0.00	0.00
ENSG00000007968.6	4850.46	136.00	217.00	193.00	586.00
ENSG00000008018.8	952.88	1665.00	2475.00	2161.00	6557.00
ENSG00000008056.8	3165.00	1.00	2.00	3.00	5.00
ENSG00000008083.9	5697.87	649.00	1071.00	1004.00	2790.00
ENSG00000008086.6	2807.89	95.00	149.00	272.00	732.00
ENSG00000008128.18	1592.74	601.78	987.79	1165.98	3383.20
ENSG00000008130.11	2196.21	687.00	1182.00	1546.00	4884.00
ENSG00000008226.15	5491.09	3.00	0.00	1.00	1.00
ENSG00000008256.11	3134.97	148.00	196.00	234.00	636.00
ENSG00000008277.10	6252.84	189.00	264.00	571.00	1492.00
ENSG00000008282.3	2097.13	693.00	1049.00	1108.00	3086.00
ENSG00000008283.11	3001.50	44.00	58.00	116.00	300.00
ENSG00000008294.16	3254.13	1997.00	3591.00	2722.00	7830.00
ENSG00000008300.10	7019.13	609.00	1152.00	846.00	2676.00
ENSG00000008311.10	2901.44	392.00	588.00	747.00	2001.00
ENSG00000008323.11	2343.83	202.00	398.00	596.00	1834.00
ENSG00000008324.6	821.08	69.00	124.00	92.00	291.00
ENSG00000008382.11	1327.22	99.00	188.00	210.00	699.00
ENSG00000008394.8	629.37	1341.00	2304.00	1462.00	3918.00
ENSG00000008405.7	2930.95	246.00	394.00	330.00	919.00
ENSG00000008441.12	3842.51	515.00	857.00	744.00	2109.00
ENSG00000008513.10	3063.29	818.00	1483.00	1445.00	4283.00
ENSG00000008516.12	3554.00	1.00	1.00	0.00	5.00
ENSG00000008517.12	928.62	1479.00	3027.00	3636.00	10793.00
ENSG00000008710.13	2252.16	656.16	1164.71	1241.35	3886.57
ENSG00000008735.10	2649.20	63.00	112.00	175.00	469.00
ENSG00000008838.13	1869.86	1180.00	2157.00	2230.00	6774.00
ENSG00000008853.12	4082.75	230.00	393.00	564.00	1701.00
ENSG00000008869.7	6648.87	456.00	666.00	849.00	2325.00
ENSG00000008952.12	2214.36	1831.00	2839.00	2081.00	5993.00
ENSG00000008988.5	630.97	3988.00	6501.00	6918.00	20189.00
ENSG00000009307.11	3212.11	6999.00	11122.00	8933.00	25519.00
ENSG00000009335.13	4536.40	797.00	1129.00	1073.00	3206.00
ENSG00000009413.11	7664.54	913.00	1334.00	2135.00	5413.00
ENSG00000009694.9	12875.00	1.00	3.00	5.00	8.00
ENSG00000009724.12	1260.13	193.00	358.00	472.00	1555.00
ENSG00000009765.10	2493.56	0.00	2.00	6.00	22.00
ENSG00000009780.11	1994.31	82.00	137.00	157.00	506.00
ENSG00000009790.10	1355.50	0.00	1.00	0.00	0.00
ENSG00000009830.7	2189.03	273.00	500.00	444.00	1376.00
ENSG00000009844.11	1746.25	1100.00	1781.00	1897.00	5554.00
ENSG00000009950.11	1647.80	2829.00	4672.00	9297.00	24441.00
ENSG00000009954.6	5847.13	2212.00	3368.00	3315.00	9500.00
ENSG00000010017.9	2116.89	1037.00	1656.00	1759.00	4736.00
ENSG00000010030.9	1425.53	0.00	0.00	2.00	6.00
ENSG00000010072.11	2243.84	110.00	139.00	222.00	630.00
ENSG00000010165.15	2098.19	276.00	423.00	466.00	1524.00
ENSG00000010219.9	691.65	122.00	219.94	263.00	758.00
ENSG00000010244.12	2387.40	2457.00	4015.00	3960.00	10686.00
ENSG00000010256.6	1432.06	1541.00	3114.00	2454.00	8056.00
ENSG00000010270.9	1435.60	313.00	574.00	511.00	1371.00
ENSG00000010278.7	1111.78	143.00	216.00	115.00	343.00
ENSG00000010282.10	996.00	2.00	0.00	1.00	1.00
ENSG00000010292.8	4291.84	2568.00	4328.00	3516.00	10884.00
ENSG00000010295.15	2560.79	260.00	411.00	563.00	1719.00
ENSG00000010310.4	1956.41	20.00	60.00	6.00	31.00
ENSG00000010318.15	1271.03	63.00	140.00	114.00	334.00
ENSG00000010319.2	4251.24	362.00	836.00	236.00	900.00
ENSG00000010322.11	3152.57	817.00	1668.00	1835.00	5363.00
ENSG00000010327.6	1959.77	1.00	6.00	4.00	5.00
ENSG00000010361.9	634.99	0.00	0.00	1.00	4.00
ENSG00000010379.11	1412.10	2.00	1.00	10.00	32.00
ENSG00000010404.13	5097.51	564.13	963.80	674.65	2151.31
ENSG00000010539.7	2443.38	124.00	181.00	215.00	611.00
ENSG00000010610.5	2531.08	22.00	41.00	8.00	34.00
ENSG00000010626.10	1290.99	56.42	83.90	75.20	216.10
ENSG00000010704.14	2090.21	76.00	140.00	89.00	277.00
ENSG00000010803.12	2241.89	1054.00	1654.00	1859.00	5231.00
ENSG00000010810.13	1361.59	374.00	576.00	376.00	937.00
ENSG00000010818.4	9570.60	807.00	1490.00	797.00	2447.00
ENSG00000011007.8	3959.64	747.00	1109.00	1220.00	3361.00
ENSG00000011009.6	1593.82	787.00	1449.00	1651.00	5371.00
ENSG00000011021.17	5046.68	1228.70	2383.79	1812.72	5131.62
ENSG00000011028.9	2262.00	2.00	0.00	0.00	0.00
ENSG00000011052.17	989.93	49.45	191.08	163.93	525.68
ENSG00000011105.7	3968.03	542.00	1205.00	615.00	2114.00
ENSG00000011114.10	5174.79	512.00	758.00	823.00	2268.00
ENSG00000011132.7	1361.39	122.00	241.00	274.00	741.00
ENSG00000011143.12	1520.12	226.00	353.00	408.00	1268.00
ENSG00000011198.3	1609.83	45.00	86.00	74.00	254.00
ENSG00000011201.6	6314.00	2.00	5.00	0.00	13.00
ENSG00000011243.13	1660.14	987.00	1568.00	1843.00	5370.00
ENSG00000011258.11	5074.83	773.00	1250.00	1365.00	3785.00
ENSG00000011260.9	1775.42	399.00	605.00	548.00	1851.00
ENSG00000011275.14	4697.49	757.00	1213.00	1249.00	3908.00
ENSG00000011295.11	2622.15	305.46	508.00	593.00	1669.00
ENSG00000011304.12	1621.22	3676.00	6667.00	5200.00	15681.00
ENSG00000011332.15	1710.76	34.00	51.00	65.00	185.00
ENSG00000011347.5	4187.20	215.00	408.00	418.00	1334.00
ENSG00000011376.5	4236.59	556.00	932.00	1139.00	3434.00
ENSG00000011405.9	6389.34	1962.00	3048.00	2959.00	7473.00
ENSG00000011422.7	1102.22	32.00	78.00	77.00	124.00
ENSG00000011426.6	2869.66	1969.00	2947.00	2115.00	5913.00
ENSG00000011451.13	4120.30	518.00	1017.00	1250.00	3748.00
ENSG00000011454.12	4067.66	740.00	1192.00	1635.00	4197.00
ENSG00000011478.7	2186.45	313.00	593.00	227.00	724.00
ENSG00000011485.10	1709.28	726.00	1243.00	1078.00	3258.00
ENSG00000011523.9	3650.75	280.00	468.00	517.00	1450.00
ENSG00000011566.10	3550.12	1904.00	3060.00	1941.00	5317.00
ENSG00000011600.7	522.00	0.00	0.00	3.00	1.00
ENSG00000011638.6	1310.73	67.00	94.00	65.00	211.00
ENSG00000011677.8	3712.00	0.00	1.00	2.00	4.00
ENSG00000012048.15	3650.23	652.00	885.00	1059.00	2895.00
ENSG00000012061.11	1263.77	317.00	607.00	622.00	1899.00
ENSG00000012124.10	2120.44	10.00	34.00	70.00	178.00
ENSG00000012171.13	2469.24	1485.00	2983.00	2181.00	6349.00
ENSG00000012174.7	4185.24	478.91	735.84	530.00	1536.12
ENSG00000012211.8	2147.18	85.00	102.00	99.00	359.00
ENSG00000012232.4	6508.70	437.00	731.00	809.00	2582.00
ENSG00000012504.9	2066.77	530.00	689.00	1867.00	5108.00
ENSG00000012660.9	2675.57	1868.00	2656.00	1943.00	5562.00
ENSG00000012779.6	2178.00	2.00	1.00	2.00	2.00
ENSG00000012817.11	3669.76	765.00	1415.00	2101.00	6174.00
ENSG00000012822.11	2225.59	747.00	1374.00	1619.00	5146.00
ENSG00000012963.9	3605.71	344.00	613.00	773.00	2167.61
ENSG00000012983.7	3460.24	697.00	1097.00	1077.00	3037.00
ENSG00000013016.10	4375.28	23.00	36.00	21.00	83.00
ENSG00000013275.3	1497.46	820.00	1356.00	1567.00	4753.00
ENSG00000013288.4	5361.68	447.00	761.00	868.00	2465.00
ENSG00000013297.6	1877.47	86.00	142.00	79.00	189.00
ENSG00000013306.11	1453.03	1684.00	3116.00	3941.00	11886.00
ENSG00000013364.14	1694.82	426.92	735.92	511.99	1557.94
ENSG00000013374.11	1524.20	681.00	1085.00	1324.00	3810.00
ENSG00000013375.11	3557.91	1363.00	2359.00	1395.00	4174.00
ENSG00000013392.6	3045.73	194.00	350.00	340.00	1044.00
ENSG00000013441.11	2112.55	908.00	1531.00	1592.00	4386.00
ENSG00000013503.5	4233.48	241.00	309.00	430.00	1099.00
ENSG00000013523.5	3396.97	444.00	770.00	973.00	3047.00
ENSG00000013561.13	1859.99	156.00	246.00	348.00	953.00
ENSG00000013563.9	2059.27	89.00	160.00	213.00	670.00
ENSG00000013573.12	2298.57	377.81	755.38	894.91	2657.15
ENSG00000013583.4	1203.76	229.00	368.00	400.00	1148.00
ENSG00000013588.5	3775.99	46.00	94.00	25.00	74.00
ENSG00000013619.9	3606.20	4.00	11.00	20.00	44.00
ENSG00000013810.14	2540.69	1003.93	1629.53	1222.28	3869.88
ENSG00000014123.9	4186.47	671.00	965.00	1036.00	2927.00
ENSG00000014138.4	1316.47	183.00	317.00	382.00	1194.00
ENSG00000014164.6	3226.55	283.00	573.00	571.00	1719.00
ENSG00000014216.11	1813.47	1153.00	1983.00	2211.00	6812.00
ENSG00000014641.13	1282.13	1233.00	2184.00	1983.00	5948.00
ENSG00000014824.9	2686.16	879.00	1400.00	1627.00	4417.00
ENSG00000014914.15	1811.02	45.00	89.00	42.00	153.00
ENSG00000014919.8	2568.18	416.00	629.00	643.00	1958.00
ENSG00000015133.14	5817.67	391.00	642.00	634.00	1773.00
ENSG00000015153.10	1474.82	112.00	168.00	174.00	435.00
ENSG00000015171.14	2687.38	881.00	1292.00	1614.00	4512.00
ENSG00000015285.6	1312.28	3.00	4.00	0.00	7.00
ENSG00000015413.5	1178.84	151.00	250.00	129.00	312.00
ENSG00000015475.14	1347.46	139.00	307.00	321.00	857.00
ENSG00000015479.13	1985.40	4895.00	7288.00	6663.00	19578.00
ENSG00000015520.10	4625.60	676.00	1315.00	952.00	2617.00
ENSG00000015532.5	3327.44	500.00	989.00	500.00	1528.00
ENSG00000015568.8	3841.90	232.77	361.96	456.72	2056.97
ENSG00000015592.12	1004.00	3.00	2.00	0.00	2.00
ENSG00000015676.13	2402.98	522.00	992.00	1021.00	3216.00
ENSG00000016391.6	6321.71	1586.00	2895.00	4224.00	12651.00
ENSG00000016864.12	1233.94	682.00	1334.00	1763.00	5155.00
ENSG00000017260.15	3136.75	821.00	1309.00	1048.00	3149.00
ENSG00000017373.11	2973.80	206.00	506.00	316.00	853.00
ENSG00000017427.11	1097.00	0.00	0.00	0.00	2.00
ENSG00000017483.10	1587.23	643.00	981.00	525.00	1712.00
ENSG00000017621.11	1515.17	7.00	16.00	14.00	51.00
ENSG00000017797.7	3956.82	975.00	1383.00	1294.00	3871.00
ENSG00000018189.8	2039.09	199.00	331.00	345.00	949.00
ENSG00000018236.10	2277.30	0.00	0.00	6.00	19.00
ENSG00000018280.12	3758.25	11.00	13.00	8.00	24.00
ENSG00000018408.10	2015.44	1690.00	2852.00	1587.00	4285.00
ENSG00000018510.8	7005.53	1615.00	2568.00	1752.00	4849.00
ENSG00000018610.9	1636.37	127.00	234.00	255.00	723.00
ENSG00000018625.10	4413.00	3.00	11.00	2.00	3.00
ENSG00000018699.7	2159.13	449.00	684.00	606.00	1773.00
ENSG00000018869.12	1792.09	5.00	8.00	23.00	64.00
ENSG00000019102.7	1158.54	13.00	47.00	32.00	69.00
ENSG00000019144.12	3710.77	447.00	769.00	596.00	1672.00
ENSG00000019186.5	2585.54	109.00	240.00	115.00	277.00
ENSG00000019485.8	2022.15	20.00	45.00	68.00	241.00
ENSG00000019505.3	2383.95	23.00	32.00	17.00	29.00
ENSG00000019549.4	2088.00	3.00	3.00	42.00	80.00
ENSG00000019582.10	1336.26	1385.00	2227.00	2247.00	6139.00
ENSG00000019995.6	5477.44	655.84	960.08	962.37	2956.46
ENSG00000020129.11	3063.31	183.00	330.00	364.00	1181.00
ENSG00000020181.13	6270.00	12.00	20.00	16.00	26.00
ENSG00000020256.15	2239.60	453.00	763.00	710.00	1981.00
ENSG00000020426.6	903.88	340.00	546.00	476.00	1373.00
ENSG00000020577.9	4539.16	591.00	1205.00	877.00	2569.00
ENSG00000020633.14	1290.75	10.00	20.00	3.00	11.00
ENSG00000020922.8	2425.79	354.00	534.00	490.00	1592.00
ENSG00000021300.9	1718.48	1281.00	2117.00	780.00	2451.00
ENSG00000021355.8	1640.75	810.00	1247.00	1209.00	3592.00
ENSG00000021461.12	788.85	18.00	23.00	133.00	343.00
ENSG00000021488.8	1458.09	34.00	62.00	48.00	165.00
ENSG00000021574.7	5116.85	508.00	759.00	872.00	2519.00
ENSG00000021645.13	4172.50	2.00	3.00	3.00	11.00
ENSG00000021762.15	2653.00	0.00	0.00	0.00	1.00
ENSG00000021776.6	3426.36	737.00	1057.00	1300.00	3651.00
ENSG00000021826.10	3143.01	833.00	1347.00	2022.00	5641.00
ENSG00000021852.8	1887.51	112.00	218.00	369.00	1115.00
ENSG00000022267.12	1561.89	0.00	5.00	0.00	0.00
ENSG00000022277.8	1569.63	946.00	1518.00	1996.00	5506.63
ENSG00000022567.5	2158.45	2.00	2.00	0.00	3.00
ENSG00000022840.11	2538.03	1266.00	2153.00	1883.00	5838.00
ENSG00000022976.11	2556.21	163.00	252.00	211.00	631.00
ENSG00000023041.7	1858.85	404.00	630.00	746.00	2018.00
ENSG00000023171.10	7723.00	2.00	2.00	0.00	4.00
ENSG00000023191.12	1811.91	537.00	1073.00	663.00	2116.00
ENSG00000023228.9	3261.25	2195.91	3523.24	2929.49	8695.22
ENSG00000023287.8	5898.82	1336.00	2050.00	1635.00	4516.00
ENSG00000023318.7	4854.00	946.00	1526.00	1225.00	3619.00
ENSG00000023330.10	1937.55	471.00	919.00	868.00	2686.00
ENSG00000023445.9	4959.48	47.00	77.00	104.00	325.00
ENSG00000023516.7	9913.00	785.00	1230.00	1310.00	3704.00
ENSG00000023572.4	701.41	51.00	77.00	56.00	222.00
ENSG00000023608.4	2656.00	125.00	188.41	112.30	394.32
ENSG00000023697.8	1393.71	304.00	508.00	434.00	1175.00
ENSG00000023734.6	1782.29	1451.00	1982.00	1873.00	5278.00
ENSG00000023839.6	5265.07	3718.00	6861.00	5643.00	16584.00
ENSG00000023892.9	1872.21	114.00	212.00	251.00	696.00
ENSG00000023902.9	1867.10	123.00	208.00	190.00	527.00
ENSG00000023909.5	3333.60	222.00	340.00	414.00	1055.00
ENSG00000024048.6	7811.14	839.00	1402.00	1611.00	4692.00
ENSG00000024422.7	3585.00	19.00	90.00	8.00	28.00
ENSG00000024526.12	3465.04	461.00	675.00	406.00	1185.00
ENSG00000024862.12	1496.00	120.00	201.00	259.00	781.00
ENSG00000025039.10	2214.65	11.00	19.00	23.00	71.00
ENSG00000025156.8	2620.27	279.00	449.00	457.00	1302.00
ENSG00000025293.11	5624.52	639.00	951.00	908.00	2848.00
ENSG00000025423.7	1194.24	17.00	39.00	205.00	550.00
ENSG00000025434.14	1224.32	292.00	492.00	464.00	1375.00
ENSG00000025708.8	1711.69	23.29	41.00	35.00	127.55
ENSG00000025770.14	1810.14	220.00	464.00	457.00	1550.00
ENSG00000025772.7	2062.00	956.00	1561.00	1865.00	5054.00
ENSG00000025796.9	3750.22	2373.96	3468.95	3579.66	9888.77
ENSG00000025800.9	7370.33	1117.00	1910.00	1914.00	5375.00
ENSG00000026025.9	1412.00	0.00	0.00	0.00	0.00
ENSG00000026036.16	5386.52	184.16	395.48	701.72	2408.98
ENSG00000026103.15	2327.57	106.00	175.00	398.00	1063.00
ENSG00000026297.11	1254.38	1766.61	3890.65	1251.93	4338.69
ENSG00000026508.12	1187.25	5.00	6.00	4.00	9.00
ENSG00000026652.9	4314.97	10.00	26.00	41.00	109.00
ENSG00000026950.12	2776.13	296.13	488.54	629.58	1785.35
