symbol	length	Control_D0	Control_D1	AKAP8L_D0	AKAP8L_D1
ENSG00000003393.10	5005.74	1092.00	1045.00	1514.00	1328.00
ENSG00000003400.10	3842.66	679.00	682.00	773.00	711.00
ENSG00000003402.15	2919.46	1783.13	1609.00	2042.00	1815.00
ENSG00000003436.10	1457.69	9643.00	10097.00	13663.00	12873.00
ENSG00000003509.11	1777.00	492.00	450.00	657.00	583.00
ENSG00000003756.12	1779.67	2735.58	2594.00	3122.00	3033.57
ENSG00000003987.9	2337.99	4.00	3.00	13.00	5.00
ENSG00000003989.12	7396.19	6679.00	6772.00	8007.00	7643.00
ENSG00000004059.6	976.48	731.00	800.77	1027.00	1047.00
ENSG00000004139.9	4462.37	16.30	14.00	13.25	13.40
ENSG00000004142.7	2162.95	1646.00	1708.00	1779.00	1785.00
ENSG00000004399.8	2516.55	2590.00	2665.00	3874.00	3879.00
ENSG00000004455.12	1197.96	2808.00	2883.59	2005.05	2039.30
ENSG00000004468.8	5668.00	1.00	0.00	0.00	1.00
ENSG00000004478.5	2142.92	1595.00	1627.00	1798.00	1555.00
ENSG00000004487.11	2982.43	2814.00	2797.00	3242.00	3002.00
ENSG00000004534.10	2519.76	3793.42	3440.00	3948.00	3716.43
ENSG00000004660.10	3610.87	54.00	55.00	76.00	75.00
ENSG00000004700.11	2677.52	698.00	675.00	722.00	649.00
ENSG00000004766.11	2718.45	349.00	347.00	513.00	385.00
ENSG00000004776.7	1457.00	4.00	6.00	6.00	2.00
ENSG00000004777.14	2172.52	307.00	299.00	217.00	210.00
ENSG00000004779.5	714.15	1645.00	1643.00	1786.00	1586.00
ENSG00000004799.7	3576.00	5.00	7.00	39.00	39.00
ENSG00000004809.9	1021.00	1.00	1.00	1.00	2.00
ENSG00000004838.9	1771.03	11.00	12.00	22.00	19.00
ENSG00000004864.9	2974.45	1443.00	1434.00	2104.00	1989.00
ENSG00000004866.14	2080.49	315.67	370.52	479.46	421.00
ENSG00000004897.7	2995.12	2557.94	2464.00	2757.00	2469.00
ENSG00000004939.9	1941.50	0.00	2.00	0.00	0.00
ENSG00000004961.10	1324.74	293.00	297.00	473.00	482.00
ENSG00000004975.7	2287.54	819.00	850.00	1032.00	1025.00
ENSG00000005001.5	854.74	2.00	2.00	9.00	8.00
ENSG00000005007.8	5117.31	2303.00	2370.00	2494.00	2347.00
ENSG00000005020.8	2742.95	446.00	492.00	880.00	727.00
ENSG00000005022.5	1268.93	3874.00	4007.00	4299.00	4196.00
ENSG00000005059.11	786.65	15.00	14.00	19.00	12.00
ENSG00000005073.5	2295.00	0.00	0.00	4.00	2.00
ENSG00000005075.11	744.80	469.04	515.08	452.15	501.28
ENSG00000005100.8	4737.87	1203.00	1140.00	966.00	995.00
ENSG00000005108.11	10663.00	3.00	3.00	23.00	25.00
ENSG00000005156.7	3076.00	689.00	738.00	616.00	604.00
ENSG00000005175.5	1937.91	417.00	445.00	667.00	554.00
ENSG00000005187.7	1035.24	724.00	628.00	1316.00	1303.00
ENSG00000005189.15	2253.88	292.00	265.00	315.00	349.00
ENSG00000005194.10	1679.09	864.00	950.00	755.00	693.00
ENSG00000005206.12	1857.79	638.00	687.00	921.00	898.00
ENSG00000005238.15	2562.24	177.00	181.00	343.00	288.00
ENSG00000005243.5	787.00	4.00	9.00	4.00	5.00
ENSG00000005249.8	3745.00	2.00	2.00	3.00	2.00
ENSG00000005302.13	1729.54	189.00	188.00	261.00	215.00
ENSG00000005339.8	8015.81	1748.00	1742.00	2264.00	2160.00
ENSG00000005379.11	2664.50	2.00	2.00	4.00	0.00
ENSG00000005381.6	3215.00	0.00	0.00	2.00	1.00
ENSG00000005421.4	1146.39	5.00	7.16	43.69	16.44
ENSG00000005436.9	1923.02	532.00	571.00	837.00	739.00
ENSG00000005448.12	1078.71	195.00	230.00	143.00	185.00
ENSG00000005469.7	2141.37	222.00	202.00	445.00	358.00
ENSG00000005471.11	3248.65	625.29	648.30	790.23	739.41
ENSG00000005483.15	5176.57	1637.00	1649.00	2458.00	2340.00
ENSG00000005486.12	1585.11	507.00	548.00	1272.00	1200.00
ENSG00000005513.9	3804.37	16.00	19.00	9.00	12.00
ENSG00000005700.10	5887.53	2424.00	2236.00	3237.00	2694.00
ENSG00000005801.12	1589.69	390.00	410.00	771.00	637.00
ENSG00000005810.13	4974.41	1345.00	1308.00	1712.00	1613.00
ENSG00000005812.6	3201.51	468.00	425.00	628.00	569.00
ENSG00000005844.13	2157.97	84.00	128.00	70.00	78.00
ENSG00000005882.7	1619.15	428.00	431.00	593.00	613.00
ENSG00000005884.13	1858.68	76.00	54.00	114.00	104.00
ENSG00000005889.11	4717.37	914.00	940.00	1101.00	1046.00
ENSG00000005893.11	2504.50	3641.00	3451.00	4592.00	4178.00
ENSG00000005955.8	2157.59	1242.00	1184.00	1573.00	1519.00
ENSG00000005961.13	1829.45	34.00	37.00	45.00	50.00
ENSG00000005981.8	2294.84	63.00	56.00	103.00	86.00
ENSG00000006007.7	2732.93	1532.00	1522.00	2747.00	2516.00
ENSG00000006015.13	1070.22	92.00	104.00	144.00	161.00
ENSG00000006016.6	1139.32	4454.00	4701.00	5134.00	5166.00
ENSG00000006025.7	2629.56	235.00	245.00	274.00	276.00
ENSG00000006042.7	1310.94	1500.00	1477.00	1671.00	1627.00
ENSG00000006047.8	2104.39	11.00	12.00	11.00	12.00
ENSG00000006062.9	3984.74	106.00	97.00	245.00	216.00
ENSG00000006071.7	1381.05	0.00	0.00	0.00	0.00
ENSG00000006114.11	4596.51	775.00	755.00	971.00	860.00
ENSG00000006118.10	2288.32	927.00	1004.00	1386.00	1422.00
ENSG00000006125.12	4810.75	3930.99	3815.00	4998.99	4614.99
ENSG00000006194.6	2202.41	646.00	601.00	702.00	628.00
ENSG00000006210.6	3313.85	2493.00	2504.00	5109.00	5004.00
ENSG00000006282.15	2494.06	1266.00	1262.00	2743.00	2609.00
ENSG00000006283.13	1478.00	0.00	1.00	6.00	1.00
ENSG00000006327.9	1022.06	756.00	736.00	2325.00	2189.00
ENSG00000006377.9	1887.66	139.00	140.00	204.00	185.00
ENSG00000006432.11	9001.37	585.00	603.00	944.00	884.00
ENSG00000006451.3	1808.12	733.00	666.00	491.00	405.00
ENSG00000006453.9	3258.81	695.00	647.00	1611.00	1408.00
ENSG00000006459.6	8593.34	2273.00	2165.00	2073.00	1830.00
ENSG00000006468.9	3757.18	9.00	11.00	27.00	9.00
ENSG00000006530.11	2218.84	517.00	531.00	482.00	454.00
ENSG00000006534.11	2754.54	102.00	136.00	148.00	125.00
ENSG00000006576.12	4178.07	302.00	273.00	594.00	492.00
ENSG00000006606.4	526.00	1.00	1.00	1.00	3.00
ENSG00000006607.9	3308.57	1009.00	929.00	1259.00	1164.00
ENSG00000006611.11	942.00	0.00	2.00	1.00	1.00
ENSG00000006625.13	1139.48	442.99	448.34	426.00	379.00
ENSG00000006634.3	2270.89	495.99	425.96	311.91	276.00
ENSG00000006638.7	1814.00	3.00	1.00	0.00	3.00
ENSG00000006652.9	1929.11	634.00	644.00	770.00	693.00
ENSG00000006659.8	672.00	0.00	0.00	0.00	0.00
ENSG00000006695.6	2144.80	265.00	279.00	326.00	344.00
ENSG00000006704.6	3001.26	601.00	592.00	879.00	797.00
ENSG00000006712.10	2043.28	831.00	805.00	1315.00	1283.00
ENSG00000006715.11	2891.79	781.00	764.00	909.00	821.00
ENSG00000006740.12	4236.08	94.00	117.00	87.00	95.00
ENSG00000006744.14	2565.91	713.00	762.00	1274.00	1255.00
ENSG00000006747.10	2518.00	0.00	0.00	3.00	1.00
ENSG00000006756.11	4656.61	271.00	276.00	392.00	387.00
ENSG00000006757.7	1160.38	186.00	235.00	234.00	207.00
ENSG00000006831.9	3904.27	3013.00	3261.00	3516.00	3364.00
ENSG00000006837.7	984.92	24.00	31.48	36.89	26.09
ENSG00000007001.8	2389.00	1.00	2.00	6.00	8.00
ENSG00000007047.10	3008.72	874.00	825.00	954.00	1013.00
ENSG00000007062.7	2563.92	505.00	480.00	732.00	615.00
ENSG00000007080.6	929.65	324.00	351.00	394.00	400.00
ENSG00000007168.8	2919.12	1956.00	1943.00	2653.00	2323.00
ENSG00000007171.12	4176.00	0.00	1.00	0.00	2.00
ENSG00000007202.10	6431.81	3606.00	3599.00	4461.00	4037.00
ENSG00000007216.10	1230.00	0.00	0.00	1.00	1.00
ENSG00000007237.14	4724.02	84.00	73.00	102.00	102.00
ENSG00000007255.6	746.91	100.00	119.00	156.00	157.00
ENSG00000007264.9	1042.07	0.00	0.00	3.00	0.00
ENSG00000007312.8	1254.00	3.00	0.00	3.00	5.00
ENSG00000007314.7	5601.53	8.00	8.00	12.00	12.00
ENSG00000007341.14	1405.43	192.00	150.00	253.00	218.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1411.74	11.00	19.00	83.00	63.00
ENSG00000007376.3	1815.35	218.00	206.00	282.00	285.00
ENSG00000007384.11	1667.75	313.00	280.00	546.00	489.00
ENSG00000007392.12	1835.67	1155.00	1126.00	1310.00	1169.00
ENSG00000007402.7	3453.00	0.00	0.00	2.00	1.00
ENSG00000007516.9	2709.26	196.00	200.00	216.00	256.00
ENSG00000007520.3	1184.05	274.00	322.00	401.00	411.00
ENSG00000007541.10	2471.64	350.00	360.00	551.00	642.00
ENSG00000007545.11	5291.73	750.58	710.77	1024.33	959.30
ENSG00000007866.14	2787.25	968.00	1038.00	1205.00	1234.00
ENSG00000007908.11	3389.00	1.00	0.00	1.00	1.00
ENSG00000007923.11	2483.13	1463.00	1542.00	1702.00	1735.00
ENSG00000007944.10	2238.57	133.00	99.00	212.00	191.00
ENSG00000007952.13	1440.60	1.00	0.00	0.00	0.00
ENSG00000007968.6	4865.25	222.00	233.00	246.00	222.00
ENSG00000008018.8	951.32	2907.00	2764.00	3427.00	3057.00
ENSG00000008056.8	3184.00	1.00	1.00	1.00	0.00
ENSG00000008083.9	5537.80	836.00	806.00	1015.00	989.00
ENSG00000008086.6	3179.31	93.00	87.00	136.00	123.00
ENSG00000008128.18	1447.16	646.24	620.77	814.78	774.81
ENSG00000008130.11	2107.86	1254.00	1255.00	1303.00	1285.00
ENSG00000008226.15	3140.62	1.00	0.00	0.00	0.00
ENSG00000008256.11	4137.48	151.00	165.00	234.00	211.00
ENSG00000008277.10	5826.75	293.00	249.00	237.00	202.00
ENSG00000008282.3	2091.95	1262.00	1206.00	1733.00	1556.00
ENSG00000008283.11	2693.52	62.00	53.00	172.00	173.00
ENSG00000008294.16	4638.38	4183.00	4124.00	4007.00	3800.00
ENSG00000008300.10	6819.77	1122.00	1101.00	1269.00	1248.00
ENSG00000008311.10	2795.28	467.00	493.00	314.00	314.00
ENSG00000008323.11	2233.71	320.00	329.00	304.00	343.00
ENSG00000008324.6	819.62	157.00	163.00	189.00	180.00
ENSG00000008382.11	1509.27	206.00	264.00	215.00	212.00
ENSG00000008394.8	843.60	1362.00	1501.00	2399.00	2137.00
ENSG00000008405.7	2975.85	437.00	392.00	470.00	375.00
ENSG00000008441.12	3702.90	517.00	497.00	809.00	802.00
ENSG00000008513.10	4074.21	1102.00	1127.00	1124.00	1042.00
ENSG00000008516.12	3554.00	2.00	0.00	1.00	4.00
ENSG00000008517.12	915.52	2257.00	2254.00	6690.00	6709.00
ENSG00000008710.13	3286.86	1418.69	1376.00	1966.28	1946.53
ENSG00000008735.10	2780.96	90.00	106.00	190.00	173.00
ENSG00000008838.13	2003.55	2013.00	1928.00	2466.00	2447.00
ENSG00000008853.12	4892.93	295.00	301.00	186.00	205.00
ENSG00000008869.7	5685.31	596.00	623.00	1095.00	1005.00
ENSG00000008952.12	2506.55	2767.00	2509.00	2463.00	2217.00
ENSG00000008988.5	629.87	6094.00	6315.00	5757.00	5739.00
ENSG00000009307.11	3469.94	9579.00	9511.00	9407.00	8783.00
ENSG00000009335.13	4774.13	1261.00	1176.00	2181.00	1892.00
ENSG00000009413.11	7417.19	1264.00	1184.00	2027.00	1812.00
ENSG00000009694.9	12875.02	7.00	1.00	2.00	1.00
ENSG00000009724.12	1409.31	214.00	209.00	217.00	247.00
ENSG00000009765.10	5969.21	1.00	2.00	13.00	12.00
ENSG00000009780.11	1855.54	109.00	94.00	148.00	158.00
ENSG00000009790.10	1065.00	0.00	0.00	0.00	1.00
ENSG00000009830.7	1441.03	477.00	462.00	859.00	815.00
ENSG00000009844.11	2200.79	1415.00	1378.00	2236.00	2008.00
ENSG00000009950.11	1654.39	3338.00	3418.00	4260.00	4354.00
ENSG00000009954.6	5790.97	2952.00	2979.00	2614.00	2373.00
ENSG00000010017.9	2646.66	1378.00	1401.00	1576.00	1607.00
ENSG00000010030.9	1530.35	1.00	0.00	2.00	4.00
ENSG00000010072.11	2759.51	116.00	137.00	239.00	195.00
ENSG00000010165.15	2479.86	478.00	460.00	646.00	613.00
ENSG00000010219.9	670.74	141.00	173.00	221.00	201.00
ENSG00000010244.12	2578.03	3758.00	3497.00	3968.00	3829.00
ENSG00000010256.6	1222.32	3295.00	3669.00	3747.00	3797.00
ENSG00000010270.9	1520.12	595.00	535.00	791.00	730.00
ENSG00000010278.7	1101.48	188.00	160.00	315.00	290.00
ENSG00000010282.10	861.50	0.00	1.00	0.00	0.00
ENSG00000010292.8	4777.47	3735.00	3669.00	2739.00	2685.00
ENSG00000010295.15	2536.25	381.00	377.00	464.00	476.00
ENSG00000010310.4	2558.26	43.00	38.00	45.00	41.00
ENSG00000010318.15	1125.94	86.00	89.00	94.00	79.00
ENSG00000010319.2	4116.78	745.00	809.00	1001.00	1012.00
ENSG00000010322.11	3303.95	1640.00	1582.00	1917.00	2047.00
ENSG00000010327.6	1856.66	8.00	6.00	14.00	13.00
ENSG00000010361.9	657.54	2.00	0.00	8.00	4.00
ENSG00000010379.11	2185.00	6.00	2.00	9.00	5.00
ENSG00000010404.13	3549.36	718.71	749.39	729.96	744.31
ENSG00000010539.7	2691.13	217.00	229.00	333.00	286.00
ENSG00000010610.5	2830.51	45.00	34.00	41.00	52.00
ENSG00000010626.10	1247.52	67.17	85.94	81.00	78.63
ENSG00000010704.14	2440.52	187.00	167.00	222.00	232.00
ENSG00000010803.12	2132.04	1117.00	1060.00	961.00	916.00
ENSG00000010810.13	1637.69	448.00	430.00	413.00	393.00
ENSG00000010818.4	9612.19	1196.00	1201.00	1490.00	1347.00
ENSG00000011007.8	3801.53	998.00	950.00	1322.00	1223.00
ENSG00000011009.6	1699.43	1114.00	1228.00	1981.00	1914.00
ENSG00000011021.17	4584.56	1748.63	1960.39	2075.75	2074.05
ENSG00000011028.9	2025.00	0.00	0.00	1.00	1.00
ENSG00000011052.17	963.90	331.61	307.08	98.40	130.76
ENSG00000011105.7	3051.64	1199.00	1335.00	941.00	929.00
ENSG00000011114.10	5069.88	723.00	690.00	825.00	879.00
ENSG00000011132.7	1565.88	219.81	231.00	384.00	362.00
ENSG00000011143.12	1720.04	370.00	410.00	364.00	334.00
ENSG00000011198.3	1408.97	54.00	78.00	83.00	61.00
ENSG00000011201.6	3706.21	0.00	2.00	15.00	5.00
ENSG00000011243.13	1415.21	1153.00	1288.00	1313.00	1306.00
ENSG00000011258.11	5043.17	1334.00	1247.00	1495.00	1385.00
ENSG00000011260.9	1798.72	1004.00	933.00	1237.00	1046.00
ENSG00000011275.14	4596.87	1150.00	1186.58	1380.61	1362.00
ENSG00000011295.11	2670.03	466.17	521.00	626.26	581.00
ENSG00000011304.12	2122.80	5707.00	5836.00	4672.00	4613.00
ENSG00000011332.15	1245.75	46.00	44.00	34.00	31.00
ENSG00000011347.5	3429.81	305.00	398.00	409.00	414.00
ENSG00000011376.5	4027.71	873.00	926.00	967.00	928.00
ENSG00000011405.9	5487.14	2930.00	2713.00	3189.00	2889.00
ENSG00000011422.7	1145.40	49.00	49.00	76.00	71.00
ENSG00000011426.6	4425.16	2711.00	2406.00	1800.00	1655.00
ENSG00000011451.13	4142.97	634.00	618.00	1027.00	1001.00
ENSG00000011454.12	3989.37	1081.00	1126.00	1306.00	1187.00
ENSG00000011478.7	2198.36	445.00	528.00	337.00	315.00
ENSG00000011485.10	1778.44	1045.00	1137.00	1222.00	1200.00
ENSG00000011523.9	3896.57	428.00	393.00	758.00	695.00
ENSG00000011566.10	3837.37	2876.00	2844.00	2470.00	2229.00
ENSG00000011600.7	533.33	0.00	0.00	0.00	0.00
ENSG00000011638.6	1364.55	119.00	126.00	181.00	187.00
ENSG00000011677.8	3712.00	0.00	0.00	4.00	5.00
ENSG00000012048.15	3674.45	860.00	769.00	710.00	630.00
ENSG00000012061.11	1138.28	512.00	572.00	633.00	618.00
ENSG00000012124.10	1812.37	19.00	26.00	18.00	9.00
ENSG00000012171.13	2376.76	2775.00	2824.00	5913.00	5671.00
ENSG00000012174.7	4428.25	785.00	806.06	1025.49	895.00
ENSG00000012211.8	2371.88	82.00	89.00	171.00	128.00
ENSG00000012232.4	6521.82	814.00	788.00	991.00	876.00
ENSG00000012504.9	2182.47	671.00	624.00	1213.00	1106.00
ENSG00000012660.9	2610.72	2356.00	2210.00	2718.00	2403.00
ENSG00000012779.6	1035.00	1.00	1.00	2.00	0.00
ENSG00000012817.11	3917.41	1342.00	1437.00	2466.00	2161.00
ENSG00000012822.11	2318.69	1082.00	1050.00	1315.00	1325.00
ENSG00000012963.9	3525.78	624.00	615.86	611.00	591.00
ENSG00000012983.7	3172.61	915.00	841.00	1181.00	996.00
ENSG00000013016.10	4433.35	28.00	28.00	26.00	37.00
ENSG00000013275.3	1470.49	1249.00	1404.00	1883.00	1773.00
ENSG00000013288.4	5436.18	576.00	550.00	939.00	950.00
ENSG00000013297.6	1791.62	115.00	110.00	131.00	108.00
ENSG00000013306.11	1441.12	2528.00	2895.00	1646.00	1754.00
ENSG00000013364.14	2102.11	682.00	731.00	2959.00	2817.00
ENSG00000013374.11	1715.07	826.00	744.00	1026.00	1056.00
ENSG00000013375.11	2882.33	2527.00	2578.00	2337.00	2208.00
ENSG00000013392.6	2993.05	282.00	277.00	252.00	255.00
ENSG00000013441.11	1938.79	1489.00	1366.00	1835.00	1710.00
ENSG00000013503.5	4247.22	269.00	273.00	329.00	288.00
ENSG00000013523.5	3525.18	607.00	602.00	733.00	806.00
ENSG00000013561.13	2124.69	251.00	289.00	462.00	427.00
ENSG00000013563.9	2099.66	150.00	162.00	238.00	236.00
ENSG00000013573.12	2123.42	716.44	721.29	728.72	743.68
ENSG00000013583.4	1197.70	360.00	351.00	419.00	393.00
ENSG00000013588.5	2168.96	57.00	68.00	145.00	122.00
ENSG00000013619.9	3645.14	15.00	4.00	19.00	13.00
ENSG00000013810.14	2355.74	1529.63	1382.75	1080.28	1053.88
ENSG00000014123.9	4224.00	892.00	906.00	1052.00	897.00
ENSG00000014138.4	1717.94	372.00	329.00	310.00	331.00
ENSG00000014164.6	3199.06	373.00	426.00	506.00	566.00
ENSG00000014216.11	2168.60	1618.00	1753.00	2510.00	2361.00
ENSG00000014641.13	1365.53	3048.00	2991.00	3685.00	3472.00
ENSG00000014824.9	3008.69	1369.00	1225.00	1601.00	1452.00
ENSG00000014914.15	2092.20	75.00	87.00	614.00	534.00
ENSG00000014919.8	2471.48	759.00	733.00	999.00	890.00
ENSG00000015133.14	5859.50	475.00	501.00	692.00	674.00
ENSG00000015153.10	1909.92	148.00	146.00	223.00	147.00
ENSG00000015171.14	3560.27	1008.00	974.00	1070.00	962.00
ENSG00000015285.6	718.00	1.00	2.00	3.00	1.00
ENSG00000015413.5	1195.57	238.00	239.00	245.00	260.00
ENSG00000015475.14	1296.28	220.00	258.00	542.00	531.00
ENSG00000015479.13	2401.23	7460.00	7307.00	8615.00	7566.00
ENSG00000015520.10	4768.69	985.00	1092.00	2244.00	2241.00
ENSG00000015532.5	3357.67	720.00	805.00	1151.00	1063.00
ENSG00000015568.8	5894.52	310.12	603.94	871.90	649.11
ENSG00000015592.12	1250.00	0.00	1.00	0.00	1.00
ENSG00000015676.13	2529.47	848.00	884.00	983.00	1038.00
ENSG00000016391.6	6253.21	3181.00	3247.00	3681.00	3677.00
ENSG00000016864.12	1250.50	1249.00	1341.00	1172.00	1168.00
ENSG00000017260.15	3732.86	1565.00	1525.00	1846.00	1696.00
ENSG00000017373.11	2619.46	324.00	410.00	360.00	416.00
ENSG00000017427.11	1097.00	0.00	0.00	9.00	1.00
ENSG00000017483.10	1811.62	694.00	685.00	1000.00	944.00
ENSG00000017621.11	1063.10	20.00	17.00	6.00	11.00
ENSG00000017797.7	3982.61	1206.00	1196.00	1563.00	1431.00
ENSG00000018189.8	2208.79	379.00	360.00	520.00	422.00
ENSG00000018236.10	5075.11	1.00	0.00	9.00	6.00
ENSG00000018280.12	2185.70	15.00	18.00	26.00	29.00
ENSG00000018408.10	2803.97	2394.00	2247.00	2061.00	2047.00
ENSG00000018510.8	7451.00	2859.00	2656.00	3064.00	2630.00
ENSG00000018610.9	2061.05	226.00	210.00	213.00	248.00
ENSG00000018625.10	4868.26	4.00	2.00	12.00	9.00
ENSG00000018699.7	2611.90	628.00	655.00	876.00	801.00
ENSG00000018869.12	1313.03	15.00	21.00	40.00	34.00
ENSG00000019102.7	1151.26	29.00	26.00	50.00	48.00
ENSG00000019144.12	3454.33	612.00	602.00	909.00	891.00
ENSG00000019186.5	2654.01	229.00	243.00	1201.00	956.00
ENSG00000019485.8	1705.54	57.00	53.00	60.00	62.00
ENSG00000019505.3	3651.25	25.00	19.00	48.00	59.00
ENSG00000019549.4	2088.00	2.00	3.00	1.00	2.00
ENSG00000019582.10	1337.40	1366.00	1361.00	2380.00	2492.00
ENSG00000019995.6	5206.01	804.13	736.90	549.59	548.69
ENSG00000020129.11	2991.58	348.00	346.00	679.00	619.00
ENSG00000020181.13	6270.00	6.00	15.00	14.00	10.00
ENSG00000020256.15	2332.46	396.00	402.00	485.00	551.00
ENSG00000020426.6	994.89	450.00	455.00	446.00	414.00
ENSG00000020577.9	4836.53	1174.00	1162.00	2292.00	2030.00
ENSG00000020633.14	3861.00	20.00	10.00	12.00	16.00
ENSG00000020922.8	2542.05	721.00	616.00	657.00	541.00
ENSG00000021300.9	1739.71	1300.00	1301.00	1090.00	1128.00
ENSG00000021355.8	1670.10	1301.00	1377.00	2855.00	2502.00
ENSG00000021461.12	1099.69	45.00	41.00	68.00	70.00
ENSG00000021488.8	1584.07	60.00	91.00	115.00	123.00
ENSG00000021574.7	5116.82	763.00	777.00	1083.00	883.00
ENSG00000021645.13	4114.62	1.00	3.00	52.00	47.00
ENSG00000021762.15	1571.65	0.00	2.00	0.00	0.00
ENSG00000021776.6	4254.09	876.00	883.00	832.00	775.00
ENSG00000021826.10	3435.17	1314.00	1371.00	1532.00	1541.00
ENSG00000021852.8	1938.89	218.00	242.00	260.00	243.00
ENSG00000022267.12	1561.89	1.00	1.00	3.00	0.00
ENSG00000022277.8	1559.30	1514.00	1570.00	2191.00	2107.00
ENSG00000022567.5	3367.00	2.00	2.00	1.00	1.00
ENSG00000022840.11	2314.45	2022.00	2172.00	1774.00	1767.00
ENSG00000022976.11	2511.55	240.00	213.00	271.00	274.00
ENSG00000023041.7	1911.07	621.00	620.00	742.00	656.00
ENSG00000023171.10	3448.96	1.00	2.00	53.00	39.00
ENSG00000023191.12	1668.91	1002.00	1073.00	1469.00	1497.00
ENSG00000023228.9	2835.36	3737.64	3711.27	4393.39	4003.19
ENSG00000023287.8	6122.52	2161.00	2103.00	2373.00	2166.00
ENSG00000023318.7	4854.00	1176.00	1187.00	1499.00	1259.00
ENSG00000023330.10	2175.49	690.00	680.00	1146.00	1088.00
ENSG00000023445.9	4309.55	60.00	74.00	202.00	190.00
ENSG00000023516.7	9913.00	1393.00	1247.00	1899.00	1707.00
ENSG00000023572.4	704.01	108.00	98.00	163.00	123.00
ENSG00000023608.4	2656.00	124.07	154.14	143.37	126.76
ENSG00000023697.8	1529.30	517.00	501.00	667.00	627.00
ENSG00000023734.6	1816.80	1575.00	1601.00	2392.00	2158.00
ENSG00000023839.6	5213.82	7505.00	8092.00	13329.00	12400.00
ENSG00000023892.9	1781.15	180.00	169.00	253.00	219.00
ENSG00000023902.9	1942.82	151.00	160.00	289.00	253.00
ENSG00000023909.5	2436.88	387.00	360.00	382.00	361.00
ENSG00000024048.6	7734.01	1360.00	1364.00	2007.00	1766.00
ENSG00000024422.7	3585.00	46.00	49.00	85.00	80.00
ENSG00000024526.12	4788.65	631.00	601.00	396.00	331.00
ENSG00000024862.12	1496.00	167.00	184.00	242.00	215.00
ENSG00000025039.10	2716.35	16.00	35.00	63.00	43.00
ENSG00000025156.8	2228.81	400.00	368.00	477.00	432.00
ENSG00000025293.11	5285.31	943.00	899.00	1410.00	1223.00
ENSG00000025423.7	1175.01	28.00	31.00	80.00	69.00
ENSG00000025434.14	1180.54	419.00	471.00	377.00	414.00
ENSG00000025708.8	1690.14	58.19	57.50	172.83	145.48
ENSG00000025770.14	1872.48	689.00	682.00	679.00	645.00
ENSG00000025772.7	2062.00	1077.00	1142.00	1949.00	1782.00
ENSG00000025796.9	4404.93	2531.95	2404.97	2459.93	2338.96
ENSG00000025800.9	6574.99	1776.00	1671.00	2139.00	1963.49
ENSG00000026025.9	1868.00	0.00	0.00	0.00	1.00
ENSG00000026036.16	5570.25	668.14	580.42	1111.72	1140.37
ENSG00000026103.15	2039.19	147.00	177.00	391.00	346.00
ENSG00000026297.11	1302.99	4199.05	4410.33	2984.68	3176.00
ENSG00000026508.12	888.76	2.00	5.00	24.00	12.00
ENSG00000026652.9	3005.96	25.00	17.00	111.00	79.00
ENSG00000026950.12	2784.35	456.70	464.21	704.39	746.47
ENSG00000027001.7	2296.71	200.00	228.00	300.00	286.00
ENSG00000027075.9	1341.20	9.00	14.00	43.00	16.00
